"Date","Open","High","Low","Close","Volume"
#2010-01-01#,54.26,54.42,53.85,53.88,442750
#2010-01-04#,54.66,55.04,54.17,54.52,960904
#2010-01-05#,54.35,54.82,53.94,54.26,1136365
#2010-01-06#,54.14,54.47,53.8,54.03,1670606
#2010-01-07#,53.75,54.9,53.75,54.67,973585
#2010-01-08#,54.47,56.23,54.1219,56.22,1075135
#2010-01-11#,57.1,58.03,56.57,57.82,1682082
#2010-01-12#,57.45,58.09,57.38,57.94,1750654
#2010-01-13#,58.09,58.59,57.09,58.25,1371750
#2010-01-14#,58.03,58.94,57.56,58.79,1003100
#2010-01-15#,58.66,59.15,57.94,58.56,1711937
#2010-01-18#,58.66,59.15,57.94,58.56,1711937
#2010-01-19#,61.74,62.85,60.58,61.42,3741372
#2010-01-20#,61.13,61.18,59.4,60.61,2339754
#2010-01-21#,60.4,61.43,58.76,59.52,2014747
#2010-01-22#,59.44,59.44,57.59,57.62,1462854
#2010-01-25#,58.52,59.04,56.37,57.37,2042830
#2010-01-26#,56.9,57.3,56.07,56.6,2343523
#2010-01-27#,56.49,57.74,56.15,57.4,3339494
#2010-01-28#,57.71,57.8,55.68,56.32,1439416
#2010-01-29#,56.83,57.86,55.67,55.91,2134648
#2010-02-01#,56.2,57.4,56.06,57.14,1623836
#2010-02-02#,57.55,58.21,57.2,58.14,1919309
#2010-02-03#,57.8,58.62,57.13,57.3,1800077
#2010-02-04#,56.52,56.74,54.93,54.93,1969123
#2010-02-05#,54.96,55.32,53.5,54.97,2101407
#2010-02-08#,54.95,55.17,53.95,54.54,1728131
#2010-02-09#,55.33,56.4,54.88,55.75,1650973
#2010-02-10#,55.7,55.98,54.86,55.55,1032651
#2010-02-11#,55.59,56.79,55.15,56.76,1370536
#2010-02-12#,55.91,57.65,55.21,56.08,2551598
#2010-02-15#,55.91,57.65,55.21,56.08,2551598
#2010-02-16#,57.24,57.3,56.41,57.25,1561285
#2010-02-17#,57.75,58.33,57.26,58.19,1501550
#2010-02-18#,58.04,58.87,57.97,58.76,1522650
#2010-02-19#,58.59,59.2892,58.2,59,1109152
#2010-02-22#,59.18,59.24,58.63,58.92,1248973
#2010-02-23#,58.72,59.06,57.76,58.31,1451063
#2010-02-24#,58.58,58.91,58.13,58.87,2075275
#2010-02-25#,57.55,59.06,57.46,58.9,1553818
#2010-02-26#,59.31,60.45,59.17,60.31,2204734
#2010-03-01#,60.17,62.58,60.15,61.71,3111772
#2010-03-02#,62.02,62.41,61.87,62.07,2012665
#2010-03-03#,63.2,63.66,62.3,62.41,2750563
#2010-03-04#,62.44,62.76,61.52,62.07,1897679
#2010-03-05#,62.86,63.23,62.51,62.93,1130853
#2010-03-08#,62.91,63.31,62.54,63.02,1402336
#2010-03-09#,62.89,63.6,62.68,63.33,1470813
#2010-03-10#,63.46,63.96,63.18,63.82,1154425
#2010-03-11#,63.84,63.85,63.03,63.69,939841
#2010-03-12#,63.99,64.2,63.31,63.61,860354
#2010-03-15#,63.65,63.89,63.27,63.84,762341
#2010-03-16#,63.96,64.67,63.89,64.44,1008532
#2010-03-17#,64.74,65.74,64.46,65.37,1476133
#2010-03-18#,65.26,65.91,65.11,65.6,1214896
#2010-03-19#,65.75,66.41,64.89,65.11,1714180
#2010-03-22#,64.53,65.62,64.21,65.55,942811
#2010-03-23#,65.78,66.7101,65.16,66.57,1101317
#2010-03-24#,66.49,66.55,65.26,65.34,1521430
#2010-03-25#,66.16,66.42,64.7,64.79,1839792
#2010-03-26#,65.01,65.93,64.44,64.61,1659202
#2010-03-29#,64.92,65.31,64.77,65.24,1286796
#2010-03-30#,65.57,66.23,65.34,65.52,1245577
#2010-03-31#,65.33,65.55,64.69,64.74,1140773
#2010-04-01#,65.12,65.69,64.8,65.27,859718
#2010-04-02#,65.12,65.69,64.8,65.27,859718
#2010-04-05#,65.4,66.56,65.4,66.42,970929
#2010-04-06#,66.16,66.32,65.7,66.32,1038284
#2010-04-07#,66.05,67.06,65.9,66.5,1190768
#2010-04-08#,66.37,67.75,65.84,67.59,1639308
#2010-04-09#,67.77,68.67,67.51,68.48,1124625
#2010-04-12#,69.54,69.66,68.5,69.48,1536957
#2010-04-13#,69.27,69.85,69.03,69.76,1451292
#2010-04-14#,70.22,70.81,70.17,70.54,2550024
#2010-04-15#,70.3,70.72,70.01,70.21,1428936
#2010-04-16#,69.78,70.02,68.87,69.07,2015433
#2010-04-19#,69.04,69.74,67.99,69.39,2370175
#2010-04-20#,71.75,72.5,67.12,67.8,4872886
#2010-04-21#,68.37,71.17,68.37,71,3368142
#2010-04-22#,70.52,70.8,69.7,70.44,2868717
#2010-04-23#,70.13,70.99,69.75,70.99,1358905
#2010-04-26#,71,71.73,70.89,71.16,1356235
#2010-04-27#,70.64,71.36,68.5,68.75,1596939
#2010-04-28#,69.26,69.43,68.09,69.06,1283063
#2010-04-29#,69.65,71.29,69.65,71.23,1258394
#2010-04-30#,71.22,71.78,69.09,69.18,1486447
#2010-05-03#,69.87,70.98,69.41,70.82,1061448
#2010-05-04#,69.47,69.47,67.47,67.98,2070807
#2010-05-05#,67,67.63,66.64,67.24,2137113
#2010-05-06#,66.79,67.56,59.47,64.5,3336950
#2010-05-07#,64.39,64.83,61.91,62.25,3506547
#2010-05-10#,65.76,68.02,64.62,67.69,3250866
#2010-05-11#,66.89,68.02,66.48,67.05,2282329
#2010-05-12#,67.45,69.46,67.45,69.06,1408502
#2010-05-13#,68.71,69.69,68.02,68.18,1316465
#2010-05-14#,68.04,68.04,65.81,66.46,2005099
#2010-05-17#,66.54,67.46,64.5,66.27,2535577
#2010-05-18#,66.82,67.13,64.69,64.95,1428242
#2010-05-19#,64.7,65.18,62.4,63.63,1916107
#2010-05-20#,61.86,62.18,59.42,59.7,4173055
#2010-05-21#,58.24,60.58,58.24,60.57,3661683
#2010-05-24#,60.45,60.92,59.37,59.56,3288832
#2010-05-25#,58.01,60,57.32,59.85,2587769
#2010-05-26#,60.53,61.74,60.03,60.27,2096332
#2010-05-27#,61.75,62.73,60.96,62.73,1449205
#2010-05-28#,62.86,62.86,60.92,61.46,1595204
#2010-05-31#,62.86,62.86,60.92,61.46,1595204
#2010-06-01#,60.66,62.12,59.48,59.5,1919013
#2010-06-02#,59.74,61.68,59.74,61.68,1940031
#2010-06-03#,62.14,62.36,61.41,61.98,1302334
#2010-06-04#,60.04,60.66,58.08,58.52,2119501
#2010-06-07#,59.04,59.04,56.96,57.08,2388457
#2010-06-08#,57.51,58.23,56.68,58.12,2632062
#2010-06-09#,58.94,60.28,58.2,58.42,1995884
