"Date","Open","High","Low","Close","Volume"
#2018-01-01#,53.45,53.96,53.2,53.25,892415
#2018-01-02#,53.76,54.97,53.575,54.96,1617872
#2018-01-03#,54.95,55.62,54.65,55.37,1399683
#2018-01-04#,55.35,55.78,54.66,54.68,1432954
#2018-01-05#,55.11,55.11,54.22,54.87,1178303
#2018-01-08#,54.92,55,54.38,54.66,1056476
#2018-01-09#,54.83,55.29,54.51,54.94,1002247
#2018-01-10#,55,55.82,54.9,55.6,1396628
#2018-01-11#,55.84,56.5,55.76,56.16,2125763
#2018-01-12#,56.38,58.04,56.25,57.85,2057732
#2018-01-15#,56.38,58.04,56.25,57.85,2057732
#2018-01-16#,58.05,58.45,57.13,57.39,1638964
#2018-01-17#,58.535,59.3,57.73,59.27,2614712
#2018-01-18#,59.04,59.14,58.45,58.86,1442455
#2018-01-19#,58.88,59.69,58.74,59.43,2143248
#2018-01-22#,59.45,59.45,58.38,59.37,1633253
#2018-01-23#,59.49,59.49,58.29,58.33,1614933
#2018-01-24#,58.71,60.61,58.32,59.77,3544159
#2018-01-25#,60.01,60.39,58.91,59.61,1272692
#2018-01-26#,60,60.96,59.55,60.93,1319471
#2018-01-29#,60.61,61.03,60.111,60.57,1125005
#2018-01-30#,60.05,60.91,59.51,59.96,1062871
#2018-01-31#,60,61.05,60,60.74,1568904
#2018-02-01#,60.77,61.07,60.08,60.59,1220252
#2018-02-02#,60.49,60.87,58.91,59,1370249
#2018-02-05#,59.53,61.18,56.94,56.95,2323181
#2018-02-06#,55.99,58.35,55.2001,58.2,2467971
#2018-02-07#,57.93,59.01,57.53,57.74,1518687
#2018-02-08#,57.75,58.04,56,56.01,1793375
#2018-02-09#,56.57,57.04,54.25,56.21,1744454
#2018-02-12#,56.84,57.86,56.44,57.45,1833033
#2018-02-13#,57.24,57.67,56.87,57.5,1500321
#2018-02-14#,56.95,58.94,56.88,58.88,1465256
#2018-02-15#,59.28,59.64,58.77,59.36,1909029
#2018-02-16#,59.01,59.5,58.61,59.11,1036983
#2018-02-19#,59.01,59.5,58.61,59.11,1036983
#2018-02-20#,58.69,59.66,58.6,58.95,1505814
#2018-02-21#,59.19,59.48,58.72,58.72,1744554
#2018-02-22#,59.53,59.61,56.95,57.29,2591119
#2018-02-23#,58.08,58.2,57.29,57.9,1258968
#2018-02-26#,58.35,58.5,57.25,57.95,1380301
#2018-02-27#,57.94,58.44,56.17,56.27,1845556
#2018-02-28#,56.26,58,56.08,56.9,13538239
#2018-03-01#,57,57.5,56.09,56.77,3016655
#2018-03-02#,56.13,56.78,55.53,56.44,4246074
#2018-03-05#,56.28,56.39,54.86,55.58,2327409
#2018-03-06#,55.76,56.14,55.42,56,1980406
#2018-03-07#,55.4,56,54.99,55.5,1877277
#2018-03-08#,55.8,56.08,55.25,55.45,1832045
#2018-03-09#,55.78,57.2,55.58,57.15,2756935
#2018-03-12#,57.2,57.43,56.38,56.58,1907036
#2018-03-13#,56.93,57.24,56.49,56.65,1594750
#2018-03-14#,56.75,57.03,55.67,55.95,1580510
#2018-03-15#,56.06,56.09,55.26,55.34,1537034
#2018-03-16#,55.24,56.24,55.23,56.12,2470880
#2018-03-19#,56.12,56.27,55.1,55.42,1552067
#2018-03-20#,55.73,56.31,55.345,55.72,1308982
#2018-03-21#,55.75,55.93,54.09,54.17,2225190
#2018-03-22#,54.27,55.03,52.55,52.71,2560308
#2018-03-23#,52.88,53.1,51.3,51.4,2380352
#2018-03-26#,52.21,52.465,51.31,52.44,1601196
#2018-03-27#,52.52,54.16,52.32,52.87,2723139
#2018-03-28#,52.87,53.3,51.74,52.48,5257969
#2018-03-29#,52.7,53.4,52.26,52.97,1782373
#2018-03-30#,52.7,53.4,52.26,52.97,1782373
#2018-04-02#,53,53.24,51.37,51.97,1545363
#2018-04-03#,52.22,52.63,51.81,52.39,1542566
#2018-04-04#,51.65,53.17,51.39,53.04,1362407
#2018-04-05#,53.29,54.68,52.9,54.39,3784541
#2018-04-06#,54.04,54.35,52.73,53.21,2407684
#2018-04-09#,53.4,53.96,52.97,53.03,1033671
#2018-04-10#,53.58,53.62,50.98,52,3227539
#2018-04-11#,51.99,52.71,51.755,52.33,1940737
#2018-04-12#,52.69,53.69,52.64,53.34,1718305
#2018-04-13#,53.55,53.94,52.29,52.42,1487641
#2018-04-16#,52.77,53.8,52.77,53.44,1223937
#2018-04-17#,54,54.27,53.63,53.88,1652675
#2018-04-18#,56.13,56.5,54.84,55.43,2828982
#2018-04-19#,55.41,55.49,54.56,54.96,1342563
#2018-04-20#,54.97,55.73,54.8525,55.65,1410289
#2018-04-23#,55.78,57.08,55.45,56.75,2245623
#2018-04-24#,57.18,57.37,55.77,56.11,1416579
#2018-04-25#,56.17,56.61,55.46,56.38,1231635
#2018-04-26#,57,57.15,54.74,55.05,2228327
#2018-04-27#,55.05,55.85,54.52,54.75,1514392
#2018-04-30#,54.96,55.03,53.33,53.47,2295439
#2018-05-01#,53.24,53.89,52.79,53.86,2029657
#2018-05-02#,54.93,55.78,51.71,52.03,3130214
#2018-05-03#,52.11,52.1302,50.69,51.1,2026855
#2018-05-04#,51.15,51.8,50.8,51.51,1847843
#2018-05-07#,51.01,51.46,50.16,50.31,2467122
#2018-05-08#,50.31,51.45,50.25,50.65,1853478
#2018-05-09#,50.86,51.17,50.48,51.16,1808755
#2018-05-10#,51.38,51.96,51.195,51.4,1118969
#2018-05-11#,51.26,51.545,51,51.46,993042
#2018-05-14#,51.48,51.74,51.26,51.42,1185304
#2018-05-15#,51.32,51.82,51.24,51.71,1494319
#2018-05-16#,52,53,51.52,52.5,2375829
#2018-05-17#,52.22,52.86,52.22,52.49,2048189
#2018-05-18#,52.5,53.19,52.1724,52.97,1322352
#2018-05-21#,53.19,53.78,53.04,53.32,1570205
#2018-05-22#,53.31,53.55,53.12,53.18,1278846
#2018-05-23#,52.83,53.4,52.42,52.85,1438693
#2018-05-24#,52.95,53.89,52.81,53.67,1569248
#2018-05-25#,53.58,54.37,53.42,54.13,2213486
#2018-05-28#,53.58,54.37,53.42,54.13,2213486
#2018-05-29#,53.68,54.065,52.64,52.81,2905992
#2018-05-30#,53.16,53.22,52.62,52.77,1503478
#2018-05-31#,52.87,52.97,52.04,52.34,1763165
#2018-06-01#,52.55,53.2,52.55,53.18,1714228
#2018-06-04#,53.26,53.45,52.86,53.03,1468014
#2018-06-05#,51.14,51.65,50.26,50.8,3590757
#2018-06-06#,50.73,51.58,50.36,51.55,1541415
#2018-06-07#,51.81,52.5601,51.6,51.95,2832992
#2018-06-08#,51.8,51.82,51.32,51.75,888901
#2018-06-11#,51.92,52.51,51.76,52.27,763354
#2018-06-12#,52.48,53.3,52.17,52.73,1071613
#2018-06-13#,53.19,54.61,52.76,53.44,2929014
#2018-06-14#,54.07,55.11,53.94,54.45,2684208
#2018-06-15#,53.83,54.95,53.35,54.95,2345613
#2018-06-18#,54.42,54.65,53.88,54.55,1109353
#2018-06-19#,54,54.12,53.44,53.61,3222272
#2018-06-20#,53.44,53.84,52.93,52.99,1197035
#2018-06-21#,53.06,53.1,51.87,51.9,926334
#2018-06-22#,51.97,52.2,51.66,51.96,3325647
#2018-06-25#,50.95,50.95,47.33,48.77,5794685
#2018-06-26#,48.73,49.695,47.66,49.48,2771583
#2018-06-27#,49.73,49.99,48.02,48.1,3094203
#2018-06-28#,48.16,48.16,47.06,47.65,2232020
#2018-06-29#,47.65,47.97,47.18,47.25,2972190
#2018-07-02#,46.79,47.23,46.4,47.06,1973834
#2018-07-03#,47.26,47.39,46.55,46.65,927296
#2018-07-04#,47.26,47.39,46.55,46.65,927296
#2018-07-05#,46.98,46.9816,46.16,46.62,2245125
#2018-07-06#,46.45,47.21,46.45,47.05,919837
#2018-07-09#,47.42,48.06,47.17,47.77,1176425
#2018-07-10#,47.71,48.18,47.49,47.6,1511703
#2018-07-11#,47.13,47.8,46.96,47.61,2035392
#2018-07-12#,47.99,48.375,47.785,47.96,1275265
#2018-07-13#,47.89,48.09,47.015,47.08,1928052
#2018-07-16#,47.31,47.6734,46.92,47.19,1617660
#2018-07-17#,47.15,47.9,46.93,47.57,1546201
#2018-07-18#,49.22,51.7,49,50.14,6735039
#2018-07-19#,50.04,50.15,49.26,49.85,2211638
#2018-07-20#,49.73,49.79,49.33,49.54,1180875
#2018-07-23#,49.9,50.15,49.661,49.85,2530913
#2018-07-24#,50.23,50.38,49.25,49.85,2826828
#2018-07-25#,49.61,50.2,49.155,50.16,1806520
#2018-07-26#,50.04,50.61,49.9,50.05,1017497
#2018-07-27#,50.64,50.68,49.64,49.76,1236754
#2018-07-30#,49.59,50.17,49.45,49.76,1238704
#2018-07-31#,49.95,50.27,49.52,50.03,2079479
#2018-08-01#,50.03,50.36,49.06,49.22,1273731
#2018-08-02#,48.75,49.72,47.78,49.68,2028256
#2018-08-03#,49.83,50.26,49.5,49.81,1313014
#2018-08-06#,49.6,49.86,49.27,49.75,1099489
#2018-08-07#,49.83,50.05,49.54,49.61,1365420
#2018-08-08#,49.76,49.91,48.88,48.93,1796003
#2018-08-09#,51.46,51.604,49.87,50.95,4387848
#2018-08-10#,51.36,51.36,49.88,50.61,1854963
#2018-08-13#,50.59,51.51,50.43,51.16,2532495
#2018-08-14#,51.12,52.19,50.82,52.02,2275824
#2018-08-15#,51.47,52.025,51.21,51.97,1886095
#2018-08-16#,52.2,52.6,51.83,51.89,1133686
#2018-08-17#,51.94,52.6,51.5735,52.49,2497979
#2018-08-20#,52.37,53.34,52.37,53.08,2169489
#2018-08-21#,53.02,53.7798,53.02,53.36,1509808
#2018-08-22#,53.24,53.24,52.57,52.59,1175175
#2018-08-23#,52.34,52.68,52.16,52.38,1085907
#2018-08-24#,52.68,53.27,52.3,53.07,966362
#2018-08-27#,53.4,53.84,53.32,53.43,1203792
#2018-08-28#,53.46,53.66,53.08,53.61,899483
#2018-08-29#,53.87,54.55,53.81,54.25,2194514
#2018-08-30#,54.15,54.24,53.28,53.32,1416254
#2018-08-31#,53.29,53.71,53.094,53.61,1921446
#2018-09-03#,53.29,53.71,53.094,53.61,1921446
#2018-09-04#,53.53,53.69,52.68,53.02,1425475
#2018-09-05#,52.97,53.39,52.69,52.98,1182967
#2018-09-06#,53.52,53.83,53.15,53.2,1371413
#2018-09-07#,52.95,53.46,52.53,53.37,965435
#2018-09-10#,53.72,53.89,53.23,53.42,1116562
#2018-09-11#,53.25,53.38,52.8,53.16,1203467
#2018-09-12#,53,53.67,52.62,53.52,1066419
#2018-09-13#,53.6,54.225,53.43,53.99,1059669
#2018-09-14#,54.16,55.69,54.13,55.47,3041324
#2018-09-17#,55.47,56.53,55.27,55.83,1947571
#2018-09-18#,55.66,57.04,55.55,56.92,2061035
#2018-09-19#,57.16,57.41,56.74,57.05,1402192
#2018-09-20#,57.38,57.6,57.15,57.46,1297017
#2018-09-21#,57.46,58.09,57.28,57.88,2787260
#2018-09-24#,57.6,57.6,56.41,56.94,1698225
#2018-09-25#,56.85,56.85,56.35,56.42,1201216
#2018-09-26#,56.87,57.46,56.72,57.18,2358008
#2018-09-27#,54.55,57.05,53.57,56.89,4532635
#2018-09-28#,57.2,57.91,56.8,57.43,1925076
#2018-10-01#,57.6,57.86,56.69,56.76,1290761
#2018-10-02#,56.83,57.07,56.38,56.48,896594
#2018-10-03#,56.66,56.87,56.13,56.16,1040324
#2018-10-04#,55.91,56.19,54.74,55.05,1981374
#2018-10-05#,55.05,55.56,53.91,54.24,1475168
#2018-10-08#,54.16,54.37,53.43,54.28,1476870
#2018-10-09#,54.16,54.41,53.825,53.97,790684
#2018-10-10#,53.78,53.84,52.02,52.11,1796982
#2018-10-11#,52,52.18,50.39,50.62,2488411
#2018-10-12#,51.43,51.61,49.99,50.7,3275354
