"Date","Open","High","Low","Close","Volume"
#2013-01-01#,39.72,40.19,39.54,40.17,3295011
#2013-01-02#,40.9,41.17,40.65,41.16,3176186
#2013-01-03#,41.2,41.635,40.95,41.58,2794519
#2013-01-04#,41.59,42.36,41.45,42.2,3019181
#2013-01-07#,42.07,42.095,41.48,41.74,2250581
#2013-01-08#,41.62,41.83,41.47,41.83,2408100
#2013-01-09#,41.84,42.42,41.8,42.23,3067711
#2013-01-10#,42.49,42.6599,42.39,42.58,3104144
#2013-01-11#,42.74,43,42.45,42.96,2552231
#2013-01-14#,42.94,42.98,42.61,42.93,2037431
#2013-01-15#,42.57,43,42.57,42.91,1608303
#2013-01-16#,42.81,43.18,42.69,42.78,2255350
#2013-01-17#,42.86,43.335,42.72,43.09,3540330
#2013-01-18#,43.16,43.24,42.88,43.21,3341760
#2013-01-21#,43.16,43.24,42.88,43.21,3341760
#2013-01-22#,43.44,44.25,43.44,44.2,3907676
#2013-01-23#,44.07,44.2,43.72,43.83,3589272
#2013-01-24#,43.87,44,43.52,43.57,3808969
#2013-01-25#,43.66,43.99,43.57,43.91,2275888
#2013-01-28#,43.97,43.97,43.45,43.53,2528299
#2013-01-29#,43.51,43.875,43.4,43.82,2624576
#2013-01-30#,43.82,44.5,43.63,44.21,3669259
#2013-01-31#,44.19,44.35,43.8,43.9,3262824
#2013-02-01#,44.22,44.99,44.09,44.84,3112808
#2013-02-04#,44.5,44.59,43.85,43.93,3140351
#2013-02-05#,44.13,44.46,44.12,44.31,1928348
#2013-02-06#,44.05,44.34,43.91,44.31,3165556
#2013-02-07#,45.67,46.1,44.51,45.06,7146990
#2013-02-08#,45.05,45.29,44.89,45.14,3510945
#2013-02-11#,45.03,45.45,44.91,45.25,2357686
#2013-02-12#,45.19,45.67,45.15,45.61,2702968
#2013-02-13#,45.59,45.91,45.48,45.88,2424640
#2013-02-14#,45.68,46.08,45.46,45.88,3968755
#2013-02-15#,45.99,46.19,45.72,45.85,3815132
#2013-02-18#,45.99,46.19,45.72,45.85,3815132
#2013-02-19#,45.85,46.75,45.85,46.74,4273843
#2013-02-20#,46.71,47.08,46.35,46.41,5044762
#2013-02-21#,46.38,46.53,46.15,46.47,4037755
#2013-02-22#,46.64,46.85,46.54,46.74,2443775
#2013-02-25#,46.87,46.88,45.36,45.36,4534011
#2013-02-26#,45.27,45.72,45.02,45.56,4348191
#2013-02-27#,45.44,46.14,45.11,46.05,2914117
#2013-02-28#,45.98,46.34,45.77,46.02,3876898
#2013-03-01#,45.96,46.36,45.5,46.35,3861744
#2013-03-04#,46.12,46.54,45.91,46.54,3114322
#2013-03-05#,46.77,47.42,46.76,47.21,5247467
#2013-03-06#,47.5,47.75,47.13,47.33,2542559
#2013-03-07#,47.35,47.44,47.2,47.29,1707681
#2013-03-08#,47.32,47.61,47.1175,47.42,3018624
#2013-03-11#,47.39,47.76,47.26,47.75,2619108
#2013-03-12#,47.74,47.88,47.55,47.71,2453674
#2013-03-13#,47.75,47.98,47.73,47.93,2361252
#2013-03-14#,47.99,48.28,47.83,48.2,2623909
#2013-03-15#,48,48.3,47.89,47.98,4529309
#2013-03-18#,47.36,48.23,47.19,47.86,3312630
#2013-03-19#,48.01,48.189,47.51,47.64,3427618
#2013-03-20#,47.95,48.135,47.84,47.93,3033656
