"Date","Open","High","Low","Close","Volume"
#2017-01-02#,110.59,110.79,109.38,109.62,2200540
#2017-01-03#,110.39,110.96,110,110.83,2739627
#2017-01-04#,111.46,111.698,110.58,110.9,3091396
#2017-01-05#,111.17,111.94,110.56,111.35,3344920
#2017-01-06#,111.42,112.83,111.06,112.55,2622291
#2017-01-09#,112.7,112.7,111.271,111.5,2434378
#2017-01-10#,111.75,111.83,111.06,111.26,1800921
#2017-01-11#,111.62,111.62,110.58,111,2746199
#2017-01-12#,111.14,111.14,109.705,110.82,2644682
#2017-01-13#,110.93,111.26,109.85,110.22,2880618
#2017-01-16#,110.93,111.26,109.85,110.22,2880618
#2017-01-17#,109.78,110.27,109.4,109.97,2240147
#2017-01-18#,110.2,110.89,109.82,110.42,2600332
#2017-01-19#,111.03,111.6,110.02,110.73,2828243
#2017-01-20#,110.95,111.1,110.03,110.79,3134293
#2017-01-23#,110.84,111.3,109.98,110.34,2296594
#2017-01-24#,110.68,111.69,110.34,111.61,3240027
#2017-01-25#,111.87,112.51,108.78,110.96,5054022
#2017-01-26#,110.8,111.49,109.53,110.36,3996330
#2017-01-27#,110.15,110.9,109.61,109.7,2829980
#2017-01-30#,109.31,109.6,108.25,109.17,2909899
#2017-01-31#,109.04,109.81,108.39,109.67,3945675
#2017-02-01#,109.63,109.905,107.9,108.18,4670143
#2017-02-02#,108.08,108.68,106.85,108.36,4714506
#2017-02-03#,108.53,109.78,108.5,109.65,3411707
#2017-02-06#,109.81,111.25,109.675,110.68,4229572
#2017-02-07#,111.38,111.73,110.965,111.25,2774432
#2017-02-08#,111.09,111.09,110.351,110.4,2073053
#2017-02-09#,110.28,110.72,110,110.09,2653958
#2017-02-10#,110.25,111.26,110.08,111.05,2679214
#2017-02-13#,111.61,112.1,111.42,112.02,2831001
#2017-02-14#,111.99,112.32,111.45,111.57,2771931
#2017-02-15#,111.13,112.08,111.06,111.91,2624996
#2017-02-16#,112.14,112.33,111.81,112.07,2802060
#2017-02-17#,111.93,112.33,111.61,112.15,2531804
#2017-02-20#,111.93,112.33,111.61,112.15,2531804
#2017-02-21#,112.19,112.8,112.04,112.5,2136895
#2017-02-22#,112.35,112.71,111.72,112.66,2205614
#2017-02-23#,112.7,112.881,111.97,112.09,3471711
#2017-02-24#,111.82,112.69,111.75,112.46,2917947
#2017-02-27#,112.59,112.97,112.03,112.81,2731362
#2017-02-28#,112.97,113.19,112.338,112.55,2942507
#2017-03-01#,113.64,114.44,113.461,113.68,5085491
#2017-03-02#,113.83,114.04,112.63,112.69,2880797
#2017-03-03#,112.83,113.43,112.17,112.34,3108508
#2017-03-06#,111.83,112.3,111.54,111.66,3772184
#2017-03-07#,111.86,112.41,111.5,112.28,2457237
#2017-03-08#,112.48,112.66,111.65,111.75,2585009
#2017-03-09#,111.87,112.337,107.05,111.93,2919791
#2017-03-10#,112.39,112.58,111.29,112.14,3220155
#2017-03-13#,112.56,112.728,111.96,112.31,2976331
#2017-03-14#,111.88,112.17,111.55,111.83,2195323
#2017-03-15#,112.12,113.3,111.87,113.08,3169053
#2017-03-16#,112.77,113.22,111.945,112.34,2933831
#2017-03-17#,112.68,113.95,112.27,113.45,7442342
#2017-03-20#,113.4,114.08,112.83,113.51,3057832
