"Date","Open","High","Low","Close","Volume"
#2017-01-02#,64.18,64.36,63.76,64.2,783259
#2017-01-03#,64.74,65.35,64.14,65.09,1086870
#2017-01-04#,65.23,66.56,65.23,66.31,1118062
#2017-01-05#,66.24,66.4,65.33,65.71,948141
#2017-01-06#,65.73,65.97,65.26,65.79,647638
#2017-01-09#,63,64.66,62.882,63.38,2612552
#2017-01-10#,63.3,64.65,63.21,63.63,1762213
#2017-01-11#,63.48,63.58,62.24,63.19,1950546
#2017-01-12#,62.98,63.76,62.67,63.41,1499614
#2017-01-13#,63.71,64.715,63.71,63.93,890029
#2017-01-16#,63.71,64.715,63.71,63.93,890029
#2017-01-17#,63.54,64.14,63.26,63.85,981772
#2017-01-18#,64,64.06,63.54,63.89,898426
#2017-01-19#,63.68,63.83,62.86,62.9,1144539
#2017-01-20#,62.98,63.42,62.72,63.02,1586446
#2017-01-23#,62.83,63.34,62.58,63.12,918985
#2017-01-24#,63.17,63.83,63.17,63.56,841278
#2017-01-25#,63.61,64.38,63.39,64.08,1063753
#2017-01-26#,66.16,66.6,65.04,65.21,2045304
#2017-01-27#,65.21,65.21,64.27,64.55,896061
#2017-01-30#,64.67,64.67,62.58,63.35,1220089
#2017-01-31#,63.41,63.92,63.15,63.75,1007091
#2017-02-01#,63.99,64.81,63.76,64.63,1474997
#2017-02-02#,64.4,65.1,64.39,64.78,1272338
#2017-02-03#,65,65.49,64.53,65.32,1415172
#2017-02-06#,65.02,65.48,64.52,64.62,1005338
#2017-02-07#,64.56,65.37,64.02,64.27,821208
#2017-02-08#,64.1,64.89,63.9,64.69,1175323
#2017-02-09#,64.57,64.8299,64.24,64.66,1510358
#2017-02-10#,64.81,65.09,64.56,64.75,743316
#2017-02-13#,64.9,65.06,64.68,64.81,720063
#2017-02-14#,64.62,65.06,64.57,64.73,1604447
#2017-02-15#,64.45,65.03,64.22,64.85,1329863
#2017-02-16#,65.04,65.29,64.38,64.66,1072387
#2017-02-17#,65.5,67.78,65.42,66.9,3752115
#2017-02-20#,65.5,67.78,65.42,66.9,3752115
#2017-02-21#,67,69.06,66.9,68.89,3188340
#2017-02-22#,68.97,69.37,68.8,69.08,1476026
#2017-02-23#,69.05,69.33,68.61,68.95,2938942
#2017-02-24#,68.81,69.15,68.7,69.04,881977
#2017-02-27#,69,69.27,68.7,69.19,753258
#2017-02-28#,68.88,69.56,68.65,69.41,2203621
#2017-03-01#,69.77,70,69.13,69.17,1158183
#2017-03-02#,69.12,70.03,68.77,69.99,1245275
#2017-03-03#,69.71,70.04,69.59,70,881260
#2017-03-06#,69.98,70.14,69.32,69.42,1121333
#2017-03-07#,69.07,69.28,68.06,68.13,1059188
#2017-03-08#,68.13,68.78,68.07,68.26,760879
#2017-03-09#,68.29,68.78,68.05,68.29,677481
#2017-03-10#,68.38,68.66,68.22,68.55,572590
#2017-03-13#,68.53,68.77,68.37,68.75,692128
#2017-03-14#,68.49,68.82,68.27,68.7,1295958
#2017-03-15#,68.81,69.23,68.655,69.03,1085996
#2017-03-16#,69.02,69.39,67.67,67.74,864939
#2017-03-17#,67.73,67.87,67.56,67.8,1721465
#2017-03-20#,67.84,68.15,67.32,67.41,581650
#2017-03-21#,67.4,67.5,65.97,66.01,1383720
#2017-03-22#,66.17,66.35,65.42,65.56,1232496
#2017-03-23#,65.66,66.71,65.5,66.12,1634997
#2017-03-24#,66.11,67.12,65.9,66.77,970040
#2017-03-27#,66.49,67.23,66.198,66.93,778882
#2017-03-28#,66.71,67.845,66.59,67.69,1141274
#2017-03-29#,67.48,68.5,67.23,68.31,1361956
#2017-03-30#,68.27,68.67,67.94,68.5,918953
#2017-03-31#,68.42,68.54,67.96,67.97,1013641
#2017-04-03#,68.06,68.39,67.26,67.64,1098016
#2017-04-04#,67.58,67.58,66.83,67.18,911940
#2017-04-05#,67.32,68.275,67.19,67.35,798786
#2017-04-06#,67.39,67.79,67.09,67.76,659045
#2017-04-07#,67.55,67.55,66.99,67.04,796154
#2017-04-10#,67.32,68.86,67.23,68.27,1241272
#2017-04-11#,68.03,68.35,67.74,68.31,561841
#2017-04-12#,67.65,68.339,67.51,68.1,688276
#2017-04-13#,68.24,68.24,67.6648,67.78,548082
#2017-04-14#,68.24,68.24,67.6648,67.78,548082
#2017-04-17#,67.84,68.34,67.44,68.34,827202
#2017-04-18#,67.85,68.09,67.48,67.72,640823
#2017-04-19#,67.88,68.24,67.38,67.77,781452
#2017-04-20#,67.89,68.51,67.53,68.43,1042521
#2017-04-21#,68.27,68.49,67.59,67.74,975679
#2017-04-24#,68.43,68.68,68.05,68.27,878714
#2017-04-25#,68.5,68.65,67.92,68.5,858986
#2017-04-26#,68.66,69.22,68.3,68.48,1813922
#2017-04-27#,68.38,69.02,68.38,68.82,926633
#2017-04-28#,68.74,69.02,68.24,69.01,950633
#2017-05-01#,69.02,69.38,68.67,69.08,1481610
#2017-05-02#,69.3,70.16,68.96,70.09,1953285
#2017-05-03#,69,69.44,66.1,66.45,3226139
#2017-05-04#,66.5,66.705,64.81,65.24,2337052
#2017-05-05#,65.4,65.65,64.685,65.45,1974895
#2017-05-08#,65.53,65.92,65.2,65.39,1307101
#2017-05-09#,65.46,66.05,65.195,65.87,1179287
#2017-05-10#,65.74,66.77,65.74,66.54,1330910
#2017-05-11#,66.41,67.01,66.21,66.88,1012756
#2017-05-12#,66.75,66.89,66.5,66.64,911557
#2017-05-15#,66.62,66.9,65.89,66.03,1260063
#2017-05-16#,65.9,65.9,61.7,62.09,4902029
#2017-05-17#,61.54,64.18,61.48,63.95,3119104
#2017-05-18#,64.1,64.45,63.44,64.1,1593596
#2017-05-19#,64.11,65.02,63.85,64.57,1566625
#2017-05-22#,64.64,65.02,64.42,64.7,1505663
#2017-05-23#,64.61,65.03,64.45,64.88,1282367
#2017-05-24#,64.99,65.05,64.53,64.77,1262295
#2017-05-25#,64.77,67.04,64.77,66.27,2150649
#2017-05-26#,66.44,66.775,64.31,64.75,2171571
