"Date","Open","High","Low","Close","Volume"
#2010-01-01#,9.33,9.41,9.09,9.11,1267803
#2010-01-04#,9.22,9.51,9.17,9.5,1871597
#2010-01-05#,9.51,10.29,9.45,10.27,7609170
#2010-01-06#,10.38,11.09,10.35,11,8046687
#2010-01-07#,11,11.06,10.6225,10.82,3682890
#2010-01-08#,10.82,11,10.75,10.94,1529416
#2010-01-11#,10.96,11.24,10.88,11.09,2280522
#2010-01-12#,10.99,11,10.34,10.36,4204503
#2010-01-13#,10.36,10.46,10.04,10.33,2134874
#2010-01-14#,10.31,10.39,10.08,10.16,2889549
#2010-01-15#,9.98,10,9.64,9.86,2953244
#2010-01-18#,9.98,10,9.64,9.86,2953244
#2010-01-19#,9.9,10.08,9.83,10.02,2622579
#2010-01-20#,9.96,10.1,9.68,9.81,1755992
#2010-01-21#,9.86,9.89,9.285,9.41,1968033
#2010-01-22#,9.37,9.76,9.16,9.47,3400077
#2010-01-25#,9.62,9.83,9.37,9.79,3233443
#2010-01-26#,9.75,10.37,9.62,10.29,4569698
#2010-01-27#,10.25,10.33,9.94,10.06,2430330
#2010-01-28#,10.12,10.5,10,10.37,2736019
#2010-01-29#,10.5,10.85,10.38,10.68,4703630
#2010-02-01#,10.76,10.7767,10.47,10.63,1441267
#2010-02-02#,10.67,10.97,10.51,10.93,2048051
#2010-02-03#,10.73,10.87,10.56,10.62,1983612
#2010-02-04#,10.49,10.63,9.96,10.01,3110927
#2010-02-05#,10.06,10.31,9.85,10.19,2742574
#2010-02-08#,10.21,10.24,9.88,9.96,1307067
#2010-02-09#,10.15,10.445,10.075,10.28,2102388
#2010-02-10#,10.34,10.45,10.09,10.45,1219664
#2010-02-11#,10.46,10.74,10.295,10.66,1052469
#2010-02-12#,10.52,11.09,10.33,11.09,3544854
#2010-02-15#,10.52,11.09,10.33,11.09,3544854
#2010-02-16#,11.15,11.24,10.89,11.2,3071523
#2010-02-17#,11.19,11.29,10.99,11.06,2191118
#2010-02-18#,10.91,11.16,10.71,10.72,2771056
#2010-02-19#,10.74,11.17,10.4335,10.86,2687269
#2010-02-22#,10.87,10.97,10.6,10.71,1702467
#2010-02-23#,10.71,10.76,10.31,10.54,1767988
#2010-02-24#,10.55,10.75,10.48,10.51,949030
#2010-02-25#,10.32,10.6,10.2,10.58,1243198
#2010-02-26#,10.73,10.8,10.5,10.66,1191700
#2010-03-01#,10.71,11.5,10.67,11.5,3248191
#2010-03-02#,11.57,11.74,11.41,11.44,1838582
#2010-03-03#,11.5,11.65,11.27,11.43,1589847
#2010-03-04#,11.5,11.57,11.13,11.34,1368501
#2010-03-05#,11.48,11.6,11.34,11.6,2195419
#2010-03-08#,11.6,12.03,11.4901,11.99,2247058
#2010-03-09#,11.99,12.62,11.77,12.59,4381709
#2010-03-10#,12.57,12.8,12.36,12.42,3493374
#2010-03-11#,12.42,13.25,12.42,13.07,3615248
#2010-03-12#,13.2,13.24,12.875,13,1936796
#2010-03-15#,13.01,13.05,12.72,12.98,1163643
#2010-03-16#,13.04,13.05,12.845,12.99,1349284
#2010-03-17#,13.05,13.44,12.85,13.38,2145720
#2010-03-18#,13.39,13.41,12.95,13.11,1720831
#2010-03-19#,13.19,13.27,12.66,12.66,3262130
#2010-03-22#,12.56,13.31,12.04,13.19,3749194
#2010-03-23#,13.37,14.32,13.27,14.15,5920759
#2010-03-24#,14.05,14.29,13.99,14.11,1850808
#2010-03-25#,14.23,14.44,13.91,13.92,1782187
#2010-03-26#,13.94,14.49,13.94,14.07,2001624
#2010-03-29#,14.11,14.28,14.01,14.06,1212450
#2010-03-30#,14.04,14.15,13.82,14.01,1520233
#2010-03-31#,13.89,14.22,13.88,13.93,979183
#2010-04-01#,14.09,14.56,14.07,14.3,1376522
#2010-04-02#,14.09,14.56,14.07,14.3,1376522
#2010-04-05#,14.3,14.71,14.16,14.6,1739245
#2010-04-06#,14.55,14.71,14.4,14.54,1549326
#2010-04-07#,14.48,14.56,13.98,14.23,2970686
#2010-04-08#,14.23,14.64,14.03,14.59,1082425
#2010-04-09#,14.63,14.87,14.4,14.65,1438978
#2010-04-12#,14.74,14.98,14.5995,14.78,1435744
#2010-04-13#,14.78,14.92,14.1,14.16,2342238
#2010-04-14#,14.2,14.45,13.94,14.41,2026445
#2010-04-15#,14.41,14.5,14.16,14.21,1382563
#2010-04-16#,14.16,14.3,13.51,13.85,1929574
#2010-04-19#,13.78,13.97,13.31,13.73,1816665
#2010-04-20#,13.76,14.03,13.51,13.99,1622464
#2010-04-21#,14.05,14.07,13.47,13.68,1384036
#2010-04-22#,13.49,13.72,13.03,13.69,1902497
#2010-04-23#,13.66,14.205,13.66,14.13,992290
#2010-04-26#,14.07,14.2899,13.95,13.96,859326
#2010-04-27#,13.92,14.08,13.22,13.26,1986688
#2010-04-28#,13.29,13.575,13.21,13.23,1611450
#2010-04-29#,13.31,13.69,13.22,13.68,1998490
#2010-04-30#,13.64,13.84,13.25,13.44,1255287
#2010-05-03#,13.49,13.88,13.23,13.76,1838380
#2010-05-04#,13.5,13.58,12.9,13.07,3295848
#2010-05-05#,11.53,13.31,8.5,13.06,3701870
#2010-05-06#,13.8,13.82,10.13,12.14,5307445
#2010-05-07#,12.35,12.41,10.73,11.59,4512450
#2010-05-10#,12.22,13.17,12.22,13.1,2775991
#2010-05-11#,12.87,13.7,12.5608,13.27,2559389
#2010-05-12#,13.31,14.26,13.24,14.19,2485396
#2010-05-13#,14.1,14.35,13.86,13.89,2444749
#2010-05-14#,13.85,13.87,13.16,13.49,2008729
#2010-05-17#,13.61,13.76,13.02,13.63,1860025
#2010-05-18#,13.76,14,13.21,13.34,2748577
#2010-05-19#,13.25,13.3,12.52,12.94,1999214
#2010-05-20#,12.52,12.6,11.99,12,2384252
#2010-05-21#,11.74,12.7625,11.57,12.46,2573639
#2010-05-24#,12.4,12.8,12.25,12.4,1535024
#2010-05-25#,11.76,12.58,11.37,12.56,2288474
#2010-05-26#,12.66,13.08,12.255,12.385,3167056
#2010-05-27#,12.77,13.12,12.6,13.12,2039426
#2010-05-28#,13.11,13.325,12.73,12.89,1373734
#2010-05-31#,13.11,13.325,12.73,12.89,1373734
#2010-06-01#,12.72,13.25,12.62,12.65,1377193
#2010-06-02#,12.63,13.281,12.63,13.28,2351126
#2010-06-03#,13.46,13.4999,13.09,13.34,2477920
#2010-06-04#,12.9,13.11,12.65,12.9,2154725
#2010-06-07#,13.02,13.09,11.95,12,1707555
