"Date","Open","High","Low","Close","Volume"
#2010-01-01#,49.46,49.68,48.2,48.23,653764
#2010-01-04#,49.66,50.34,49.21,49.92,1164879
#2010-01-05#,50.2,51.27,49.39,50.65,1758301
#2010-01-06#,50.51,51.41,49.78,51.14,1109019
#2010-01-07#,50.87,51.02,49.85,50.38,1142763
#2010-01-08#,50.12,50.55,49.39,50.46,937215
#2010-01-11#,51,51.44,49.06,49.64,874629
#2010-01-12#,48.65,49.21,47.94,48.94,1627174
#2010-01-13#,49.06,50.74,49.06,50.62,1627361
#2010-01-14#,51.09,54.07,51.09,53.17,2802827
#2010-01-15#,53.02,53.34,52.15,52.94,1305412
#2010-01-18#,53.02,53.34,52.15,52.94,1305412
#2010-01-19#,52.89,53.42,52.58,53.34,1599882
#2010-01-20#,52.52,52.97,51.88,52.52,2267549
#2010-01-21#,53.14,53.45,51.75,52.33,1677940
#2010-01-22#,51.96,52.17,50.47,50.56,1390057
#2010-01-25#,51.23,51.845,50.68,51.49,1104514
#2010-01-26#,51.26,51.69,50.56,50.62,1185628
#2010-01-27#,50.31,51.17,48.2,49.2,1709368
#2010-01-28#,49.42,49.88,47.46,49.51,1857852
#2010-01-29#,49.86,51.66,48.65,48.94,3197779
#2010-02-01#,50,51.96,49.85,51.95,1682973
#2010-02-02#,52.06,53.3297,51.07,53.27,1655371
#2010-02-03#,52.8,53.08,51.81,51.94,1434286
#2010-02-04#,51.28,51.28,49,49.29,2006647
#2010-02-05#,49.22,49.98,48.03,49.8,2705172
#2010-02-08#,49.93,50.63,48.79,49.14,924844
#2010-02-09#,50,50.88,49.4508,49.89,1458789
#2010-02-10#,49.52,50.21,48.83,49.87,1412142
#2010-02-11#,49.73,51.29,49.48,51.1,994493
#2010-02-12#,50.24,52.02,49.93,52.02,1306973
#2010-02-15#,50.24,52.02,49.93,52.02,1306973
#2010-02-16#,52.76,53.14,52.28,52.69,2531674
#2010-02-17#,47.92,52.25,47.92,50.75,3789262
#2010-02-18#,50.74,51.41,50.01,50.68,1611638
#2010-02-19#,50.47,50.97,49.62,50.62,1760467
#2010-02-22#,50.94,51.17,48.81,49.34,1681811
#2010-02-23#,49.1,49.43,47.68,48,3129067
#2010-02-24#,48.03,49.56,48.03,49.18,2150319
#2010-02-25#,48.19,50.34,47.88,50.15,2639362
#2010-02-26#,49.56,51.14,49.56,51.07,1866837
#2010-03-01#,51.47,52.73,51.27,52.14,3300740
#2010-03-02#,52.08,53.23,52.06,52.93,2539338
#2010-03-03#,53.16,54,53.16,53.65,2070070
#2010-03-04#,53.77,54.26,52.25,52.4,2210163
#2010-03-05#,52.93,53.15,52.69,52.84,1088857
#2010-03-08#,53.01,53.33,52.495,52.66,1302175
#2010-03-09#,52.29,53.11,52.25,52.57,1398981
#2010-03-10#,52.31,54.32,52.28,54.31,2867896
#2010-03-11#,53.78,55,53.78,54.86,2165783
#2010-03-12#,54.96,55.2,54.35,54.81,1901797
#2010-03-15#,54.48,54.56,52.54,53.64,1343273
#2010-03-16#,53.93,54.3,53.4,54.25,1153757
#2010-03-17#,54.69,55,54.06,54.22,1305579
#2010-03-18#,54.33,54.72,51.03,51.34,3036960
#2010-03-19#,51.37,51.51,49.78,49.98,2599960
#2010-03-22#,49.4,49.73,48.75,49.53,1959916
#2010-03-23#,49.68,50.72,49.66,50.59,1902515
#2010-03-24#,50.02,50.74,49.53,49.87,2240930
#2010-03-25#,50.42,50.69,48.25,48.35,1586213
#2010-03-26#,48.65,48.65,47.21,47.59,2019527
#2010-03-29#,47.92,49.91,47.88,49.86,1745835
#2010-03-30#,49.8,51.04,49.76,50.63,2277673
#2010-03-31#,50.59,52.56,50.54,52.05,2974916
#2010-04-01#,52.52,54.86,52.52,54.33,2573510
#2010-04-02#,52.52,54.86,52.52,54.33,2573510
#2010-04-05#,54.67,55.55,54.59,55.49,1272216
#2010-04-06#,55.23,55.92,55.05,55.78,1170071
#2010-04-07#,55.55,55.96,54.81,55.57,1521631
#2010-04-08#,54.29,55.61,52.94,55.47,2178955
#2010-04-09#,56.16,57,55,55.21,2051275
#2010-04-12#,55.25,55.4,54.07,54.36,1716960
#2010-04-13#,54.2,54.65,53.12,53.8,1926920
#2010-04-14#,54.42,54.42,53.001,54,1261004
#2010-04-15#,53.74,54.25,53.67,53.73,1010879
#2010-04-16#,53.27,53.75,52.05,52.74,1353560
#2010-04-19#,52.31,52.73,51.3,52.61,1285339
#2010-04-20#,53.02,54.35,53.02,54.06,1107439
