"Date","Open","High","Low","Close","Volume"
#2017-01-02#,67.3,67.44,66.97,67.12,548709
#2017-01-03#,67.47,67.59,66.26,66.68,614725
#2017-01-04#,66.65,67.8,66.64,67.72,612459
#2017-01-05#,67.49,68.15,67.24,67.64,626320
#2017-01-06#,67.62,68.81,67.52,68.46,615215
#2017-01-09#,68.37,68.45,67.33,67.77,639872
#2017-01-10#,67.62,67.87,67.17,67.2,834144
#2017-01-11#,67.19,67.8,66.89,67.72,484379
#2017-01-12#,67.44,67.55,66.1,67.4,502578
#2017-01-13#,67.33,67.92,67.24,67.71,461043
#2017-01-16#,67.33,67.92,67.24,67.71,461043
#2017-01-17#,67.36,67.68,66.89,66.99,909566
#2017-01-18#,66.71,67.29,66.62,67.25,777554
#2017-01-19#,67.06,67.34,66.49,67.06,624998
#2017-01-20#,67.3,67.58,66.84,67.36,637830
#2017-01-23#,67.06,67.68,66.67,67.32,630066
#2017-01-24#,67.23,68.287,66.85,67.95,647025
#2017-01-25#,68.09,68.45,67.7,68.34,613782
#2017-01-26#,68.5,68.9,68.28,68.83,623615
#2017-01-27#,68.92,68.93,68.1,68.36,727573
#2017-01-30#,68.04,68.26,67.43,68.18,763118
#2017-01-31#,68.36,70.61,67.26,70.54,1482725
#2017-02-01#,70.47,71.89,70.29,70.75,1340638
#2017-02-02#,70.67,71.21,70.03,70.67,829709
#2017-02-03#,71,71,70.04,70.34,974234
#2017-02-06#,70.05,70.31,69.6,69.74,869754
#2017-02-07#,69.98,70.14,68.93,69.36,1371235
#2017-02-08#,69.3,69.38,68.62,68.88,995968
#2017-02-09#,68.92,69.47,68.81,69.1,558273
#2017-02-10#,69.11,69.995,69.08,69.77,877606
#2017-02-13#,69.79,70.86,69.44,70.7,840415
#2017-02-14#,70.7,71.04,70.5,70.78,682582
#2017-02-15#,71.03,71.63,70.51,71.25,877006
#2017-02-16#,71.33,71.59,70.72,71.34,879385
#2017-02-17#,71.13,71.65,70.8,71.51,2710388
#2017-02-20#,71.13,71.65,70.8,71.51,2710388
#2017-02-21#,71.6,71.86,71.265,71.37,973268
#2017-02-22#,71.24,71.76,71.06,71.24,825811
#2017-02-23#,71.43,71.73,71.17,71.45,547290
#2017-02-24#,71.08,71.79,71.0487,71.45,871809
#2017-02-27#,71.57,71.57,70.92,71.15,767239
#2017-02-28#,71.18,71.335,70.69,71.11,1355994
#2017-03-01#,72,72.52,71.81,72.18,1293738
#2017-03-02#,72.18,72.34,71.15,71.25,892916
