"Date","Open","High","Low","Close","Volume"
#2019-01-01#,73.98,74.46,73.515,74.14,5519230
#2019-01-02#,72.79,74.64,72.19,74.06,6762678
#2019-01-03#,73.25,73.32,71.21,72.75,8007384
#2019-01-04#,73.45,75.12,73.12,74.65,7844239
#2019-01-07#,74.74,76.365,74.3,75.72,8184786
#2019-01-08#,76.83,77.4,76.2,76.73,8808978
#2019-01-09#,76.97,77.15,76.14,76.59,8590991
#2019-01-10#,75.64,77.34,75.46,76.42,11148593
#2019-01-11#,76.34,76.89,75.8,76.04,10689863
#2019-01-14#,75.46,76.81,75.46,76.09,5677442
#2019-01-15#,76.19,77.98,76.13,77.88,6212364
#2019-01-16#,78,78.85,77.5863,77.68,5697149
#2019-01-17#,77.54,79.4,77.31,79.13,7737292
#2019-01-18#,79.95,80.97,79.74,80.45,10404132
#2019-01-21#,79.95,80.97,79.74,80.45,10404132
#2019-01-22#,80.33,81.3129,80.2,80.75,8781678
#2019-01-23#,81.19,81.4,80.22,80.5,5822957
#2019-01-24#,80.6,80.87,79.55,80.44,4753325
#2019-01-25#,81.25,81.3319,80.43,80.61,4457072
#2019-01-28#,79.8,80.505,79.74,80.32,5451971
#2019-01-29#,80.36,80.83,79.84,80.22,4187527
#2019-01-30#,80.4,81.29,80.0601,81.28,5200226
#2019-01-31#,81.18,81.95,80.71,81.88,8599206
#2019-02-01#,81.83,81.9,81.13,81.51,5351916
#2019-02-04#,81.22,82,80.83,81.99,4236583
#2019-02-05#,81.98,83.19,81.93,82.86,6545577
#2019-02-06#,82.51,82.71,81.64,82.71,3682813
#2019-02-07#,82.15,82.845,81.71,82.39,4827485
#2019-02-08#,82.25,82.72,81.94,82.36,3786588
#2019-02-11#,82.95,83.83,82.8704,83.68,6158533
#2019-02-12#,83.97,84.84,83.62,84.71,6290259
#2019-02-13#,84.76,85.59,84.76,85.4,5032812
#2019-02-14#,84.61,85.14,83.7,84.68,5179036
#2019-02-15#,85.49,85.78,85.1,85.38,6111250
#2019-02-18#,85.49,85.78,85.1,85.38,6111250
#2019-02-19#,84.58,85.05,84.46,84.57,5105894
#2019-02-20#,84.63,84.95,84.35,84.84,6436096
#2019-02-21#,83.57,84.152,83.35,83.95,8579155
#2019-02-22#,84.2,85.02,84.0301,84.76,4449747
#2019-02-25#,85.39,85.73,84.96,85.17,6229652
#2019-02-26#,85.31,86.08,85.2,85.8,6678802
#2019-02-27#,85.53,86.22,85.06,86.17,4588351
#2019-02-28#,86.08,86.4,85.68,85.73,4988146
#2019-03-01#,86.93,87.99,86.24,87.16,6315062
#2019-03-04#,87.32,87.99,85.11,85.64,7339569
#2019-03-05#,85.88,86.25,85.44,85.44,4976324
#2019-03-06#,85.6,85.99,85.04,85.13,3198110
#2019-03-07#,84.97,85.41,84.66,85.26,4321788
#2019-03-08#,84.58,84.88,84.02,84.8,4669677
#2019-03-11#,85.39,85.94,85.05,85.82,3999751
#2019-03-12#,85.78,86.08,85.02,85.43,4431552
#2019-03-13#,85.7,86.655,85.6,85.93,5037858
#2019-03-14#,86.15,86.88,85.7,86.87,5906100
#2019-03-15#,87.22,87.6053,85.955,86.8,11031386
#2019-03-18#,87.3,87.84,87,87.82,7750711
#2019-03-19#,88.22,88.59,87.29,87.69,6642156
#2019-03-20#,87.5,87.58,86.09,86.69,5991484
#2019-03-21#,87.24,88.12,86.83,88.01,10386937
#2019-03-22#,85.2,85.9,82.15,82.19,21659776
#2019-03-25#,81.48,83.22,80.89,82.33,15558297
#2019-03-26#,83.63,84.09,82.91,83.38,9611895
#2019-03-27#,83.69,83.8,82.04,83.09,6485079
#2019-03-28#,83.93,84.72,83.7,84.04,6032651
#2019-03-29#,84.6,84.85,83.86,84.21,6492022
#2019-04-01#,85.04,85.32,84.7,85.23,6737429
#2019-04-02#,85,85.26,84.16,84.37,4433849
#2019-04-03#,84.9,84.99,84.25,84.47,4080926
#2019-04-04#,84.49,85.38,84.36,85.28,3660677
#2019-04-05#,86,86.16,85.05,85.4,7367351
#2019-04-08#,85.01,85.29,84.57,84.73,4705846
#2019-04-09#,84.22,84.6,83.97,84.28,3804527
#2019-04-10#,84.64,85.01,84.56,84.88,3918379
#2019-04-11#,84.9,85.05,84.2837,85,3347649
#2019-04-12#,85.3,86.49,85.29,86.24,6037028
#2019-04-15#,86.89,87.2428,86.4388,86.83,5035211
#2019-04-16#,87,87.95,87,87.8,4652727
#2019-04-17#,87.95,88.97,87.45,88.73,5694880
#2019-04-18#,88.76,90,88.7,89.2,7016564
#2019-04-19#,88.76,90,88.7,89.2,7016564
#2019-04-22#,88.35,88.64,87.3,87.36,5390519
#2019-04-23#,87.57,87.67,87.0092,87.43,7513959
#2019-04-24#,87.67,88.8241,87.43,88.39,8062966
#2019-04-25#,88.4,88.54,87.49,87.56,7069867
#2019-04-26#,87.95,88.94,87.33,88.31,6219557
#2019-04-29#,88.18,88.505,88.13,88.26,5008453
#2019-04-30#,88.29,88.4,87.26,87.83,7614083
#2019-05-01#,87.73,87.95,85.87,85.9,6524576
#2019-05-02#,86.21,86.28,84.985,85.27,6813740
#2019-05-03#,85.9,86.3,85.695,85.7,6798283
#2019-05-06#,83.77,83.87,82.86,83.57,12836646
#2019-05-07#,83.02,83.63,81.83,82.54,9811257
#2019-05-08#,82.43,83.99,82.14,82.77,9501257
#2019-05-09#,82.21,83.01,81.5355,82.98,6336567
#2019-05-10#,82.78,84.27,82.19,83.95,5450504
#2019-05-13#,81.65,82.63,81.32,82.53,6445267
#2019-05-14#,82.78,84,82.06,83.67,7529248
#2019-05-15#,83.17,84.49,82.94,84.01,4862202
#2019-05-16#,84.51,85.4,84.2,84.28,6745317
#2019-05-17#,83.51,85.515,83.5,84.57,5068366
#2019-05-20#,83.8,83.8,82.735,82.85,7182345
#2019-05-21#,83.36,83.8,82.51,83.64,5762586
#2019-05-22#,82.99,83.34,82.76,83.2,5237761
#2019-05-23#,82.5,83.06,81.99,82.64,9704192
#2019-05-24#,82.2,83.17,82.09,82.16,5998980
#2019-05-27#,82.2,83.17,82.09,82.16,5998980
#2019-05-28#,82.85,83.19,81.13,81.2,7927485
#2019-05-29#,80.71,80.86,77.7,78.87,10116913
#2019-05-30#,78.92,79.73,78.61,79.26,6177832
#2019-05-31#,78,78.26,77.07,77.14,8891080
#2019-06-03#,77.24,78.58,77.08,77.96,11665482
#2019-06-04#,79.3,81.65,78.78,81.62,7526860
#2019-06-05#,82.29,82.9,81.93,82.72,8173198
#2019-06-06#,82.72,83.06,82.08,82.45,4952974
#2019-06-07#,83.09,83.68,82.81,83.41,3891114
#2019-06-10#,83.75,84.2,82.45,82.58,4419758
#2019-06-11#,83.65,84.335,83.125,83.26,3939370
#2019-06-12#,83.48,84.02,82.52,82.63,4026188
#2019-06-13#,83.15,83.915,83.045,83.61,3383394
#2019-06-14#,83.51,83.855,83.04,83.44,4355606
#2019-06-17#,83.34,83.46,82.01,82.11,5101891
#2019-06-18#,82.7,84.645,82.5,84.3,6456476
#2019-06-19#,83.73,83.9,83.14,83.55,6217785
#2019-06-20#,84.9,85.67,84.42,85.24,6163840
#2019-06-21#,85.16,85.75,84.6,85.75,9289833
#2019-06-24#,86,86.85,84.365,84.5,8043728
#2019-06-25#,84.6,84.69,82.16,82.62,7339868
#2019-06-26#,83.15,83.69,82.44,82.55,5838460
#2019-06-27#,82.93,83.77,82.93,83.66,11436707
#2019-06-28#,83.99,84.75,82.67,83.95,12443841
#2019-07-01#,84.93,86.28,84.9,85.41,6612243
#2019-07-02#,85.36,85.47,84.22,84.96,7189294
#2019-07-03#,85.33,86.2901,85.12,86.2,4012837
#2019-07-04#,85.33,86.2901,85.12,86.2,4012837
