"Date","Open","High","Low","Close","Volume"
#2017-01-02#,75.89,76.21,75.51,76.05,848649
#2017-01-03#,76.71,77.42,76.47,76.93,1413465
#2017-01-04#,77.39,77.59,76.59,77.28,1138622
#2017-01-05#,77.02,77.53,76.735,77,651913
#2017-01-06#,77.06,78.43,77.06,77.82,569329
#2017-01-09#,78.08,78.58,77.81,77.99,638016
#2017-01-10#,77.72,78.34,77.34,77.88,1164628
#2017-01-11#,77.85,77.95,75.7,76.98,1784583
#2017-01-12#,76.91,77.51,76.43,77.19,1207749
#2017-01-13#,77.23,77.96,76.98,77.16,654082
#2017-01-16#,77.23,77.96,76.98,77.16,654082
#2017-01-17#,77.15,77.15,76.225,76.79,1015076
#2017-01-18#,77.1,77.24,75.05,75.59,1983015
#2017-01-19#,75.49,76.76,75.32,76.07,1523167
#2017-01-20#,75.79,76.25,75.79,76.1,839379
#2017-01-23#,75.89,76.24,75.115,75.85,952225
#2017-01-24#,76.16,76.18,74.8,75.35,1547198
#2017-01-25#,75.79,76.11,75.41,75.53,964447
#2017-01-26#,75.5,76.2,75.39,75.54,1026318
#2017-01-27#,75.74,76.49,75.46,76.36,1027367
#2017-01-30#,76.11,76.11,74.86,75.35,671884
#2017-01-31#,75.16,78.53,74.92,78.49,1145599
#2017-02-01#,78.28,79.02,77.98,78.56,1046130
#2017-02-02#,77.9,78.25,76.86,78.21,666815
#2017-02-03#,76.53,78.08,76.5,77.62,1033702
#2017-02-06#,77.81,78.62,77.55,77.75,961140
#2017-02-07#,78.16,78.38,77.54,77.99,1019382
#2017-02-08#,77.58,78.23,76.58,78.13,1175957
#2017-02-09#,78.04,79.14,77.96,78.85,1187051
#2017-02-10#,79.1,79.74,78.67,79.56,1011381
#2017-02-13#,79.5,80.85,79.45,80,1924529
#2017-02-14#,79.3,83.04,77.6,82.3,3615777
#2017-02-15#,81.36,81.36,77.56,77.85,3810487
#2017-02-16#,77.86,78.08,76.26,76.87,1616593
#2017-02-17#,77.63,77.96,76.03,76.75,1470641
#2017-02-20#,77.63,77.96,76.03,76.75,1470641
#2017-02-21#,76.61,77.26,75.94,76.25,1226137
#2017-02-22#,76.34,77.49,76.06,77.35,1626389
#2017-02-23#,77.53,78.4,77.37,78.12,1954538
#2017-02-24#,78.51,79.37,77.385,77.64,1861848
#2017-02-27#,77.64,79.68,77,79.47,1563227
#2017-02-28#,79,79,77.35,77.39,1959706
#2017-03-01#,77.51,78.21,76.75,77.1,2035099
#2017-03-02#,76.87,77.15,76.51,76.78,1376892
#2017-03-03#,76.9,78.23,76.51,77.85,1218989
#2017-03-06#,77.42,78.57,77.09,77.9,1549737
#2017-03-07#,77.64,78.06,77.41,77.48,1340661
#2017-03-08#,77.25,79.82,76.9,79.13,1974438
