"Date","Open","High","Low","Close","Volume"
#2018-01-01#,85.12,85.44,84.46,84.46,2563826
#2018-01-02#,84.46,85,84.06,84.68,3456665
#2018-01-03#,84.74,85.415,84.27,85.14,3078426
#2018-01-04#,85.28,85.8,84.74,85.52,2462477
#2018-01-05#,86.09,86.75,85.93,86.57,2946328
#2018-01-08#,86.69,86.709,85.4,86.13,3251430
#2018-01-09#,86.2,86.42,85.74,86.06,2426331
#2018-01-10#,85.61,86.17,85.49,86.1,1674588
#2018-01-11#,86.17,86.59,85.87,86.39,2647480
#2018-01-12#,86.52,87.408,86.03,86.98,2728878
#2018-01-15#,86.52,87.408,86.03,86.98,2728878
#2018-01-16#,85.93,86.59,85.15,85.29,4878301
#2018-01-17#,85.8,86.361,85.47,86.21,4083343
#2018-01-18#,86.04,86.14,85.27,85.82,4445813
#2018-01-19#,86.17,86.28,85.32,85.49,5826917
#2018-01-22#,83.25,85.57,82.4003,85.44,6374020
#2018-01-23#,85.18,85.9199,84.24,84.42,5728106
#2018-01-24#,84.86,85.16,84.28,84.3,5977707
#2018-01-25#,84.81,85.4,84.56,85.01,5201611
#2018-01-26#,84.76,87.47,84.76,87.08,6394142
#2018-01-29#,86.77,88.33,86.65,87.6,5324547
#2018-01-30#,86.64,86.94,85.21,86.09,5388420
#2018-01-31#,86.5,86.73,81.27,81.45,10558541
#2018-02-01#,81.54,82.8737,81.29,82.41,8410660
#2018-02-02#,81.88,83.03,81.12,81.18,5152459
#2018-02-05#,80.89,81.61,76.55,77.49,8145221
#2018-02-06#,76.56,79.11,75.71,77.99,10558825
#2018-02-07#,77.76,78.56,76.71,76.72,8240329
#2018-02-08#,77.19,77.65,74.19,74.21,8059648
#2018-02-09#,75.06,76.82,73.69,76.23,8939668
#2018-02-12#,76.68,77.1,75.2,76.25,6454242
#2018-02-13#,76.02,76.5899,75.75,76.21,4041222
#2018-02-14#,75.41,77.19,75.34,77.03,4361085
#2018-02-15#,77.75,78.15,77.03,78.02,4810719
#2018-02-16#,77.95,79.65,77.91,78.97,4699593
#2018-02-19#,77.95,79.65,77.91,78.97,4699593
#2018-02-20#,78.18,78.7,77.18,77.55,3195027
#2018-02-21#,77.59,78.75,77.55,77.55,3871107
#2018-02-22#,77.19,78.09,76.52,77.19,7687429
#2018-02-23#,77.73,78.86,77.64,78.75,5170251
#2018-02-26#,78.99,80.47,78.965,80.18,6015876
#2018-02-27#,80.15,80.21,78.69,78.7,4860441
#2018-02-28#,78.78,79.18,77.01,77.02,6123364
#2018-03-01#,77.06,77.37,75.53,76.5,6258351
#2018-03-02#,76.38,77.6,76.32,77.23,3216725
#2018-03-05#,76.9,78.08,76.71,77.7,3816634
#2018-03-06#,77.86,78,76.88,77.19,2963240
#2018-03-07#,76.58,77.61,76.54,77.44,2266515
#2018-03-08#,77.65,79.02,77.47,78.89,3497180
#2018-03-09#,79.28,79.96,78.88,79.61,4399473
#2018-03-12#,79.83,79.97,78.615,79.04,5059557
#2018-03-13#,79.08,79.87,78.77,79.15,4863167
#2018-03-14#,79.39,79.56,78.02,78.49,3167947
#2018-03-15#,78.58,79.86,78.46,78.75,3910102
#2018-03-16#,79.2,80.49,79.12,80.49,8326275
#2018-03-19#,80.12,80.2,78.16,78.73,5116978
#2018-03-20#,79.04,79.2,77.85,78.37,3943845
#2018-03-21#,78.46,79,78.031,78.24,4051958
#2018-03-22#,77.56,78.01,76.41,76.53,3816931
#2018-03-23#,76.77,76.83,74.51,74.76,4298117
#2018-03-26#,75.61,76.23,74.65,76.18,3488654
#2018-03-27#,76.09,76.6,75.139,75.66,4070640
#2018-03-28#,76.06,77.66,76.04,77.01,4257510
#2018-03-29#,77.46,77.8,76.61,77.37,3424012
#2018-03-30#,77.46,77.8,76.61,77.37,3424012
#2018-04-02#,76.88,77.31,75.4,75.7,6282589
#2018-04-03#,76.25,77.6,75.86,77.54,3610639
#2018-04-04#,76.82,78.82,76.71,78.6,3022154
#2018-04-05#,78.52,78.85,78.09,78.62,2213099
#2018-04-06#,78.18,78.25,76.3,76.85,4012829
#2018-04-09#,77.27,78.35,76.33,77.34,5377491
#2018-04-10#,78.09,79.675,78.07,79.22,3657169
#2018-04-11#,78.35,78.9,78.12,78.73,2829952
#2018-04-12#,79.19,79.68,78.81,79.29,2121204
#2018-04-13#,79.88,80.45,79.24,79.72,2652368
#2018-04-16#,80.46,80.75,79.67,80.12,2743000
#2018-04-17#,80.57,80.64,79.49,79.92,3782359
#2018-04-18#,79.96,80.24,79.59,79.72,4261049
#2018-04-19#,78.96,79.75,78.55,79.75,4989439
#2018-04-20#,79.64,79.91,78.82,79.06,5424115
#2018-04-23#,79.43,80.29,79.17,80.2,4015906
#2018-04-24#,81.17,81.5,78.915,80.09,6394910
#2018-04-25#,80.27,82.32,80.01,81.14,5379027
#2018-04-26#,81.42,83.555,81.42,82.55,5058690
#2018-04-27#,82.5,83.24,82.38,82.73,3209558
#2018-04-30#,83.09,83.21,81.06,81.07,5483505
#2018-05-01#,80.68,80.93,78.695,79.07,6306117
#2018-05-02#,78.68,79.39,78.46,78.83,5166327
#2018-05-03#,78.65,78.7,77.44,78.04,4469290
#2018-05-04#,77.42,78.62,77.09,78.4,3367549
#2018-05-07#,78.41,79.26,78.23,78.63,3722577
#2018-05-08#,78.48,78.9,78.17,78.88,4591673
#2018-05-09#,78.96,79.65,78.45,79.27,3325180
#2018-05-10#,79.46,81.17,79.41,80.86,3718368
#2018-05-11#,81.15,82.45,81.02,82.45,4393786
#2018-05-14#,82.6,83.315,82.5,83.07,4739740
#2018-05-15#,82.72,82.94,81.83,82.21,3662716
#2018-05-16#,81.8,81.95,80.955,81.18,3614474
#2018-05-17#,81.04,81.84,81.03,81.66,2808408
#2018-05-18#,81.49,82.29,81.49,82.07,4002281
#2018-05-21#,82.29,82.54,81.67,81.83,2505933
#2018-05-22#,82.14,82.89,81.81,82.22,2620723
#2018-05-23#,81.71,82.92,81.61,82.68,2516910
#2018-05-24#,82.71,82.79,82.1,82.71,2481820
#2018-05-25#,82.79,83.47,82.59,82.77,2338143
#2018-05-28#,82.79,83.47,82.59,82.77,2338143
#2018-05-29#,82.11,82.62,81.65,82.44,3459321
#2018-05-30#,82.92,84.02,82.91,83.86,3475394
#2018-05-31#,83.88,85.11,83.68,85.04,9526369
#2018-06-01#,85.2,85.68,84.56,84.85,4057715
#2018-06-04#,84.65,85.52,84.36,85.07,4263121
#2018-06-05#,85.25,85.7,84.54,84.82,3667563
#2018-06-06#,84.88,85.93,84.66,85.93,2720404
#2018-06-07#,86.2,86.32,85.32,85.88,3123605
#2018-06-08#,85.83,86.42,85.43,86.08,3172317
#2018-06-11#,86.31,86.78,85.81,85.86,3506939
#2018-06-12#,85.76,86.02,85.45,85.49,3016917
#2018-06-13#,85.76,86.38,85.6,85.72,3052112
#2018-06-14#,85.67,86.46,85.17,86.35,3115115
#2018-06-15#,86.13,87.27,86.1,86.88,5575197
#2018-06-18#,85.98,86.15,85.01,86.11,2906602
#2018-06-19#,85.89,86.87,85.67,86.82,3044507
#2018-06-20#,86.74,87.16,86.2,86.28,4675465
#2018-06-21#,85.82,86.28,85.19,86.07,2856410
#2018-06-22#,86.02,86.4,85.805,85.92,5786678
#2018-06-25#,86,86.61,85.12,85.77,3414102
#2018-06-26#,85.54,86,84.96,85.11,2840575
#2018-06-27#,84.91,85.6,84.64,84.67,3005386
#2018-06-28#,84.85,85.96,84.81,85.49,2564562
#2018-06-29#,85.84,86.1,85.13,85.33,2963979
#2018-07-02#,85.06,85.93,84.71,85.86,2346963
#2018-07-03#,85.81,87.02,85.81,86.51,2163522
#2018-07-04#,85.81,87.02,85.81,86.51,2163522
#2018-07-05#,86.91,87.1862,86.13,86.56,2675541
#2018-07-06#,86.83,87.71,86.82,87.39,2290527
#2018-07-09#,87.6,88.33,87.52,87.87,2718296
#2018-07-10#,88.08,88.2299,87.67,88.05,2227180
#2018-07-11#,87.77,88.07,87.2,87.56,2449505
#2018-07-12#,88.1,88.99,87.92,88.91,2604523
#2018-07-13#,88.83,89.87,88.54,89.71,3334987
#2018-07-16#,89.63,89.84,88.84,89.07,3175249
#2018-07-17#,89.36,89.97,89.34,89.57,2179375
#2018-07-18#,89.6,90.13,89.07,90.03,3021595
#2018-07-19#,89.83,89.98,88.87,89.43,3171005
#2018-07-20#,89.02,89.37,88.26,88.47,3830970
#2018-07-23#,88.3,89.16,88.17,88.88,3145276
#2018-07-24#,91.06,93.76,90,93.35,9910179
#2018-07-25#,93.16,96.65,93.03,96.43,8460212
#2018-07-26#,96.64,96.959,94.83,95.18,4826081
#2018-07-27#,95.65,96.96,95.02,96.6,3975477
#2018-07-30#,96.38,98.115,96.25,98.02,5356016
#2018-07-31#,98.25,99.2,97.53,98.81,4957761
#2018-08-01#,98.74,99.35,98.435,98.7,4971802
#2018-08-02#,97.95,100.39,97.84,99.47,4321033
#2018-08-03#,99.18,100.694,98.88,100.58,4572145
#2018-08-06#,100.4,102.59,100.22,102,5090940
#2018-08-07#,101.79,103.81,101.68,101.94,5095174
#2018-08-08#,101.85,102.67,101.43,102.27,3901584
#2018-08-09#,102.06,102.72,101.92,102.19,3298367
#2018-08-10#,102.15,103.19,101.9899,102.25,2783767
#2018-08-13#,102.45,102.68,102.115,102.44,2816376
#2018-08-14#,101.77,102.8389,101.27,102.44,3283946
#2018-08-15#,102.28,103.44,102.08,103.33,3143222
#2018-08-16#,103.25,104.94,103.25,104.36,4427168
#2018-08-17#,104.43,105.92,103.96,105.55,3824340
#2018-08-20#,105.58,106.38,105.58,105.82,2765514
#2018-08-21#,106.02,106.1299,104.72,105.07,2775584
#2018-08-22#,104.8,105.63,104.15,105.03,1964353
#2018-08-23#,104.99,105.25,104.39,104.82,2043366
#2018-08-24#,105.57,106.04,104.53,105.77,3089852
#2018-08-27#,106.15,106.49,104.94,105.11,2452478
#2018-08-28#,105.03,105.59,104.59,105.18,2516832
#2018-08-29#,104.4,105.59,104.28,105.33,2949508
#2018-08-30#,105.18,105.735,104.94,105.48,2928553
#2018-08-31#,105.14,105.86,104.47,105.65,3278851
#2018-09-03#,105.14,105.86,104.47,105.65,3278851
#2018-09-04#,105.31,105.7,104.38,104.62,3106984
#2018-09-05#,104.85,106.11,104.7,105.72,3366560
#2018-09-06#,105.67,105.75,103.655,105.37,3180701
#2018-09-07#,105.15,107.24,104.8,107.03,3822938
#2018-09-10#,107.5,107.84,106.391,106.42,2950800
#2018-09-11#,106.41,106.62,105.515,105.64,3516440
#2018-09-12#,105.81,106.49,105.51,105.97,3925971
#2018-09-13#,106.16,106.71,105.82,106.58,5167412
#2018-09-14#,106.57,106.69,105.4,105.77,3103127
#2018-09-17#,105.61,106.765,105.05,105.71,4972164
#2018-09-18#,105.87,107.19,105.11,106.88,3668807
#2018-09-19#,106.88,107.07,105.5,105.74,3270389
#2018-09-20#,105.72,106.11,104.22,106.07,3761998
#2018-09-21#,106.23,106.87,105.35,106.33,5333680
#2018-09-24#,105.95,106.67,105.59,105.59,3095472
#2018-09-25#,106.01,106.755,105.54,105.7,3775742
#2018-09-26#,106.06,107.37,106.005,106.31,3707259
#2018-09-27#,106.49,107.17,106.21,106.69,2093719
#2018-09-28#,106.77,107.74,106.3,107.31,2812344
#2018-10-01#,107.67,107.705,107.03,107.6,2707981
#2018-10-02#,107.5,108.14,107.19,107.96,3787914
#2018-10-03#,108.465,109.61,108.24,108.62,5097152
#2018-10-04#,113.62,115.68,111.0357,112.99,10940820
#2018-10-05#,114.09,115.45,114.09,115.02,8330288
#2018-10-08#,114.85,116.61,114.7705,115.46,6002313
#2018-10-09#,115.09,116,114.23,115.45,4715996
