"Date","Open","High","Low","Close","Volume"
#2000-01-03#,30.125,30.5,29.5,29.875,768600
#2000-01-04#,29.625,29.75,28.6875,28.8125,694100
#2000-01-05#,28.75,29.125,27.875,28.5625,862900
#2000-01-06#,28,29.125,28,28.8125,1092200
#2000-01-07#,29.125,29.375,28.8125,29.25,1008900
#2000-01-10#,29.1875,29.25,27.875,28.3125,753000
#2000-01-11#,28.125,29,28,28.9375,825400
#2000-01-12#,29.125,29.1875,28.0625,28.1875,984200
#2000-01-13#,28.1875,28.1875,27.4375,27.4375,682400
#2000-01-14#,27.1875,27.25,26.4375,26.5625,838000
#2000-01-17#,27.1875,27.25,26.4375,26.5625,838000
#2000-01-18#,26.3125,27.75,26.125,27.625,1148000
#2000-01-19#,27,27.5625,26.625,26.8125,1211600
#2000-01-20#,26.6875,26.6875,25.25,25.8125,882500
#2000-01-21#,26.5,26.5,24.875,25,1115800
#2000-01-24#,24.75,25.25,23.875,24.125,1127400
#2000-01-25#,24,24.1563,23.75,23.9375,1027100
#2000-01-26#,23.5,24.875,23.375,24.8125,1018400
#2000-01-27#,26.25,26.25,24.125,24.5,1061800
#2000-01-28#,24.5,24.625,23.625,23.9375,865200
#2000-01-31#,24.25,24.75,23.6875,24.25,887000
#2000-02-01#,24.5,25,24.1875,24.5625,827300
#2000-02-02#,24.3125,24.375,23.8125,23.9375,543000
#2000-02-03#,23.9375,24.125,23.375,24,716700
#2000-02-04#,24.125,24.125,23.0625,23.375,554900
#2000-02-07#,23.625,23.625,22.5625,22.8125,765100
#2000-02-08#,23.0625,23.4375,22.75,23.4375,804600
#2000-02-09#,23.25,23.75,22.375,22.8125,640000
#2000-02-10#,22.5625,22.75,21.8125,21.875,625300
#2000-02-11#,21.875,21.875,20.75,21.0625,1430200
#2000-02-14#,21.0625,21.3125,20.75,21.25,1030300
#2000-02-15#,21.25,23.25,21.0625,23.0625,1340900
#2000-02-16#,23.0625,23.25,22.4375,22.625,969000
#2000-02-17#,22.375,23.125,22,22.9375,880100
#2000-02-18#,22.75,22.875,22,22.1875,576500
#2000-02-21#,22.75,22.875,22,22.1875,576500
#2000-02-22#,22.3125,24,22.0625,24,1052800
#2000-02-23#,23.75,23.8125,22.8125,23.625,1442100
#2000-02-24#,23.8125,23.8125,21.9375,22.3125,1436300
#2000-02-25#,22.125,22.375,20.8125,21,1993600
#2000-02-28#,21,23.25,20.8125,23.1875,2223900
#2000-02-29#,23.25,25.625,23.25,25.3125,2185100
#2000-03-01#,24.625,25,23.25,23.75,1096900
#2000-03-02#,23.75,23.8125,22.4375,22.8125,694700
#2000-03-03#,23,24.25,22.6875,23.8125,741700
#2000-03-06#,23.9375,23.9375,22.375,22.9375,812200
#2000-03-07#,22.75,23.125,22.375,22.6875,1076500
#2000-03-08#,22.75,24.0625,22.25,23.8125,1266300
#2000-03-09#,23.5625,23.875,22.5625,23.5,857700
#2000-03-10#,23.375,23.375,22.6875,22.9375,706700
#2000-03-13#,22.875,23.5,22.3125,23.4375,649200
#2000-03-14#,23.3125,24.125,22.875,23.625,1059400
#2000-03-15#,23.0625,26.3125,23,26.1875,1569700
#2000-03-16#,27,27.875,26.6875,27.125,1889600
#2000-03-17#,27.125,27.125,25.0625,25.5625,1389000
#2000-03-20#,27,27,25.5625,25.9375,810000
#2000-03-21#,26.125,26.6875,25.75,26.5625,788400
#2000-03-22#,26.75,26.75,25.0625,25.375,688600
#2000-03-23#,25.125,25.1875,24.375,25.0625,1049200
#2000-03-24#,25,25.0625,24.3125,24.5,729600
#2000-03-27#,24.5,24.5625,23.75,24.125,476900
#2000-03-28#,24.125,24.125,23.25,23.875,711000
#2000-03-29#,24.375,25.5,24.125,25.3125,736200
#2000-03-30#,25.1875,26.4375,25.0625,26,969100
#2000-03-31#,26,26,25.25,25.75,820300
#2000-04-03#,25.625,25.625,24.5,25.1875,705600
#2000-04-04#,25.4375,26.5,24.375,26.25,1409000
#2000-04-05#,26.875,27.6875,26.25,26.5,816800
#2000-04-06#,26.5,26.875,26.1875,26.375,695200
#2000-04-07#,26.4375,26.6875,24.75,25,762900
#2000-04-10#,25.1875,25.3125,24.6875,25.3125,532700
#2000-04-11#,25.3125,25.5,24.875,25.4375,604500
#2000-04-12#,25.5,26.1875,25.375,25.8125,883000
#2000-04-13#,26.0625,27,25.875,26.8125,1017300
#2000-04-14#,26.625,26.9375,26.5,26.875,911800
#2000-04-17#,26.875,27.8125,26.5,27.8125,1054900
#2000-04-18#,27.6875,27.6875,26.75,27.5625,670700
#2000-04-19#,27.4375,27.625,26.875,27.4375,666600
#2000-04-20#,27.375,27.375,26.125,26.4375,558800
#2000-04-21#,27.375,27.375,26.125,26.4375,558800
#2000-04-24#,26.4375,26.4375,25.9375,26.125,688700
#2000-04-25#,26.125,28,25.1875,27.75,1207100
#2000-04-26#,27.75,27.75,26.1875,26.3125,724400
#2000-04-27#,26.375,26.375,23.5,23.875,2454900
#2000-04-28#,23.9375,24.4375,23.3125,24.25,1147800
#2000-05-01#,24.3125,25.5,24.3125,25.125,1099600
#2000-05-02#,24.5,24.8125,24.3125,24.8125,670000
#2000-05-03#,25.75,26.25,25.25,25.4375,1591700
#2000-05-04#,25.625,26.375,25,25.4375,629200
#2000-05-05#,26,26.1875,25.0625,25.25,573100
#2000-05-08#,25.25,25.625,25,25.25,1275200
#2000-05-09#,24.875,25.0625,24.75,25,940800
#2000-05-10#,25,25.1875,24.8125,25,596400
#2000-05-11#,25,25,24.5,24.5,1098000
#2000-05-12#,25,25.25,24.875,25.1875,1047000
#2000-05-15#,25.4375,26.8125,25.375,26.8125,856500
#2000-05-16#,27.875,28.625,27.375,27.4375,1682900
#2000-05-17#,27.25,27.8125,27.0625,27.1875,982100
#2000-05-18#,27.25,27.375,26.75,27.0625,378500
#2000-05-19#,26.875,28.25,26.875,28,750400
#2000-05-22#,28.0625,29.4375,28.0625,29.3125,944600
#2000-05-23#,29.25,30.75,29,30.4375,1350900
#2000-05-24#,32,32,31.125,31.3125,2032700
#2000-05-25#,31.375,31.375,28.9375,29.4375,803300
#2000-05-26#,29,29.8125,29,29.4375,637800
#2000-05-29#,29,29.8125,29,29.4375,637800
#2000-05-30#,30.125,30.875,29.25,30.875,778900
#2000-05-31#,30.625,30.6875,29.9375,30.375,958800
#2000-06-01#,30.125,30.4375,29.6875,30,766700
#2000-06-02#,30.0625,30.6875,29.625,30.1875,764000
#2000-06-05#,30.0625,30.4375,29.25,29.4375,396100
#2000-06-06#,29.4375,29.4375,28.3125,29.25,565400
#2000-06-07#,29.125,30,28.125,29.5,1141200
#2000-06-08#,29.5,30.4375,28.5625,30.4375,762600
#2000-06-09#,30.1875,30.25,28.375,28.5,476200
#2000-06-12#,28.75,29.8125,28.625,29.5859,660200
#2000-06-13#,29.75,30.375,29.4375,29.8125,612400
#2000-06-14#,29.75,29.875,29.25,29.625,501400
#2000-06-15#,29.75,30.25,29.5625,30.125,777800
#2000-06-16#,29.5625,29.75,28.75,28.9375,789500
#2000-06-19#,29,29.4375,28.125,28.3125,635100
#2000-06-20#,28,28,27,27.25,869400
#2000-06-21#,27.3125,27.3125,26.375,26.5625,833900
#2000-06-22#,26.6875,27.25,26.625,26.8125,565300
#2000-06-23#,27.0625,28.625,27,28.5625,745300
#2000-06-26#,28,28.9375,27.9375,28.5625,640600
#2000-06-27#,28.625,28.6875,27.5,27.875,478900
#2000-06-28#,28,28.375,27.5,27.8984,431500
#2000-06-29#,27.75,28.0625,27.75,27.8125,537400
#2000-06-30#,28.375,30.25,28.25,29.75,1597400
#2000-07-03#,29.625,30.75,28.8125,30.75,657400
#2000-07-04#,29.625,30.75,28.8125,30.75,657400
#2000-07-05#,30.5,30.5,29.75,30.1875,1103800
#2000-07-06#,30.1875,30.1875,29.125,29.8125,373500
#2000-07-07#,29.625,30,29.375,29.8125,449000
#2000-07-10#,29.5625,29.75,28.9375,29.5,517100
#2000-07-11#,29.125,29.6875,28.6875,29.625,492500
#2000-07-12#,29.375,29.375,28.8125,29.0625,336100
#2000-07-13#,29.0625,29.25,28.5,28.9375,298600
#2000-07-14#,28.625,29.4375,28.625,29.125,265100
#2000-07-17#,29.375,29.375,27.5625,28,420700
#2000-07-18#,28,29,27.5,29,476200
#2000-07-19#,29.5,29.6875,28.4375,28.9375,529200
#2000-07-20#,29,29.375,28.375,28.5,407600
#2000-07-21#,28.5,28.6875,27.5,27.6875,379700
#2000-07-24#,27.5,27.625,27.125,27.5,519000
#2000-07-25#,27.625,28.25,27.4375,27.9375,381900
#2000-07-26#,27.6875,27.75,27.0625,27.125,556600
