"Date","Open","High","Low","Close","Volume"
#2015-01-01#,79.19,79.4497,78.56,78.7,1548852
#2015-01-02#,78.86,79.93,78.72,79.51,2135754
#2015-01-05#,79.09,79.32,78.75,79,2962859
#2015-01-06#,79.26,79.92,78.57,78.85,4014364
#2015-01-07#,79.35,80.67,79.07,80.5,4292615
#2015-01-08#,80.92,82.3225,80.7,81.77,5096563
#2015-01-09#,81.95,82.12,81.45,81.62,1933818
#2015-01-12#,81.92,82.11,81.3,81.52,2512460
#2015-01-13#,82.1,82.22,79.99,81.33,4030682
#2015-01-14#,80.94,81.8,80.48,81.65,4040079
#2015-01-15#,81.86,82.21,81.55,81.63,2610493
#2015-01-16#,81.72,82.75,81.68,82.63,4539157
#2015-01-19#,81.72,82.75,81.68,82.63,4539157
#2015-01-20#,82.88,83.07,81.7,82.01,3330770
#2015-01-21#,81.65,81.85,81.155,81.36,3801681
#2015-01-22#,83.76,85.46,83.35,85.25,6469175
#2015-01-23#,85.46,87.81,85.46,86.83,5424039
#2015-01-26#,86.94,88.22,86.28,88.05,4765248
#2015-01-27#,87.59,88.35,87.3,87.8,2777056
#2015-01-28#,88.45,88.79,87.13,87.16,3545242
#2015-01-29#,87.15,87.18,85.65,86.76,3046629
#2015-01-30#,86.58,87.57,86.166,86.51,3608490
#2015-02-02#,86.59,86.71,85.02,86.36,4002986
#2015-02-03#,86.29,87.84,85.65,87.24,3468635
#2015-02-04#,86.78,87.5,85.92,86.27,3071917
#2015-02-05#,86.53,87.18,86.21,86.73,4424217
#2015-02-06#,87.22,88.86,86.21,86.66,6463123
#2015-02-09#,86.24,86.95,85.73,86.19,3888638
#2015-02-10#,86.58,87.35,86.32,87.17,5152527
#2015-02-11#,87.32,87.45,86.26,87.18,2239980
#2015-02-12#,87.3,87.735,86.82,87.59,1873103
#2015-02-13#,87.59,88.01,87.03,88,2788994
#2015-02-16#,87.59,88.01,87.03,88,2788994
#2015-02-17#,88.45,89.435,87.5668,87.6,4077370
#2015-02-18#,87.88,88.235,87.4,88.2,4116304
#2015-02-19#,87.99,88.3,87.57,87.79,2801056
#2015-02-20#,87.72,89.01,87.66,88.71,3217621
#2015-02-23#,88.92,89.04,87.27,87.9,3377284
#2015-02-24#,87.71,87.91,85.79,86.81,3752802
#2015-02-25#,86.81,87.95,86.44,86.58,3061341
#2015-02-26#,86.54,86.54,85.22,86.09,2773138
#2015-02-27#,86.32,86.46,85.71,86.31,2590734
#2015-03-02#,86.6,87.51,86.15,86.39,3098180
#2015-03-03#,86.15,86.56,85.99,86.3,2192703
#2015-03-04#,86.2,86.26,85.58,85.82,1896935
#2015-03-05#,86.23,86.46,85.91,86.26,1181683
#2015-03-06#,85.7,85.9,84.91,85.04,2772398
#2015-03-09#,85.27,85.7,84.86,85.5,1412606
#2015-03-10#,85.21,85.42,84.56,84.57,1689382
#2015-03-11#,84.47,85.27,84.21,84.92,1688948
#2015-03-12#,85.38,86,84.97,85.95,1225799
#2015-03-13#,85.66,85.66,84.38,84.91,1410583
#2015-03-16#,85.17,85.96,84.92,85.8,1448620
#2015-03-17#,85.41,85.77,85.13,85.52,1462296
#2015-03-18#,84.8,86.99,84.47,86.44,3416232
#2015-03-19#,85.85,86.39,85.48,85.85,2232764
#2015-03-20#,86.29,87.31,86.01,86.8,2907497
#2015-03-23#,86.83,86.83,86.25,86.25,1720083
#2015-03-24#,86.26,86.77,85.81,85.84,1865389
#2015-03-25#,85.83,86.11,84.6,84.64,1451057
#2015-03-26#,84.25,85.09,83.91,84.61,2320349
#2015-03-27#,84.61,85.07,83.86,84.81,2903620
#2015-03-30#,84.85,85.14,84.27,84.39,1548128
#2015-03-31#,84.01,84.46,82.54,82.54,3336109
#2015-04-01#,82.88,83.92,82.85,83.72,2067943
#2015-04-02#,83.76,84.3657,83.55,84.15,1164660
#2015-04-03#,83.76,84.3657,83.55,84.15,1164660
#2015-04-06#,83.99,85.06,83.88,84.94,1295709
#2015-04-07#,85.84,86.18,85.42,85.67,1951157
#2015-04-08#,85.6,85.86,84.79,85.37,1952724
#2015-04-09#,85.26,85.43,84.58,85.14,2270922
#2015-04-10#,85.25,85.7,84.45,84.69,1022252
