"Date","Open","High","Low","Close","Volume"
#2017-01-02#,421.98,423.59,417.03,418.56,124183
#2017-01-03#,421.93,426.92,420.8,422.35,201233
#2017-01-04#,424.41,430.38,421.9,426.72,234994
#2017-01-05#,427.45,429.79,421.01,422.52,257653
#2017-01-06#,422.53,432.99,422.53,432.56,208265
#2017-01-09#,430.5,433.78,425.345,426.38,216819
#2017-01-10#,428.79,432.84,424.82,429.94,171424
#2017-01-11#,429.76,430.05,421.72,425.74,115424
#2017-01-12#,423.53,424.62,421.44,421.92,192978
#2017-01-13#,422.94,426.48,421.01,424.45,112373
#2017-01-16#,422.94,426.48,421.01,424.45,112373
#2017-01-17#,424.27,427.8,420.28,421.74,115712
#2017-01-18#,421.06,422.59,417.64,421.73,162830
#2017-01-19#,420.55,424.45,415,415.72,168873
#2017-01-20#,416.54,419.845,413.49,415,195399
#2017-01-23#,415.97,416.73,408.97,414.52,203009
#2017-01-24#,414.98,417.62,410.06,417.5,229495
#2017-01-25#,416.46,423.24,416.46,419.34,234975
#2017-01-26#,419.62,421.75,416.22,421.22,109617
#2017-01-27#,420.27,426.31,419.31,423.13,99529
#2017-01-30#,421,422.51,415.59,422.06,166948
#2017-01-31#,422.35,427.02,420.03,426.63,194766
#2017-02-01#,427.12,435.89,427.12,435.5,376322
#2017-02-02#,434.42,436.47,430.59,433.64,276207
#2017-02-03#,447.9,467.14,443.45,462.67,506405
#2017-02-06#,461.81,466.98,457.99,465.84,379775
#2017-02-07#,466.49,467.69,458.715,463.23,275677
#2017-02-08#,462.33,464.56,459.34,461.37,199511
#2017-02-09#,460.8,468.6,460.8,465.43,156724
#2017-02-10#,464.64,467.65,461.75,465.4,138539
#2017-02-13#,466.44,466.99,462.28,463.85,221180
#2017-02-14#,461.43,465.75,460,463.31,254050
#2017-02-15#,462.28,466.82,460.26,465.23,167081
#2017-02-16#,466.8,467.72,462.245,466.28,118154
#2017-02-17#,465.71,471.55,464.3,471.55,166443
#2017-02-20#,465.71,471.55,464.3,471.55,166443
#2017-02-21#,472.22,475.49,470.54,473.71,182794
#2017-02-22#,474.2,477.755,472.075,473.47,132994
#2017-02-23#,475.98,475.98,470.01,472.62,111599
#2017-02-24#,471.96,475.48,470.76,475.46,108126
#2017-02-27#,475.9,477.44,474.88,475.35,109725
#2017-02-28#,474.15,478.19,473.585,476.22,182431
#2017-03-01#,480,485.09,477.82,483.65,196312
#2017-03-02#,484.42,488.5,480.91,481.49,179000
#2017-03-03#,481.13,482.63,478.65,481.71,122806
#2017-03-06#,479.3,481.26,478.71,479.59,124728
#2017-03-07#,478.97,485.03,475.96,481.3,197382
#2017-03-08#,480.78,484.45,480.78,481.91,150908
#2017-03-09#,481.01,486.48,481.01,484.04,95034
#2017-03-10#,487.44,489.92,483.67,486.9,103612
#2017-03-13#,488.04,488.85,483.8,485.45,145891
#2017-03-14#,484.99,487.02,478.62,481.37,136462
#2017-03-15#,482.18,487.61,481.74,485.5,200869
#2017-03-16#,484.32,485.3,479.3,480.16,177622
#2017-03-17#,480.79,483.11,478.08,481.83,219112
#2017-03-20#,481.88,483.2,479.09,481.07,131961
#2017-03-21#,483.25,485.89,472.4,473.36,248338
#2017-03-22#,475.12,481.62,471.14,477.38,207606
#2017-03-23#,477.1,480.63,475.21,478.27,176764
#2017-03-24#,479.3,481.83,476.86,478.59,132483
#2017-03-27#,476.83,479.9,474.3,478.94,110916
#2017-03-28#,478.26,480.84,476.29,479.54,101465
#2017-03-29#,477.48,481.15,476.9,478.14,119965
#2017-03-30#,476.3,479.96,476.3,478.69,90534
#2017-03-31#,477.51,481.439,477.51,478.91,156277
#2017-04-03#,478.32,481.65,476.11,477.87,159469
#2017-04-04#,477.9,480.65,475.52,476.57,117596
#2017-04-05#,478.22,482.96,476.6,476.88,207274
#2017-04-06#,477.4,481.92,476.44,480.54,107270
#2017-04-07#,480.69,484.47,480.209,482.89,140519
#2017-04-10#,485.69,488.46,480.8,481.14,194492
#2017-04-11#,482.07,483.1,477.02,480.04,88906
#2017-04-12#,481.69,481.69,475.92,477.02,181976
#2017-04-13#,476.46,479.14,472.44,473.87,113613
#2017-04-14#,476.46,479.14,472.44,473.87,113613
#2017-04-17#,475.01,481.76,473.55,481.18,97713
#2017-04-18#,477.07,480.325,474.32,477.88,115170
#2017-04-19#,480.69,494.1,478.31,492.87,282361
#2017-04-20#,494.73,494.78,489.12,489.79,194315
#2017-04-21#,489.91,493.84,487.71,490.47,156850
#2017-04-24#,496.51,499.08,494.59,498.73,108457
#2017-04-25#,502.58,511.52,499.91,509.44,191056
#2017-04-26#,510.01,515.11,507.91,512.99,164931
#2017-04-27#,514.96,518.32,512.985,513.3,106247
#2017-04-28#,512.52,514.75,511.39,513.42,120002
#2017-05-01#,514.43,519.41,513.65,513.71,185395
#2017-05-02#,524.39,524.39,512.475,516.66,186678
#2017-05-03#,515.51,515.7,508.24,513.43,153193
#2017-05-04#,512.3,520.18,512.3,519.31,208567
#2017-05-05#,549.9,566.49,542.22,544.14,419533
#2017-05-08#,543.19,546.08,540.775,542.59,194091
#2017-05-09#,545,548.955,544.43,547.43,169965
#2017-05-10#,547,554.38,544.75,552.54,242278
#2017-05-11#,548.96,554.11,545.535,552.74,95939
#2017-05-12#,550.89,556.99,550.89,556.11,160144
#2017-05-15#,556.3,565.05,555.5,564.4,207074
#2017-05-16#,564.06,567.12,562.76,565.82,101550
#2017-05-17#,561.12,565.2,557.82,558.34,164323
#2017-05-18#,558.35,563.63,556.385,561.5,161116
#2017-05-19#,563.1,566.37,559.07,564.09,198894
#2017-05-22#,563.95,570,563.94,569.8,126872
#2017-05-23#,570,573.18,565.25,570.75,140924
#2017-05-24#,571.41,574.495,569.08,573.85,104175
#2017-05-25#,575,577.52,573.135,577.1,83047
#2017-05-26#,577,582.2,577,578.4,86277
#2017-05-29#,577,582.2,577,578.4,86277
#2017-05-30#,578.4,580.21,575.62,579.85,131156
#2017-05-31#,582.83,584.36,579.684,582.81,231402
#2017-06-01#,583.07,589.21,580.34,588.86,139083
#2017-06-02#,593.92,598.51,589.66,597.12,147322
#2017-06-05#,596.3,597.98,593.2,595.46,112787
#2017-06-06#,594.4,597.99,593.06,593.5,168160
#2017-06-07#,595.37,601.624,595.37,601.16,109775
#2017-06-08#,602.33,604.99,597.65,601.15,113496
#2017-06-09#,600.63,604.47,590.005,593.95,109197
#2017-06-12#,594.3,594.3,572.75,577.63,300098
#2017-06-13#,581.03,586,579.22,584.43,253827
#2017-06-14#,582.43,586.03,577.94,581.77,165407
#2017-06-15#,576.45,584.7,576.45,584.23,215070
#2017-06-16#,584.91,589.9,583.85,587.38,217197
#2017-06-19#,589.59,597.41,589.59,594.78,195763
#2017-06-20#,594.54,596.775,592.1,592.9,174414
#2017-06-21#,591.32,599.52,587.29,598.54,194092
#2017-06-22#,598.74,599.86,593,595.76,191772
#2017-06-23#,597.83,601.99,594.305,599.64,187023
#2017-06-26#,600.35,601.93,595.92,596.14,183933
#2017-06-27#,595.07,596.49,590.4,591.12,108538
#2017-06-28#,594.14,596.53,590.31,594.67,123403
#2017-06-29#,594.82,594.82,581.36,583.87,179469
#2017-06-30#,585.31,590.65,583.93,588.54,142621
#2017-07-03#,593.01,595.01,588.04,588.4,95980
#2017-07-04#,593.01,595.01,588.04,588.4,95980
#2017-07-05#,587.96,592.56,586.73,588,272132
#2017-07-06#,586.57,588.45,582.51,584.74,177366
