"Date","Open","High","Low","Close","Volume"
#2017-01-02#,28.415,28.445,27.945,28.255,2493528
#2017-01-03#,28.615,29.26,28,29.155,3988362
#2017-01-04#,29.35,30.25,29.16,30.125,4213336
#2017-01-05#,30.065,30.17,29.89,30.075,2882576
#2017-01-06#,30.04,30.7,30.04,30.52,2529454
#2017-01-09#,30.425,31.05,30.425,30.985,3386120
#2017-01-10#,30.855,31.42,30.7,31.06,3523412
#2017-01-11#,31.045,31.365,30.515,30.84,2648990
#2017-01-12#,30.655,31.38,30.575,31.355,3512836
#2017-01-13#,31.35,31.5349,31.25,31.325,1867380
#2017-01-16#,31.35,31.5349,31.25,31.325,1867380
#2017-01-17#,31.25,31.615,30.7075,31.54,1941502
#2017-01-18#,31.675,31.72,31.3475,31.435,2572830
#2017-01-19#,31.355,31.645,31.12,31.13,2908026
#2017-01-20#,31.18,31.72,31.105,31.655,2550622
#2017-01-23#,31.67,31.67,30.685,31.545,3676606
#2017-01-24#,31.545,31.545,30.8655,31.48,3059490
#2017-01-25#,31.455,32.34,31.455,32.24,2842442
#2017-01-26#,32.34,32.445,31.705,31.745,3615450
#2017-01-27#,31.82,32.02,31.59,31.9,1624544
#2017-01-30#,31.93,31.93,31.26,31.375,1779304
#2017-01-31#,31.375,31.65,31.18,31.635,2066802
#2017-02-01#,31.655,32.445,31.655,32.1,3732222
#2017-02-02#,32.035,32.055,31.635,32.005,1872630
#2017-02-03#,32.115,32.5,32.05,32.36,3401424
#2017-02-06#,32.32,32.36,31.5585,31.815,4151970
#2017-02-07#,33.21,34.44,33,33.5,8831306
#2017-02-08#,33.51,34.495,33.51,34.335,6600084
#2017-02-09#,34.205,34.805,34.18,34.67,2724776
#2017-02-10#,34.58,34.825,34.45,34.7,2864280
#2017-02-13#,34.77,35.25,34.745,34.965,2826338
#2017-02-14#,34.8,35.52,34.775,35.465,3386414
#2017-02-15#,35.28,35.945,35.28,35.725,3345668
#2017-02-16#,35.175,35.43,34.84,35.035,5243462
#2017-02-17#,34.785,34.8,33.44,33.805,6779356
#2017-02-20#,34.785,34.8,33.44,33.805,6779356
#2017-02-21#,33.89,35.215,33.805,35.14,3216146
#2017-02-22#,35.125,35.305,34.8751,35.12,2366308
#2017-02-23#,35.355,35.49,35.02,35.29,2152524
#2017-02-24#,35.11,35.31,34.84,35.305,2478520
#2017-02-27#,35.365,35.71,35.26,35.555,2959074
#2017-02-28#,35.2,35.44,35.025,35.25,2780774
#2017-03-01#,35.83,36.615,35.725,36.21,4369100
#2017-03-02#,36.07,36.1475,35.535,35.62,2617646
#2017-03-03#,35.525,35.76,35.34,35.485,3536576
#2017-03-06#,35.22,35.64,34.92,35.485,3109896
#2017-03-07#,35.5,35.5838,35.21,35.28,2294548
#2017-03-08#,35.28,35.58,35.11,35.12,2704702
#2017-03-09#,35.235,35.35,34.635,34.78,4262318
#2017-03-10#,34.745,35.1125,34.0675,34.215,5925732
#2017-03-13#,34.26,34.85,33.885,34.715,4663014
#2017-03-14#,34.375,34.54,33.71,33.75,4259642
#2017-03-15#,33.865,34.355,33.75,34.28,4882568
#2017-03-16#,34.34,34.465,34.0138,34.3,2989986
#2017-03-17#,34.365,34.75,34.135,34.295,3444960
#2017-03-20#,34.21,34.23,33.665,33.86,3447724
#2017-03-21#,33.97,34.195,33.285,33.46,3168508
#2017-03-22#,33.57,34.18,33.195,34.005,3804842
#2017-03-23#,33.42,33.645,32.515,32.655,7514890
#2017-03-24#,32.65,34.735,32.65,34.365,8123060
#2017-03-27#,34.8,35.565,34.73,35.115,9026470
#2017-03-28#,34.93,35.48,34.79,35.415,5187034
#2017-03-29#,35.375,35.73,35.075,35.545,4822052
#2017-03-30#,35.46,36.165,35.38,36.075,3667848
#2017-03-31#,35.99,36.08,35.5935,35.63,3007492
#2017-04-03#,35.655,36.145,35.655,35.835,3304998
#2017-04-04#,35.845,35.935,34.6,34.885,5846990
#2017-04-05#,35.17,35.915,35.1,35.37,2816578
#2017-04-06#,35.415,35.775,35.26,35.74,1868156
#2017-04-07#,35.665,35.79,35.32,35.52,1474618
#2017-04-10#,35.52,35.99,35.4,35.885,1646594
#2017-04-11#,35.83,36.155,35.55,36.1,1814266
#2017-04-12#,36.115,36.115,35.02,35.44,2572870
