"Date","Open","High","Low","Close","Volume"
#2010-01-01#,137.09,137.28,134.52,134.52,4524192
#2010-01-04#,136.25,136.61,133.14,133.9,7600543
#2010-01-05#,133.43,135.479,131.81,134.69,8856456
#2010-01-06#,134.6,134.73,131.65,132.25,7180977
#2010-01-07#,132.01,132.32,128.8,130,11030124
#2010-01-08#,130.56,133.68,129.03,133.52,9833829
#2010-01-11#,132.62,132.8,129.21,130.308,8786668
#2010-01-12#,128.99,129.82,126.55,127.35,9098190
#2010-01-13#,127.902,129.71,125.75,129.11,10727856
#2010-01-14#,129.14,130.38,126.4,127.35,9788435
#2010-01-15#,129.18,129.65,127.06,127.14,15382763
#2010-01-18#,129.18,129.65,127.06,127.14,15382763
#2010-01-19#,126.2,128,124.33,127.61,8900116
#2010-01-20#,127.13,129.2,125.08,125.78,9081533
#2010-01-21#,127.26,128.15,125,126.62,9976146
#2010-01-22#,125.6,127.67,120.76,121.43,11577818
#2010-01-25#,122.1,122.28,118.12,120.31,12031053
#2010-01-26#,120.56,122.98,119.061,119.48,9567607
#2010-01-27#,121.03,123.33,118.8,122.75,14765273
#2010-01-28#,124.43,127.2,122.8,126.03,27293062
#2010-01-29#,129.77,131.85,124.14,125.41,29478976
#2010-02-01#,123.18,124.86,113.82,118.87,37774317
#2010-02-02#,118.79,118.98,114.4,118.12,23084986
#2010-02-03#,117.12,119.61,116.56,119.1,12409012
#2010-02-04#,118.64,120.33,115.74,115.94,12783912
#2010-02-05#,115.88,117.65,114.1,117.39,11027086
#2010-02-08#,119.375,121,116.56,116.83,9898391
#2010-02-09#,118.2,119.09,117,118.03,9227158
#2010-02-10#,118,118.61,116,117.36,6236250
#2010-02-11#,117.21,120.42,116.5,120.09,8344469
#2010-02-12#,118.99,119.94,117.5,119.66,8075533
#2010-02-15#,118.99,119.94,117.5,119.66,8075533
#2010-02-16#,120.06,120.5,117.18,117.53,8938494
#2010-02-17#,117.075,117.13,115.55,116.31,8947449
#2010-02-18#,115.839,118.51,114.82,118.08,9807497
#2010-02-19#,117.91,119.09,117,117.52,7117494
#2010-02-22#,117.37,118.97,116.18,118.01,6809386
#2010-02-23#,118.01,119.25,116.51,117.24,7069011
#2010-02-24#,117.96,119.8,117.15,119.72,7393039
#2010-02-25#,118.17,118.34,115.85,118.2,9535889
#2010-02-26#,117.88,119.43,117,118.4,5721864
#2010-03-01#,118.85,124.66,117.53,124.54,13300501
#2010-03-02#,125.01,127.35,124.8,125.53,12098298
#2010-03-03#,125.4,126.94,124.43,125.89,6443021
#2010-03-04#,125.96,128.85,125.57,128.53,7509644
#2010-03-05#,129.13,129.45,127.07,128.91,6771126
#2010-03-08#,128.3,130.85,127.71,130.11,5607327
#2010-03-09#,129.59,130.81,127.97,128.82,6071029
#2010-03-10#,129.11,131.17,128.48,130.51,5627431
#2010-03-11#,130.45,133.62,130.36,133.58,7244668
#2010-03-12#,134.2,134.2,131.18,131.82,6151927
#2010-03-15#,131.7,132,128.63,131.13,6329310
#2010-03-16#,131.24,132.29,130.5,131.79,4136434
#2010-03-17#,132.41,132.694,131.22,131.34,4358962
#2010-03-18#,131.02,132.85,130.44,132.76,5024120
#2010-03-19#,133.71,133.71,129.66,130.35,8906225
