"Date","Open","High","Low","Close","Volume"
#2017-01-02#,123.62,124.23,121.81,122.35,1433072
#2017-01-03#,123.19,125.28,122.13,122.63,1679850
#2017-01-04#,123.6,128.61,123.2,127.11,3158400
#2017-01-05#,133,141.41,133,139.18,8705521
#2017-01-06#,139.98,144.75,137.59,143.61,3549596
#2017-01-09#,143.7,145,141.23,144.77,2608519
#2017-01-10#,144.99,145,140.5,143.67,1948090
#2017-01-11#,143.04,143.23,134.02,136.66,4432314
#2017-01-12#,137.85,138.36,135.13,137.35,1948258
#2017-01-13#,137.03,139.97,135.41,136.93,1679672
#2017-01-16#,137.03,139.97,135.41,136.93,1679672
#2017-01-17#,136.19,136.8,134.57,135.3,1963355
#2017-01-18#,136.25,138.47,134.97,135.87,2121812
#2017-01-19#,135.45,135.6,133.67,134.35,1481293
#2017-01-20#,135.18,135.18,131.19,131.97,1848323
#2017-01-23#,132.23,133.09,130.6974,131.49,1545905
#2017-01-24#,131.59,132.4,129.25,129.87,1630492
#2017-01-25#,130.61,131.29,128.73,129.46,2045432
#2017-01-26#,130.05,132.48,128.05,128.2,1856269
#2017-01-27#,128.81,129.56,128.02,129.23,1267015
#2017-01-30#,128.21,128.8644,127.18,128.05,1451617
#2017-01-31#,128.01,131.07,126.1,130.68,2052196
#2017-02-01#,128.5,132.84,128.5,132.32,2327563
#2017-02-02#,130.86,131.9999,127.955,128.38,2821432
#2017-02-03#,129.11,129.11,126.74,126.98,3027628
#2017-02-06#,125.69,128.3,125.31,128.19,1684582
#2017-02-07#,128.09,128.65,126.23,127.72,1272624
#2017-02-08#,127.12,128.58,125.69,126.37,1758264
#2017-02-09#,126.84,127.67,125.79,127.08,2165516
#2017-02-10#,127.49,127.9805,125.85,126.51,1668136
#2017-02-13#,127.22,128.15,126.0397,127.77,3021091
#2017-02-14#,128.22,130.4699,127.75,129.5,3321846
#2017-02-15#,129.06,132.38,129.05,132,2610582
#2017-02-16#,137.71,138.21,130.18,130.39,5186463
#2017-02-17#,130,130.228,125.2,128.82,3048171
#2017-02-20#,130,130.228,125.2,128.82,3048171
#2017-02-21#,129.71,132.78,129.42,129.89,2715780
#2017-02-22#,129.38,131.99,129.36,130.83,1243107
#2017-02-23#,130.51,131.56,128.93,130.44,1827077
#2017-02-24#,131.37,132.46,130,131.54,1657255
#2017-02-27#,131.2,132.53,130.66,132.2,1311511
#2017-02-28#,131.71,132.169,130.61,131.25,1756176
#2017-03-01#,132.5,135.11,131.43,134.21,1897817
#2017-03-02#,133.8,134.41,132.53,132.94,1244533
#2017-03-03#,132.4,135.38,132.24,134.99,1692814
#2017-03-06#,134.86,135.86,133.065,133.33,1209052
#2017-03-07#,132.37,133.19,128.9,129.18,1318642
#2017-03-08#,129.6,131.34,126.17,127.41,3160128
#2017-03-09#,127.41,127.81,124.16,126.55,2182253
#2017-03-10#,127.53,128.2,125.44,127.31,1710651
#2017-03-13#,126.94,126.94,124.13,124.74,1459714
#2017-03-14#,124.67,124.85,121.5,121.6,1757468
#2017-03-15#,121.74,122.73,121.02,122.12,1909055
#2017-03-16#,122.14,124.05,121.76,122.41,1476942
#2017-03-17#,123.07,123.64,121.34,122.08,2441178
