"Date","Open","High","Low","Close","Volume"
#2009-01-01#,19.31,19.68,19.27,19.44,46424902
#2009-01-02#,19.5328,20.4,19.37,20.33,50121849
#2009-01-05#,20.2,20.67,20.06,20.52,61476552
#2009-01-06#,20.75,21,20.61,20.76,58085878
#2009-01-07#,20.19,20.29,19.48,19.51,72747158
#2009-01-08#,19.63,20.19,19.55,20.12,70255018
#2009-01-09#,20.17,20.3,19.41,19.52,49828297
#2009-01-12#,19.71,19.79,19.3,19.47,52204130
#2009-01-13#,19.52,19.99,19.52,19.82,65847793
#2009-01-14#,19.53,19.68,19.01,19.09,80341720
#2009-01-15#,19.07,19.3,18.52,19.24,96222222
#2009-01-16#,19.63,19.91,19.15,19.71,79640268
#2009-01-19#,19.63,19.91,19.15,19.71,79640268
#2009-01-20#,19.46,19.62,18.37,18.48,89891855
#2009-01-21#,18.87,19.45,18.46,19.38,68358085
#2009-01-22#,18.05,18.18,17.07,17.11,222435525
#2009-01-23#,16.97,17.49,16.75,17.2,117020593
#2009-01-26#,17.29,17.81,17.23,17.63,93115480
#2009-01-27#,17.78,17.97,17.43,17.66,61707540
#2009-01-28#,17.8,18.31,17.76,18.04,64702531
#2009-01-29#,17.78,17.96,17.56,17.59,49209360
#2009-01-30#,17.74,17.79,17.1,17.1,62386468
#2009-02-02#,17.03,18.13,17,17.83,88882500
#2009-02-03#,17.85,18.61,17.6,18.5,86881249
#2009-02-04#,18.54,19,18.5,18.63,75617853
#2009-02-05#,18.51,19.14,18.25,19.04,75197935
#2009-02-06#,19.16,19.93,19.06,19.66,86745927
#2009-02-09#,19.64,19.77,19.26,19.44,52196149
#2009-02-10#,19.25,19.8,18.7,18.8,83958715
#2009-02-11#,18.94,19.49,18.92,19.21,58599423
#2009-02-12#,18.97,19.32,18.54,19.26,75323479
#2009-02-13#,19.27,19.47,19.04,19.09,47419392
#2009-02-16#,19.27,19.47,19.04,19.09,47419392
#2009-02-17#,18.49,18.5,17.89,18.09,75853206
#2009-02-18#,18.22,18.45,18,18.12,54955158
#2009-02-19#,18.3,18.38,17.81,17.91,49197636
#2009-02-20#,17.77,18.19,17.66,18,69416120
#2009-02-23#,18.02,18.15,17.16,17.21,70803342
#2009-02-24#,17.03,17.35,16.36,17.17,122673954
#2009-02-25#,17.01,17.24,16.46,16.96,105894560
#2009-02-26#,17.05,17.08,16.42,16.42,83219416
#2009-02-27#,16.29,16.52,16.1,16.15,93434279
#2009-03-02#,15.96,16.25,15.72,15.79,80597104
#2009-03-03#,16.03,16.24,15.64,15.88,80476554
#2009-03-04#,16.12,16.4,15.89,16.12,69290013
#2009-03-05#,15.86,15.88,15.2675,15.27,89704742
#2009-03-06#,15.35,15.62,14.87,15.28,92853699
#2009-03-09#,15.2,15.74,15.1,15.15,66514260
#2009-03-10#,15.37,16.62,15.25,16.48,95191803
#2009-03-11#,16.63,17.2,16.43,17.11,84572522
#2009-03-12#,17.01,17.04,16.48,17.01,93719791
#2009-03-13#,16.98,17.05,16.18,16.65,82974543
#2009-03-16#,16.82,16.96,16.24,16.25,67038412
#2009-03-17#,16.3229,16.9,16.26,16.9,62669277
#2009-03-18#,17.03,17.22,16.6,16.96,70733199
#2009-03-19#,17.37,17.45,16.92,17.14,58998888
#2009-03-20#,17.32,17.65,16.88,17.06,81742575
#2009-03-23#,17.37,18.59,17.31,18.33,71607826
