"Date","Open","High","Low","Close","Volume"
#2017-01-02#,123.82,126.48,123.51,125.78,792511
#2017-01-03#,127.7,127.93,125.99,127.18,813917
#2017-01-04#,127.66,131.61,127.22,131.22,1323452
#2017-01-05#,130.2,132.55,128.76,131.85,1402999
#2017-01-06#,131.59,132.51,131.21,131.55,757477
#2017-01-09#,131.06,131.4,129.96,130.24,818840
#2017-01-10#,129.82,130.23,128.71,128.79,675848
#2017-01-11#,128.64,129.47,126.74,127,913460
#2017-01-12#,126.93,129.12,126.51,129.01,696555
#2017-01-13#,128.91,129.53,128.28,128.5,513173
#2017-01-16#,128.91,129.53,128.28,128.5,513173
#2017-01-17#,128.69,129.49,128.515,129.4,723578
#2017-01-18#,129.59,130.47,128.92,130.36,611400
#2017-01-19#,130.33,130.48,128.4,128.45,844901
#2017-01-20#,128.61,129.37,128.18,129.25,649359
#2017-01-23#,128.88,130.91,128.68,130.6,615763
#2017-01-24#,130.88,132.43,130.39,132.21,693686
#2017-01-25#,132.61,132.61,129.95,130.24,796728
#2017-01-26#,130.62,131.5,130.31,131.35,441296
#2017-01-27#,131.58,131.685,129.93,130.75,537147
#2017-01-30#,130.9,130.9,129.25,130.27,772749
#2017-01-31#,130.44,132.37,130.4,130.9,1015929
#2017-02-01#,131.25,134.37,129.13,129.27,1004879
#2017-02-02#,129.09,131.15,129.09,130.47,670895
#2017-02-03#,132.48,133.48,130.34,130.72,627113
#2017-02-06#,130.77,131.94,130.48,131.32,547821
#2017-02-07#,131.54,133.31,130.32,130.64,582051
#2017-02-08#,130.73,132.125,130.64,131.57,649444
#2017-02-09#,132.13,132.48,131.21,131.98,420249
#2017-02-10#,131.82,134.05,131.47,134,561770
#2017-02-13#,134.35,135.01,133.28,134.76,671351
#2017-02-14#,134.46,136.04,133.16,135.79,991896
#2017-02-15#,135.31,136.47,134.52,135.98,1301915
#2017-02-16#,136.22,138.21,135.47,136.84,890965
#2017-02-17#,137.2,137.5,135.73,137.19,1399147
#2017-02-20#,137.2,137.5,135.73,137.19,1399147
#2017-02-21#,136.87,139.12,136.84,138.83,729583
#2017-02-22#,139.03,139.16,136.51,138.66,895629
#2017-02-23#,138.97,139.59,138.31,139.17,681503
#2017-02-24#,139.1,139.1,137.13,138.12,917272
#2017-02-27#,138.44,140.13,137.66,139.88,720975
#2017-02-28#,139.72,139.72,138.58,139.03,851063
#2017-03-01#,138.95,139.35,137.69,137.84,876467
#2017-03-02#,137.52,137.69,135.29,135.56,1162045
#2017-03-03#,135.2,135.82,134.14,135.48,812285
#2017-03-06#,135.21,135.65,134.34,135.43,701880
#2017-03-07#,135.44,135.75,134.85,135.66,495347
#2017-03-08#,135.25,135.25,133.92,134.09,693467
#2017-03-09#,134.39,135.205,131.86,132.03,945742
#2017-03-10#,133.25,133.94,129.76,130.43,857048
#2017-03-13#,130.52,131.56,129.83,130.48,944021
#2017-03-14#,130.34,130.72,129.33,129.93,593563
#2017-03-15#,130.37,133.52,129.81,132.99,954197
#2017-03-16#,132.78,133.66,132.19,132.46,517849
#2017-03-17#,132.71,133.87,132.2,133.19,899943
#2017-03-20#,133.18,133.95,132.36,133.11,501921
#2017-03-21#,133.72,134.08,132.01,132.62,869406
#2017-03-22#,133.05,133.4,130.82,132.24,561880
#2017-03-23#,132.06,134.655,132.04,133.85,984630
#2017-03-24#,133.81,134.35,132.02,132.48,879177
#2017-03-27#,132.18,132.87,130.85,131.32,634716
#2017-03-28#,131.35,131.91,129.39,131.32,701547
#2017-03-29#,130.7,131.24,130.13,131.14,1071732
#2017-03-30#,130.83,131.57,130.05,131.38,665133
#2017-03-31#,131.15,132.56,130.255,132.41,887545
#2017-04-03#,132.5,133.4,131.975,133.02,632511
#2017-04-04#,132.95,134.37,131.69,133.85,1087605
#2017-04-05#,133.89,134.95,133.745,134.17,582168
#2017-04-06#,133.96,134.72,133.4,134.56,687084
#2017-04-07#,134.44,136.03,134.21,134.68,752549
#2017-04-10#,134.5,136.07,134.13,135.65,699879
#2017-04-11#,135.69,136.9,135.31,136.83,637748
#2017-04-12#,136.5,137.35,136.15,136.59,1048397
#2017-04-13#,136.52,136.73,135.06,135.52,640337
#2017-04-14#,136.52,136.73,135.06,135.52,640337
#2017-04-17#,136.17,136.89,135.37,136.87,444996
#2017-04-18#,136.54,137.13,135.28,135.74,501605
#2017-04-19#,135.67,135.99,134.26,134.68,681223
#2017-04-20#,134.97,134.97,133.08,134.64,546882
#2017-04-21#,134.63,135.02,134.17,134.35,416841
#2017-04-24#,134.55,135.06,131.88,132.79,579123
#2017-04-25#,133.07,134.05,132.305,133.97,641344
#2017-04-26#,132.54,133.5,127.23,127.35,1192765
#2017-04-27#,127.39,127.88,125.71,125.99,947533
#2017-04-28#,125.65,126.69,125.56,126.6,805375
#2017-05-01#,126.85,127.315,125.97,126.97,591110
#2017-05-02#,126.87,127.19,125.99,126.86,531775
#2017-05-03#,127.31,127.35,124.31,124.79,670371
#2017-05-04#,124.5,124.5,122.44,123.37,1009337
#2017-05-05#,123.78,124.06,123.14,123.9,727112
#2017-05-08#,124.28,124.69,122.51,123.55,754318
#2017-05-09#,123.45,123.615,122.43,123.12,432618
#2017-05-10#,122.77,123.6,122.11,123.02,857861
#2017-05-11#,122.13,122.28,120.68,121.24,887914
#2017-05-12#,121.26,121.516,120.62,120.94,703285
#2017-05-15#,120.89,121.73,120.05,120.53,625836
#2017-05-16#,121.03,121.19,119.94,120.89,754905
#2017-05-17#,120.72,121.555,120.2,120.44,754617
#2017-05-18#,120.67,122.58,119.58,120.27,948647
#2017-05-19#,120.23,122.02,119.54,121.01,665422
#2017-05-22#,120.98,121.889,120.81,121.03,918384
#2017-05-23#,121.37,123.17,120.95,121.84,867822
#2017-05-24#,121.91,122.33,121.43,121.87,627047
#2017-05-25#,122.14,122.7,121.67,122,503821
#2017-05-26#,121.69,122,120.74,121.35,400926
#2017-05-29#,121.69,122,120.74,121.35,400926
#2017-05-30#,121.3,121.81,120.82,120.82,417706
#2017-05-31#,121.11,121.72,120.78,121.32,833625
#2017-06-01#,120.92,122.08,120.515,121.75,617058
#2017-06-02#,122.5,122.83,121.82,122.36,599018
#2017-06-05#,122.24,122.65,121.26,122.24,412715
#2017-06-06#,122.18,122.18,120.22,120.93,514438
#2017-06-07#,121.1,121.885,121.1,121.73,714250
#2017-06-08#,121.92,122.61,120.87,122.6,489841
#2017-06-09#,122.35,125.7,122.08,125.24,889498
#2017-06-12#,125.18,127.56,125.1,127.11,811214
#2017-06-13#,126.52,127.84,125.462,126.82,657986
#2017-06-14#,127.3,127.78,126.03,126.62,550109
#2017-06-15#,125.9,127.59,125.9,127.28,599734
#2017-06-16#,127.54,128.04,125.64,126.12,934012
#2017-06-19#,126,126.28,124.72,125.83,528833
#2017-06-20#,125.7,126.38,124.35,125.96,483210
#2017-06-21#,125.98,126.46,124.3,125.12,409485
#2017-06-22#,124.88,125.85,124.2,124.84,530915
#2017-06-23#,124.81,126.26,124.745,125.57,776880
#2017-06-26#,126.11,126.51,125.39,125.73,612695
#2017-06-27#,125.42,125.87,123.64,123.75,834004
#2017-06-28#,123.71,123.87,122.79,123.39,560311
#2017-06-29#,122.91,123.8,122.34,123.18,644150
#2017-06-30#,123.5,124.02,122.63,123.02,580200
#2017-07-03#,123.6,125.08,123.43,124.95,298180
#2017-07-04#,123.6,125.08,123.43,124.95,298180
#2017-07-05#,125.03,125.09,122.61,122.99,649487
#2017-07-06#,122.51,122.89,119.92,119.97,626766
#2017-07-07#,119.97,120.81,119.6,120.13,472653
#2017-07-10#,120.14,121,117.71,117.98,805011
#2017-07-11#,117.87,118.18,116.77,117.7,693078
#2017-07-12#,118.06,119.54,118.06,119.25,512760
#2017-07-13#,119.59,121.01,119.26,120.37,607346
#2017-07-14#,120.85,122.38,120.72,121.7,502132
#2017-07-17#,121.69,122.41,121.035,121.56,655739
#2017-07-18#,121.48,121.93,118.88,119.14,832129
#2017-07-19#,119.1,120.625,118.87,120.36,765601
#2017-07-20#,120.3,120.58,118.75,118.81,510682
#2017-07-21#,118.6,119.28,118.28,118.91,401931
#2017-07-24#,119.09,119.54,118.38,119.01,490362
#2017-07-25#,119.5,119.5,118.33,119.27,514193
#2017-07-26#,119.36,120.425,118.77,120.37,410195
#2017-07-27#,120.15,121.45,118.72,121.21,595181
#2017-07-28#,121.24,122.46,120.71,122.33,701270
#2017-07-31#,122.32,122.77,119.92,120.91,1048746
#2017-08-01#,121.22,122.63,120.86,121.87,595072
#2017-08-02#,122.99,125,121.13,121.83,886593
#2017-08-03#,121.85,123.82,121.85,123.71,694803
#2017-08-04#,123.7,124.7,123.33,124.22,765444
#2017-08-07#,124.21,124.21,122.51,122.75,422287
#2017-08-08#,122.51,123.47,122.14,122.96,663040
#2017-08-09#,122.8,122.8,121.42,121.67,503662
#2017-08-10#,121.19,121.47,120.47,121.27,555182
#2017-08-11#,120.95,121.5,119.02,120.05,564776
#2017-08-14#,120.43,122.785,120.43,122.51,670172
#2017-08-15#,122.35,122.68,120.44,122.43,749868
#2017-08-16#,122.48,123.11,121.49,122.03,668421
#2017-08-17#,121.28,121.875,120.61,121.06,744691
#2017-08-18#,120.73,120.75,118.3,119.83,866242
#2017-08-21#,119.94,121.76,119.37,120.77,474952
#2017-08-22#,120.77,120.96,119.35,119.62,631320
#2017-08-23#,119.53,121.65,119.35,121.05,433611
#2017-08-24#,121.26,122.31,119.77,119.89,1021768
#2017-08-25#,120.38,122.01,119.56,121.46,525961
#2017-08-28#,121.8,122.24,119.32,120.25,630178
#2017-08-29#,120.22,120.555,118.89,119.5,483189
#2017-08-30#,119.23,120.48,118.22,120.19,409881
#2017-08-31#,120.46,121.27,120.05,120.6,830023
#2017-09-01#,120.93,122.05,120.37,121.3,513930
#2017-09-04#,120.93,122.05,120.37,121.3,513930
#2017-09-05#,121.3,121.98,119.69,120.37,532278
#2017-09-06#,120.94,121.893,120.63,120.93,410914
#2017-09-07#,121.17,121.48,119.79,120.91,485274
#2017-09-08#,120.62,120.925,119.95,120.17,444125
#2017-09-11#,120.83,121.37,120.26,120.71,555211
#2017-09-12#,120.7,121.59,119.71,120.2,414082
#2017-09-13#,120,120.375,119.34,119.96,518627
#2017-09-14#,119.93,122.37,119.6,122.33,510241
#2017-09-15#,122.68,122.68,120.61,122.4,832698
#2017-09-18#,122.16,122.73,121.1,121.68,813722
#2017-09-19#,121.59,121.63,119.47,119.64,813163
#2017-09-20#,120.02,120.84,119.885,120.78,630762
#2017-09-21#,120.66,123.69,120.66,122.84,1011396
#2017-09-22#,122.67,123.75,121.66,121.68,466720
#2017-09-25#,121.34,123.48,121.14,122.63,459724
#2017-09-26#,122.69,124.12,122.5,123.75,612899
#2017-09-27#,123.5,123.81,122.5,122.82,458613
#2017-09-28#,122.16,122.93,121.92,122.77,537458
#2017-09-29#,122.4,123.35,122.29,122.88,705949
#2017-10-02#,122.93,123.31,121.77,121.93,661956
#2017-10-03#,121.74,122.6,120.72,122.36,849395
#2017-10-04#,121.82,123.885,121.82,123.7,831301
#2017-10-05#,123.88,126.04,123.88,125.06,737595
#2017-10-06#,124.95,126.94,124.42,126.92,1226176
#2017-10-09#,126.63,127.28,126.4,127.17,738735
#2017-10-10#,127.07,127.98,126.51,127.1,474202
#2017-10-11#,127,128.73,127,128.28,602454
#2017-10-12#,128.1,128.48,127.25,128,542377
#2017-10-13#,128.3,128.99,127.2,128.29,502806
#2017-10-16#,128.31,128.72,127.77,128.38,409126
#2017-10-17#,128.16,128.73,127.93,128.06,506810
#2017-10-18#,128.12,128.65,126.66,126.67,497286
#2017-10-19#,126.56,126.59,123.46,123.63,909868
#2017-10-20#,123.87,123.93,121.99,122.93,687673
