"Date","Open","High","Low","Close","Volume"
#2019-01-01#,136,137.97,134.49,136.97,5467663
#2019-01-02#,133.4,136.83,133.05,135.55,4783943
#2019-01-03#,133.48,134.78,130.1001,130.4,6365650
#2019-01-04#,133.5,139.32,132.22,137.96,6650568
#2019-01-07#,141.02,143.39,138.79,142.22,9064840
#2019-01-08#,144.73,146.46,142.8909,145.72,9057281
#2019-01-09#,146.89,147.5,144.53,145.99,5445930
#2019-01-10#,143.77,147.21,143.76,147.04,5116851
#2019-01-11#,146.56,148.0345,145.61,147.55,5185239
#2019-01-14#,145.75,146.73,144.7,146.05,5815495
#2019-01-15#,146.35,149.86,145.8,149.19,5350387
#2019-01-16#,149.15,149.79,147.8,148.54,3936819
#2019-01-17#,148.54,150.72,147.685,149.82,3743179
#2019-01-18#,151.83,153.27,150.24,152.51,6151237
#2019-01-21#,151.83,153.27,150.24,152.51,6151237
#2019-01-22#,150.34,151.38,147.4,148.95,5203299
#2019-01-23#,149.73,150.8,147.65,149.75,3335360
#2019-01-24#,149.95,150.5,146.52,146.87,6734711
#2019-01-25#,148.53,149.89,147.55,149.74,4601702
#2019-01-28#,148.17,148.2,146.1,147.33,4054718
#2019-01-29#,147.07,148,144.6414,145.18,3915058
#2019-01-30#,147.19,149.69,146.08,149.16,4653365
#2019-01-31#,149.02,153.38,148.71,151.97,8615902
#2019-02-01#,152.4,155.95,151.07,155.87,5959186
#2019-02-04#,156.02,158.8998,155.41,157.72,5264678
#2019-02-05#,158.34,159.88,157.815,158.99,4575588
#2019-02-06#,159,159.1,155.08,158.13,4205093
#2019-02-07#,155.96,157.06,153.36,154.93,4545469
#2019-02-08#,152.91,156.7,152.71,156.67,3018703
#2019-02-11#,158.2,161.5,157.57,159.91,7125450
#2019-02-12#,161.25,163.39,160.03,162.79,5631693
#2019-02-13#,163.44,163.57,160.27,160.4,5295969
#2019-02-14#,159.47,160.44,156.706,159.47,5061105
#2019-02-15#,160.99,161.22,158.09,159.05,5281967
#2019-02-18#,160.99,161.22,158.09,159.05,5281967
#2019-02-19#,159.66,161.48,159.14,160.61,3883224
#2019-02-20#,160.33,161.49,157.21,158.54,7047244
#2019-02-21#,157.7,160.48,157.3,159.63,4463028
#2019-02-22#,160.47,161.71,160.2,161.31,4175005
#2019-02-25#,162.51,163.06,160.93,161.36,5076691
#2019-02-26#,160.81,163.38,159.87,163,4496279
#2019-02-27#,162.29,163.53,160.5,163.12,4278257
#2019-02-28#,163,164.6,162.17,163.65,6908054
#2019-03-01#,165.15,166.15,161.75,164.53,6919941
#2019-03-04#,165.56,165.79,155.42,158.5,17886304
#2019-03-05#,159.92,160.88,154.8,156.97,16042915
#2019-03-06#,157.13,160.25,156.278,156.79,7436333
#2019-03-07#,156.09,157.59,154.81,155.6,6916457
#2019-03-08#,152.02,155.41,150.25,155.06,4800711
#2019-03-11#,155.9,157.77,153.4301,157.65,5699541
#2019-03-12#,158,159.37,157.16,158.28,4082085
#2019-03-13#,158.85,162,158.61,159.81,5230611
#2019-03-14#,160.95,161.59,159.74,160.67,3247216
#2019-03-15#,160.64,162.18,159.19,161.51,6743790
#2019-03-18#,161.4,163.33,160.8799,161.95,3575800
#2019-03-19#,162.52,164.62,161.6,163.93,4378959
#2019-03-20#,163.84,164.95,161.51,163.51,4391046
#2019-03-21#,163.17,166.99,162.75,166.95,4277816
#2019-03-22#,165.96,166.49,161.35,161.5,5614288
#2019-03-25#,160.23,161.5988,159.2241,160.88,3795625
#2019-03-26#,161.43,162.07,157.39,159.4,6910264
#2019-03-27#,159,159.3,152.37,155.12,8218682
#2019-03-28#,155.69,156.48,153.51,155.18,4424829
#2019-03-29#,156.87,158.5,155.425,158.37,4913087
#2019-04-01#,160.1,161.68,158.5111,161.18,4601126
#2019-04-02#,160.86,160.99,158.91,160.51,3158591
#2019-04-03#,161.78,163.14,160.65,162.62,3819829
#2019-04-04#,162.71,162.8,155.83,158.52,6295218
#2019-04-05#,159.63,160.24,158.02,158.56,4315403
#2019-04-08#,158.4,158.79,156.45,158.47,2848571
#2019-04-09#,157.04,158.3525,156.65,156.97,5642884
#2019-04-10#,158.2,160.38,157.65,160.24,3414745
#2019-04-11#,160.16,160.83,159.02,160.73,2578390
#2019-04-12#,162,162.5,159.5,160.71,2844167
#2019-04-15#,161,162.031,159.49,160.09,2608365
#2019-04-16#,160.04,160.26,157.7501,158.69,3004836
#2019-04-17#,159.05,159.05,155.07,155.34,4765519
#2019-04-18#,154.9,156.2078,153.17,155.99,4391704
#2019-04-19#,154.9,156.2078,153.17,155.99,4391704
#2019-04-22#,155.45,159.14,155.28,158.76,2943629
#2019-04-23#,159.76,161.4,158.41,161.23,3418371
#2019-04-24#,161.88,162.49,159.4,159.56,3384945
#2019-04-25#,162,163.89,161,163.09,5498432
#2019-04-26#,162.42,166.06,161.28,165.96,3343064
#2019-04-29#,166.71,167.56,165.33,165.36,4509669
#2019-04-30#,165.19,166.44,163.62,165.35,3581801
#2019-05-01#,166.01,166.22,162.14,162.15,2707730
#2019-05-02#,161.69,162.7,159.63,161.83,3181073
#2019-05-03#,162.58,163.5,160.86,163.34,3131437
#2019-05-06#,158.62,162.84,157.86,162.5,2520943
#2019-05-07#,161.33,161.67,154.75,156.9,6541888
#2019-05-08#,157.11,157.93,155.04,156.86,4061339
#2019-05-09#,154.65,157.1,152.3888,156.31,5809346
#2019-05-10#,156.28,160.614,154.38,159.94,4462213
#2019-05-13#,154.92,156.9,152.78,153.15,5694582
#2019-05-14#,155.05,158.59,152.92,158.07,4954034
#2019-05-15#,153.82,156.38,151.7,155.06,7783774
#2019-05-16#,156.76,159.45,155.9,158.48,5048088
#2019-05-17#,156.18,157.155,153.17,154.57,5314319
#2019-05-20#,152.47,156.09,151.7044,155.98,5437590
#2019-05-21#,157.36,157.84,155.18,155.78,3803459
#2019-05-22#,155.87,158.19,155.84,157.64,3170058
#2019-05-23#,156.03,156.34,152.15,153.71,4508215
#2019-05-24#,154.89,156.93,154.16,154.51,3151662
#2019-05-27#,154.89,156.93,154.16,154.51,3151662
#2019-05-28#,155.35,157.81,154.39,155.19,4934063
#2019-05-29#,153.76,154.06,151.2,152.89,4359454
#2019-05-30#,154.32,155.87,153.9,155.66,4418092
#2019-05-31#,152.66,154.48,151.26,151.41,5326907
#2019-06-03#,150.7,150.7,143.39,145.1,8835249
#2019-06-04#,146.05,150.92,142.51,150.81,12375090
#2019-06-05#,157.15,158.5,154.55,158.44,12072390
#2019-06-06#,158.5,160,157.33,159.31,5601246
#2019-06-07#,159.84,162.99,159.5,161.27,7175301
#2019-06-10#,153.48,157.45,150.83,152.79,29856328
#2019-06-11#,155.31,155.71,148.79,150.15,15214322
#2019-06-12#,151.11,152.32,150.15,151.28,7161291
#2019-06-13#,152.16,152.24,150.25,151.34,5173787
#2019-06-14#,151.04,151.98,149.48,150.01,6248150
#2019-06-17#,150.2,151.2843,149.87,150.29,4491845
#2019-06-18#,151.88,152.95,150.5,150.59,7317839
#2019-06-19#,151.69,154.47,150.515,154.14,8095299
#2019-06-20#,156.29,158.29,155.42,157.2,10153607
#2019-06-21#,156.67,157.79,155.94,156.84,9706930
#2019-06-24#,157.39,157.73,152.51,152.56,6378206
#2019-06-25#,152.83,152.9699,148.59,149.34,7362484
#2019-06-26#,151.28,151.38,148.92,149.04,5844938
#2019-06-27#,149.89,150.76,148.47,150.69,6832817
#2019-06-28#,150.42,151.77,149.6,151.73,6936576
#2019-07-01#,154.57,154.74,151.8503,154.06,6483352
#2019-07-02#,154.29,154.36,152.58,154.12,4738611
#2019-07-03#,154.54,155.75,154.16,155.59,3885430
#2019-07-04#,154.54,155.75,154.16,155.59,3885430
#2019-07-05#,153.95,154.805,152.57,154.58,3940940
#2019-07-08#,153.52,153.69,152.044,152.81,4717368
#2019-07-09#,152.08,154.19,151.68,153.95,4979273
#2019-07-10#,154.57,156.4,154.57,156.27,4966261
#2019-07-11#,156.82,159.3,156.62,158.9,7083235
#2019-07-12#,159.4,159.62,157.4,158.08,4348123
