"Date","Open","High","Low","Close","Volume"
#2010-01-01#,45.25,45.59,44.84,44.9,191392
#2010-01-04#,45.75,47.39,45.75,47.39,302449
#2010-01-05#,45.91,46.66,44.66,45.73,1200699
#2010-01-06#,45.78,46.01,45.2,45.93,673383
#2010-01-07#,45.94,46.14,44.88,46.04,502457
#2010-01-08#,46.04,47.55,45.39,46.99,1289519
#2010-01-11#,47.38,47.64,46.39,46.74,799569
#2010-01-12#,46,46.1,44.58,44.96,511009
#2010-01-13#,44.76,44.95,43.66,44.37,866904
#2010-01-14#,44.22,44.92,43.75,44.37,594177
#2010-01-15#,44.35,44.37,43.51,44.06,710133
#2010-01-18#,44.35,44.37,43.51,44.06,710133
#2010-01-19#,44.1,45.2,44.08,44.91,583281
#2010-01-20#,44.35,44.67,44.01,44.4,399306
#2010-01-21#,44.67,45.18,43.86,43.87,572569
#2010-01-22#,43.41,43.98,42.6,43.25,793623
#2010-01-25#,44.01,44.56,43.5101,44.08,606785
#2010-01-26#,42.65,43.72,42.62,42.86,1160616
#2010-01-27#,43.74,45.22,43.64,45,6033183
#2010-01-28#,45.21,45.6,44.39,44.98,1099307
#2010-01-29#,45.21,45.43,44.69,44.87,1777577
#2010-02-01#,45.01,46.31,45.01,46.16,822271
#2010-02-02#,46.54,47.57,45.65,47.44,845146
#2010-02-03#,47.29,47.29,46.13,46.38,458377
#2010-02-04#,46,46,44.7509,44.92,1895324
#2010-02-05#,45.01,45.2,42.66,44.27,1284664
#2010-02-08#,44.35,45.45,43.84,44.59,608453
#2010-02-09#,45.15,46.06,45.15,45.58,383814
#2010-02-10#,45.52,45.755,44.33,45.29,783862
#2010-02-11#,45,46.09,44.751,46,413849
#2010-02-12#,45.15,45.65,44.53,45.41,905940
#2010-02-15#,45.15,45.65,44.53,45.41,905940
#2010-02-16#,46.25,46.81,45.91,46.68,1221386
#2010-02-17#,46.98,47.62,46.31,46.96,544119
#2010-02-18#,46.92,47.53,46.63,47.52,366463
#2010-02-19#,47.52,48.31,47.16,47.75,689390
#2010-02-22#,47.35,47.62,45.64,45.76,866130
#2010-02-23#,45.69,45.88,45.05,45.16,532484
#2010-02-24#,45.17,45.91,45,45.48,579274
#2010-02-25#,45.92,46.84,45.06,46.79,1190044
#2010-02-26#,47.16,47.16,46.33,46.45,820690
#2010-03-01#,46.74,48.13,46.66,48.03,937642
#2010-03-02#,48.26,49.43,48.18,49.05,1382544
#2010-03-03#,49.51,49.84,48.97,49.65,1013935
#2010-03-04#,49.83,50.265,48.51,48.77,749011
#2010-03-05#,49.48,50.12,49.4,50.04,665507
#2010-03-08#,50.14,50.14,48,48.45,1243233
#2010-03-09#,48.19,49.9,48.1,49.55,996490
#2010-03-10#,49.5,49.94,49.27,49.53,726216
#2010-03-11#,49.59,50.46,49.34,50.2,894430
#2010-03-12#,50.86,50.86,49.88,50.16,843319
#2010-03-15#,50.21,50.58,49.24,50.14,1142343
#2010-03-16#,50.29,50.45,49.83,50.17,654030
#2010-03-17#,50.49,51.62,50.06,51.34,1006921
#2010-03-18#,51.03,51.22,48.19,48.37,1655615
#2010-03-19#,48.4,48.82,47.22,48.16,1228763
#2010-03-22#,47.36,49.2398,47.01,48.93,1084733
#2010-03-23#,49.09,49.96,48.83,49.76,829401
#2010-03-24#,49.42,49.99,49.04,49.77,728235
#2010-03-25#,50.07,50.5,48.35,48.36,981499
#2010-03-26#,48.87,49.21,48,48.26,746809
#2010-03-29#,48.64,49.79,48.31,49.7,647817
#2010-03-30#,49.71,49.9599,49.17,49.77,433566
#2010-03-31#,49.72,51.03,49.68,50.36,642290
#2010-04-01#,50.61,52.2,50.61,52.17,637968
#2010-04-02#,50.61,52.2,50.61,52.17,637968
#2010-04-05#,53.32,54.07,52.88,53.55,1107155
#2010-04-06#,53.58,54,52.59,53.19,818307
#2010-04-07#,53.19,54.67,53.11,54.05,866431
#2010-04-08#,53.42,53.83,51.72,53.61,931668
#2010-04-09#,53.99,54.67,53.73,54.64,629598
#2010-04-12#,54.74,54.74,53.2,53.45,596397
#2010-04-13#,53.08,53.89,52.75,53.47,746151
#2010-04-14#,54.17,54.69,53.6,54.57,431071
#2010-04-15#,54.68,55.54,54.27,55.28,773316
#2010-04-16#,54.98,55.41,53.31,53.92,1059201
#2010-04-19#,53.37,53.84,52.28,53.39,889941
#2010-04-20#,53.96,54.62,53.54,54.38,772370
#2010-04-21#,54.68,54.68,53.26,53.8,797784
#2010-04-22#,53.34,54.84,52.99,54.57,695012
