"Date","Open","High","Low","Close","Volume"
#2005-01-03#,77.01,77.35,75.77,75.78,25900
#2005-01-04#,75.77,76.25,74.95,75.55,24500
#2005-01-05#,75.7,75.7,74.75,74.85,24600
#2005-01-06#,76.25,80.58,76.21,80,300600
#2005-01-07#,80,81,77.95,78.34,147300
#2005-01-10#,79,80.64,78.75,80.19,80400
#2005-01-11#,80.3,80.55,79.25,79.95,75200
#2005-01-12#,80.13,80.85,80.13,80.7,46600
#2005-01-13#,80.55,81.97,80.25,80.25,157400
#2005-01-14#,80.5,81.3,80.5,80.91,53400
#2005-01-17#,80.5,81.3,80.5,80.91,53400
#2005-01-18#,80.66,81.35,80.1,80.48,80300
#2005-01-19#,81.88,82.2,79.44,79.48,72400
#2005-01-20#,79.68,80.11,77.7,79.34,162200
#2005-01-21#,79.35,79.6,78.45,79.31,79500
#2005-01-24#,79.38,79.66,78.64,79.23,43200
#2005-01-25#,79.08,79.7,79,79.01,36500
#2005-01-26#,78.2,79.76,78.2,79.24,62000
#2005-01-27#,79.39,79.75,79.16,79.3,67600
#2005-01-28#,79.3,79.57,78.53,79.05,84300
#2005-01-31#,79.25,80.39,79.25,80.3,63300
#2005-02-01#,80.15,80.15,79.26,79.8,108300
#2005-02-02#,79.89,79.89,78.6,79.07,49100
#2005-02-03#,78.9,80.5,78.9,80.05,82400
#2005-02-04#,80.05,80.8,80.05,80.4,80300
#2005-02-07#,80.85,81.45,80.59,80.59,36600
#2005-02-08#,80.41,81,80,80.41,34700
#2005-02-09#,80.21,80.74,79.94,80,31600
#2005-02-10#,79.85,80.91,79.6,80.85,19700
#2005-02-11#,80.7,82.45,80.47,81,71400
#2005-02-14#,81.05,81.31,79.75,79.89,78700
#2005-02-15#,79.69,80.26,79.4,79.5,83600
#2005-02-16#,79,79,77.16,77.58,498700
#2005-02-17#,77.25,80.99,77.25,80.25,398600
#2005-02-18#,80.7,80.87,79.64,80.53,172700
#2005-02-21#,80.7,80.87,79.64,80.53,172700
#2005-02-22#,80.38,80.38,78.7,79.33,80100
#2005-02-23#,79.33,79.37,78.2,78.26,69400
#2005-02-24#,78.41,78.41,77.8,78.11,42300
#2005-02-25#,78.31,78.5,77.86,78.17,84900
#2005-02-28#,77.87,77.87,77.01,77.61,110200
#2005-03-01#,77.61,80.44,77.61,80.01,151200
#2005-03-02#,79.86,81.4,79.53,79.97,145100
#2005-03-03#,79.74,80.09,79.2,79.56,61700
#2005-03-04#,79.49,80.72,79.35,80.55,40500
#2005-03-07#,80.4,80.907,80.18,80.31,13800
#2005-03-08#,80.31,80.98,80.23,80.85,31600
#2005-03-09#,80.8,81.17,80.28,80.55,46500
#2005-03-10#,80.55,80.85,79.56,79.63,66200
#2005-03-11#,79.8,80.57,79.8,79.96,47700
#2005-03-14#,80.11,81.52,80.11,80.71,53200
#2005-03-15#,80.96,80.96,80.1,80.62,27400
#2005-03-16#,80.47,80.47,78.85,79.82,47300
#2005-03-17#,79.8,79.96,79.25,79.51,17100
#2005-03-18#,79.66,79.79,78.83,79.64,16100
#2005-03-21#,79.5,79.5,77.55,78.24,37700
#2005-03-22#,78.45,78.66,77.36,77.39,48200
#2005-03-23#,77.21,77.21,75.14,75.47,92400
#2005-03-24#,75.27,75.75,74.9,74.95,42600
#2005-03-25#,75.27,75.75,74.9,74.95,42600
#2005-03-28#,75.15,76.25,75.15,76.07,96800
#2005-03-29#,75.92,75.92,73.75,73.98,79900
#2005-03-30#,73.99,74.4,73.64,73.98,98800
#2005-03-31#,74,74.95,73.84,74.93,89100
#2005-04-01#,74.93,75.63,74.55,75.63,53100
#2005-04-04#,75.45,75.46,73.47,74.6,73500
#2005-04-05#,74.74,75.12,73.9,74.21,78100
#2005-04-06#,74.36,74.56,73.15,73.37,84000
#2005-04-07#,73.52,73.79,72.8,73.79,57500
#2005-04-08#,73.61,73.9,73.42,73.43,14700
#2005-04-11#,73.3,73.3,71.05,71.56,154000
#2005-04-12#,71.46,71.49,69.5,71,305900
#2005-04-13#,70.84,70.84,69.8,70.42,122400
#2005-04-14#,70.58,71.32,70.25,70.42,81700
#2005-04-15#,70.42,70.56,69.384,70,117000
