"Date","Open","High","Low","Close","Volume"
#2010-01-01#,19.08,19.08,18.72,18.81,2005800
#2010-01-04#,18.93,19.18,18.66,19.04,3630517
#2010-01-05#,18.97,19.3499,18.46,18.68,12121052
#2010-01-06#,18.71,19.42,18.71,19.33,5598232
#2010-01-07#,19.32,20.25,19.25,20.19,5196061
#2010-01-08#,20.1,20.42,19.97,20.38,4104166
#2010-01-11#,20.51,21.61,20.355,21.47,7214025
#2010-01-12#,21.25,21.56,20.91,21.33,4849047
#2010-01-13#,21.36,21.49,20.68,20.92,5378627
#2010-01-14#,20.96,23.06,20.58,22.79,17624121
#2010-01-15#,22.75,22.75,21.74,21.88,9136776
#2010-01-18#,22.75,22.75,21.74,21.88,9136776
#2010-01-19#,22.09,23.46,21.79,22.98,8277199
#2010-01-20#,22.7,22.7,21.91,22.31,4539698
#2010-01-21#,22.31,22.425,21.37,21.43,4666271
#2010-01-22#,21.35,22.08,20.8,21.32,5582547
#2010-01-25#,21.64,21.84,20.84,21.13,6112350
#2010-01-26#,21.07,21.09,20.37,20.57,3765381
#2010-01-27#,20.47,21.15,20.36,21,5866006
#2010-01-28#,20.38,20.725,18.89,19.58,18922765
#2010-01-29#,19.66,19.96,19.05,19.53,6786775
#2010-02-01#,19.62,20.69,19.53,20.64,6515247
#2010-02-02#,20.78,21.26,20.45,20.68,7153749
#2010-02-03#,20.54,20.79,20.21,20.46,4608239
#2010-02-04#,20.21,20.21,19.4,19.56,6589377
#2010-02-05#,19.51,19.6,17.96,18.91,11037626
#2010-02-08#,18.84,19.24,18.36,18.71,4947328
#2010-02-09#,19.09,19.27,18.68,18.9,3824963
#2010-02-10#,18.86,19.034,18.29,18.88,6767459
#2010-02-11#,18.88,19.13,18.46,18.96,4799079
#2010-02-12#,18.61,18.67,18,18.32,6119917
#2010-02-15#,18.61,18.67,18,18.32,6119917
#2010-02-16#,18.49,19.15,18.32,19.08,3328148
#2010-02-17#,19.15,19.28,18.91,19.06,2858790
#2010-02-18#,19.06,19.8,18.96,19.75,4512813
#2010-02-19#,19.58,19.94,19.4,19.68,3683423
#2010-02-22#,19.75,20.08,19.56,19.88,3574464
#2010-02-23#,19.85,20.17,19.37,19.53,3461150
#2010-02-24#,19.7,19.74,19.04,19.59,5307476
#2010-02-25#,19.15,19.495,18.97,19.45,4472200
#2010-02-26#,19.45,20.03,19.25,19.92,3764872
