"Date","Open","High","Low","Close","Volume"
#2005-01-03#,61.4,61.4,60.3,60.43,985100
#2005-01-04#,60.6,60.65,59.72,60.03,767300
#2005-01-05#,60.03,60.11,59.4,59.4,697000
#2005-01-06#,59.65,59.98,59.16,59.48,664900
#2005-01-07#,59.6,59.67,59.14,59.26,847800
#2005-01-10#,59.15,59.93,58.96,59.63,1168900
#2005-01-11#,59.6,60.16,59.1,59.62,906000
#2005-01-12#,59.6,59.64,58.85,59.15,1004200
#2005-01-13#,59.25,59.26,58.13,58.35,931800
#2005-01-14#,58.6,58.72,58.15,58.72,806300
#2005-01-17#,58.6,58.72,58.15,58.72,806300
#2005-01-18#,58.72,59.62,58.3,59.56,723900
#2005-01-19#,59.65,59.66,59.03,59.05,1050900
#2005-01-20#,58.67,59.4,58.51,59.28,1725000
#2005-01-21#,59.22,59.29,57.94,58.2,903900
#2005-01-24#,58.2,58.42,57.84,58.11,1129300
#2005-01-25#,58.2,58.2,56.73,56.78,1541700
#2005-01-26#,57,57.45,56.88,57.27,2697800
#2005-01-27#,57.25,57.41,56.67,56.92,1061400
#2005-01-28#,57.02,57.1,56.75,57.06,1135400
#2005-01-31#,57.3,57.88,57.17,57.86,782700
#2005-02-01#,57.86,57.87,57.44,57.53,1071900
#2005-02-02#,57.67,57.87,57.33,57.87,751300
#2005-02-03#,57.87,58.2,57.616,58.19,694000
#2005-02-04#,58.19,58.79,58.19,58.75,455400
#2005-02-07#,58.52,59.01,58.46,58.92,703600
#2005-02-08#,58.92,59.25,58.92,58.95,783700
#2005-02-09#,59.08,59.13,58.48,58.5,709800
#2005-02-10#,58.7,58.82,58.23,58.26,714700
#2005-02-11#,58.25,58.47,57.96,58.41,939000
#2005-02-14#,58.35,58.76,58.06,58.58,452900
#2005-02-15#,58.5,58.93,58.49,58.91,606900
#2005-02-16#,58.7,58.75,58.4,58.71,879100
#2005-02-17#,58.71,58.71,58.33,58.7,1133300
#2005-02-18#,58.77,58.8,57.87,57.87,703700
#2005-02-21#,58.77,58.8,57.87,57.87,703700
#2005-02-22#,57.62,57.91,56.73,56.73,720400
#2005-02-23#,56.9,57.67,56.9,57.22,589300
#2005-02-24#,57.27,57.31,56.89,56.95,937900
#2005-02-25#,56.98,57.9,56.82,57.68,1000300
#2005-02-28#,57.68,57.74,56.95,57.08,754100
#2005-03-01#,57.08,57.67,57.08,57.43,976400
#2005-03-02#,57.43,57.5,57,57.12,792300
#2005-03-03#,57.35,57.49,56.87,57.31,459100
#2005-03-04#,57.5,58.44,57.47,58.09,452000
#2005-03-07#,58.1,58.53,58.09,58.41,368900
#2005-03-08#,58.4,58.69,57.95,58.65,776900
#2005-03-09#,58.65,58.65,58.1,58.2,874600
#2005-03-10#,58.26,58.58,57.95,58.4,975800
#2005-03-11#,58,58.06,56.9,56.97,631300
#2005-03-14#,57.17,57.77,57.02,57.5,360900
#2005-03-15#,57.6,57.75,56.87,56.95,839000
#2005-03-16#,56.4,56.41,55.57,56.33,1484600
#2005-03-17#,56.5,56.62,56,56.38,816600
#2005-03-18#,56.38,56.48,56.07,56.4,762000
#2005-03-21#,56.29,56.37,55.6,55.65,1009000
#2005-03-22#,55.7,56.18,55.01,55.04,1089200
#2005-03-23#,55,55.35,54.69,54.69,1034100
#2005-03-24#,54.8,54.98,54.25,54.25,1191200
#2005-03-25#,54.8,54.98,54.25,54.25,1191200
#2005-03-28#,54.26,54.66,54.25,54.25,892300
#2005-03-29#,54.31,54.34,53.7,53.75,1232100
#2005-03-30#,53.78,54.86,53.72,54.72,896000
#2005-03-31#,54.72,55.31,54.61,55.08,942200
#2005-04-01#,55.75,56.18,54.28,54.69,1296400
#2005-04-04#,54.81,54.84,54.25,54.52,898400
#2005-04-05#,54.75,55.09,54.4,54.4,706400
#2005-04-06#,54.62,55.68,54.62,55.45,780400
#2005-04-07#,55.48,55.77,55.21,55.65,678900
#2005-04-08#,55.88,55.88,54.71,54.77,572200
#2005-04-11#,54.9,55,54.45,54.5,602700
#2005-04-12#,54.5,55.565,54.15,55.39,842500
#2005-04-13#,55.39,55.4768,54.52,54.52,1031200
#2005-04-14#,54.53,54.53,53.7,53.7,1137700
#2005-04-15#,53.6,54.04,53.27,53.46,917000
#2005-04-18#,53.48,54.5,53.17,54.36,984100
#2005-04-19#,54.3,54.8,54.3,54.63,977800
#2005-04-20#,55.31,55.42,53.97,54.16,1835600
#2005-04-21#,54.6,55.02,53.55,54.99,846000
#2005-04-22#,54.85,56.12,54.85,55.57,1254500
#2005-04-25#,55.63,56.2,55.51,56.14,784500
#2005-04-26#,55.75,56.63,55.71,56.27,1480000
#2005-04-27#,56.17,57.36,56.08,57.24,1333900
#2005-04-28#,57.2,57.2,56.47,56.47,1423900
#2005-04-29#,56.57,57.26,56.09,57.26,1265600
#2005-05-02#,57.26,57.47,56.76,57.3,955300
#2005-05-03#,57.35,57.5,56.8,57.03,1271700
#2005-05-04#,57.25,58.55,56.9,58.37,1291100
#2005-05-05#,58.46,58.56,57.24,57.62,1669500
#2005-05-06#,57.64,57.75,56.7132,56.92,972200
#2005-05-09#,56.9,57.28,56.8,57.05,741900
#2005-05-10#,56.95,57.12,56.5,56.65,1180800
#2005-05-11#,56.71,56.91,56.2,56.68,1238500
#2005-05-12#,56.6,57.02,55.93,55.98,829000
#2005-05-13#,56.2,56.2,55.17,55.45,889000
#2005-05-16#,55.55,56.43,55.55,56.22,1910000
#2005-05-17#,56.22,56.64,55.61,56.54,714100
#2005-05-18#,56.93,57.15,56.61,56.8,964600
#2005-05-19#,57.05,57.05,56.25,56.65,1027000
#2005-05-20#,56.65,57,56.27,56.89,1124000
#2005-05-23#,56.89,56.89,56.63,56.75,638500
#2005-05-24#,56.76,56.95,56.38,56.73,627200
#2005-05-25#,56.6,56.65,56.17,56.36,688400
#2005-05-26#,56.5,56.84,56.23,56.63,619600
#2005-05-27#,56.59,56.68,56.3,56.38,328900
#2005-05-30#,56.59,56.68,56.3,56.38,328900
#2005-05-31#,56.28,56.31,55.82,55.88,920100
#2005-06-01#,56,57.29,55.71,56.89,757500
#2005-06-02#,56.51,56.72,56.18,56.64,564400
#2005-06-03#,56.74,56.79,56.04,56.69,1033900
#2005-06-06#,56.67,56.67,56.16,56.43,917300
#2005-06-07#,56.43,57.1,56.36,56.48,901000
#2005-06-08#,56.65,56.9,56.41,56.74,874900
#2005-06-09#,56.94,56.94,56.26,56.6,596200
#2005-06-10#,56.65,56.71,56.22,56.32,948000
#2005-06-13#,55.8,56.22,55.69,55.98,563500
#2005-06-14#,56,56.68,55.97,56.57,835600
#2005-06-15#,56.97,57.32,56.82,57.32,812300
#2005-06-16#,57.34,57.72,57.12,57.62,698200
#2005-06-17#,58,58.46,57.68,58.46,1160200
#2005-06-20#,58.1,58.2,57.45,58.2,686600
#2005-06-21#,58.15,58.21,57.79,58.13,315600
#2005-06-22#,58.59,58.8,58.09,58.25,687200
#2005-06-23#,58.27,58.27,57.5,57.63,484900
#2005-06-24#,57.43,57.83,57.35,57.54,547400
#2005-06-27#,57.5,57.65,57.34,57.65,357800
#2005-06-28#,58.04,58.48,57.88,58.4,601400
#2005-06-29#,58.4,58.79,58.31,58.79,512600
#2005-06-30#,59.29,59.29,57.78,57.8,1034600
#2005-07-01#,58.15,58.22,57.5,57.66,837000
#2005-07-04#,58.15,58.22,57.5,57.66,837000
#2005-07-05#,57.63,58.34,57.4,58.23,872700
#2005-07-06#,58.23,58.35,57.63,57.64,839800
#2005-07-07#,56.94,57.7,56.8,57.66,476400
#2005-07-08#,57.69,58.5,57.54,58.38,661400
#2005-07-11#,58.5,58.93,58.35,58.93,467700
#2005-07-12#,58.94,59.39,58.73,59.24,720500
#2005-07-13#,59.3,59.88,59.3,59.86,1445200
#2005-07-14#,59.87,59.98,59.53,59.75,805400
#2005-07-15#,59.9,60.01,59.3,60.01,899800
#2005-07-18#,60.01,60.02,58.97,58.97,628100
#2005-07-19#,59.17,60.07,59.17,60.07,865900
#2005-07-20#,60.25,63.38,60.25,63.21,4653700
#2005-07-21#,62.5,62.9,62.26,62.7,1442700
#2005-07-22#,62.58,63.05,62.25,63.05,1018100
#2005-07-25#,63,63.16,61.51,62.2,1604100
#2005-07-26#,62.35,63.02,62.14,62.66,1067000
#2005-07-27#,62.9,62.9,62.06,62.22,499900
#2005-07-28#,62.2,62.36,61.91,62.11,980500
#2005-07-29#,62.13,62.16,60.92,61.1,1121500
#2005-08-01#,61.14,61.21,60.54,60.64,1036700
#2005-08-02#,60.74,61.03,60.39,60.65,1118800
#2005-08-03#,60.64,61.52,60.38,61.27,919100
#2005-08-04#,61.2,61.21,60.28,60.38,473500
#2005-08-05#,60.27,60.28,59.47,59.55,596900
#2005-08-08#,59.7,59.89,59.36,59.6,491700
#2005-08-09#,59.85,60.24,59.51,59.72,534300
#2005-08-10#,60,60.45,59.47,59.6,577900
#2005-08-11#,59.64,60.13,59.55,60.1,662000
#2005-08-12#,60.1,60.5,59.81,60.24,814900
#2005-08-15#,60.25,61,60.16,60.95,628100
#2005-08-16#,60.94,61.07,60.44,60.58,915600
#2005-08-17#,60.7,61.01,60.46,60.82,699400
#2005-08-18#,60.82,60.97,60.6,60.78,608200
#2005-08-19#,61.1,61.1,60.8,60.86,413800
#2005-08-22#,60.91,61.27,60.68,60.9,453200
#2005-08-23#,60.8,60.88,60.37,60.39,866500
#2005-08-24#,60.44,60.84,60.25,60.31,892800
#2005-08-25#,60.29,60.68,60.26,60.39,832500
#2005-08-26#,60.1,60.22,59.48,59.48,988400
#2005-08-29#,59.33,59.63,58.89,59.63,929800
#2005-08-30#,59.35,59.93,59.16,59.87,1056600
#2005-08-31#,59.95,60.59,59.63,60.49,936500
#2005-09-01#,60.49,61.55,60.34,61.07,837700
#2005-09-02#,61.25,61.4,60.83,61,664700
#2005-09-05#,61.25,61.4,60.83,61,664700
#2005-09-06#,61.25,61.68,61.21,61.59,811300
#2005-09-07#,61.45,61.8,61.06,61.78,646900
#2005-09-08#,61.6,61.6,60.7,61,765900
#2005-09-09#,61.01,61.48,60.87,61.48,1041600
#2005-09-12#,61.3,61.95,61.2,61.83,1040400
#2005-09-13#,61.5,61.5,60.53,60.56,830900
#2005-09-14#,60.71,61,60.52,60.9,722600
#2005-09-15#,60.78,60.79,59.86,59.96,1320100
#2005-09-16#,60.3,61.19,60.05,61.15,993700
#2005-09-19#,61.04,61.04,60.37,60.7,680900
#2005-09-20#,60.7,61.2,59.96,60,728800
#2005-09-21#,59.88,59.89,59.18,59.2,983300
#2005-09-22#,59.21,59.3,58.44,59.18,669300
#2005-09-23#,58.98,59.6,58.74,59.41,340700
#2005-09-26#,59.58,59.82,58.92,59.11,672200
#2005-09-27#,59.11,59.24,58.64,58.97,556400
#2005-09-28#,58.97,59.3,58.5,58.5,1018500
#2005-09-29#,58.35,59.34,58.11,59.26,670800
#2005-09-30#,59.26,59.72,58.79,58.9,913800
#2005-10-03#,58.9,59.55,58.7,59.46,636300
#2005-10-04#,59.55,59.99,58.12,58.22,703300
#2005-10-05#,58.3,58.62,57.64,57.72,575800
#2005-10-06#,57.93,58.79,57.53,58.15,792800
#2005-10-07#,58.26,58.54,57.53,57.84,477300
#2005-10-10#,57.84,57.85,57.06,57.1,1059600
#2005-10-11#,57.13,57.3,56.03,56.23,1341800
#2005-10-12#,56.24,57.03,55.93,56.12,974500
#2005-10-13#,56.13,56.57,55.94,56.19,962600
#2005-10-14#,56.5,56.68,56.18,56.45,1387400
#2005-10-17#,57.5,57.9,56.75,57.11,1512500
#2005-10-18#,57.35,57.55,56.55,56.56,1067800
#2005-10-19#,56.57,56.57,53.6,55.38,3037700
#2005-10-20#,55.68,56.25,54.57,54.73,1646200
#2005-10-21#,55.1,55.25,54.26,55.03,1072500
#2005-10-24#,55.59,56.5,55.25,55.31,1401100
#2005-10-25#,55.4,55.99,54.99,55.9,1205500
#2005-10-26#,55.9,56.45,55.76,56.07,1381800
#2005-10-27#,56.2,56.44,55.8,55.8,921700
#2005-10-28#,56.3,57.76,56.26,57.74,1243900
