"Date","Open","High","Low","Close","Volume"
#2004-01-01#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-02#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-05#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-06#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-07#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-08#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-09#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-12#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-13#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-14#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-15#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-16#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-19#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-20#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-21#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-22#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-23#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-26#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-27#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-28#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-29#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-01-30#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-02#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-03#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-04#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-05#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-06#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-09#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-10#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-11#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-12#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-13#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-16#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-17#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-18#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-19#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-20#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-23#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-24#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-25#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-26#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-02-27#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-01#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-02#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-03#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-04#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-05#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-08#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-09#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-10#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-11#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-12#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-15#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-16#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-17#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-18#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-19#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-22#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-23#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-24#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-25#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-26#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-29#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-30#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-03-31#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-01#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-02#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-05#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-06#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-07#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-08#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-09#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-12#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-13#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-14#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-15#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-16#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-19#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-20#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-21#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-22#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-23#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-26#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-27#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-28#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-29#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-04-30#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-03#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-04#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-05#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-06#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-07#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-10#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-11#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-12#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-13#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-14#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-17#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-18#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-19#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-20#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-21#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-24#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-25#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-26#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-27#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-28#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-05-31#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-01#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-02#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-03#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-04#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-07#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-08#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-09#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-10#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-11#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-14#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-15#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-16#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-17#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-18#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-21#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2004-06-22#,2.75,2.75,2.75,2.75,"#N/A N/A"
#2004-06-23#,3.75,4.325,3.6875,4.3,43587600
#2004-06-24#,4.3875,4.4225,4.125,4.19,8887200
#2004-06-25#,4.1275,4.1875,3.9475,3.95,6710000
#2004-06-28#,4,4.0525,3.859,4,2270800
#2004-06-29#,4,4.175,3.9575,4.1,2112000
#2004-06-30#,4.1,4.235,4.0075,4.0175,2087600
#2004-07-01#,4.02,4.05,3.975,4.0075,1754800
#2004-07-02#,4.025,4.245,4.0125,4.245,993200
#2004-07-05#,4.025,4.245,4.0125,4.245,993200
#2004-07-06#,4.2325,4.25,4.12,4.25,1216800
#2004-07-07#,4.225,4.225,4.0125,4.0775,1787600
#2004-07-08#,4.0775,4.0775,3.915,3.935,2179200
#2004-07-09#,3.985,4.1425,3.975,4.1,596800
#2004-07-12#,4.15,4.2075,4.0375,4.1875,780800
#2004-07-13#,4.185,4.185,4.02,4.02,1674000
#2004-07-14#,4.0125,4.0125,3.895,3.9125,2366000
#2004-07-15#,3.9375,3.95,3.735,3.835,1806000
#2004-07-16#,3.85,4.1,3.74,4,3278800
#2004-07-19#,4.0125,4.0425,3.9575,4.0025,954800
#2004-07-20#,4.0025,4.045,3.8825,4.015,2245200
#2004-07-21#,4.025,4.025,2.7625,2.925,25458400
#2004-07-22#,2.8875,3.295,2.825,3.245,9824800
#2004-07-23#,3.2375,3.375,3.1875,3.26,1674400
#2004-07-26#,3.3875,3.3875,3.22,3.32,1286000
#2004-07-27#,3.345,3.3575,3.275,3.285,751200
#2004-07-28#,3.2625,3.305,3.15,3.2475,1534800
#2004-07-29#,3.25,3.3375,3.2375,3.24,908000
#2004-07-30#,3.24,3.3,3.1375,3.2525,815200
#2004-08-02#,3.245,3.27,3.1425,3.2025,1297600
#2004-08-03#,3.2,3.2725,2.9975,3.0325,2944400
#2004-08-04#,3.0325,3.0375,2.9875,2.995,2746800
#2004-08-05#,2.9975,2.9975,2.67,2.725,3030400
#2004-08-06#,2.725,2.75,2.6775,2.6925,1797200
#2004-08-09#,2.7375,2.7625,2.715,2.7475,1121600
#2004-08-10#,2.75,2.76,2.72,2.75,733200
#2004-08-11#,2.7375,2.7375,2.6475,2.655,624400
#2004-08-12#,2.68,2.6825,2.48,2.4975,1578000
#2004-08-13#,2.4975,2.5125,2.3675,2.3975,2496000
#2004-08-16#,2.4,2.4625,2.25,2.43,2171200
#2004-08-17#,2.47,2.7475,2.47,2.7425,2968000
#2004-08-18#,2.725,3.0375,2.67,2.9875,1697600
#2004-08-19#,2.9875,3.0625,2.925,3.0425,1310400
#2004-08-20#,3.125,3.3,2.9725,3.15,4034800
#2004-08-23#,3.175,3.2375,3.09,3.125,1127600
#2004-08-24#,3.15,3.195,3.105,3.1925,1072400
#2004-08-25#,3.2,3.2625,3.125,3.24,1200800
#2004-08-26#,3.2425,3.25,3.2025,3.225,471200
#2004-08-27#,3.25,3.3025,3.225,3.2875,463600
#2004-08-30#,3.305,3.315,3.265,3.2925,606000
#2004-08-31#,3.3,3.3125,3.175,3.25,874400
#2004-09-01#,3.3,3.3325,3.29,3.3325,512800
#2004-09-02#,3.32,3.4925,3.32,3.4725,998800
#2004-09-03#,3.475,3.485,3.405,3.4375,924000
#2004-09-06#,3.475,3.485,3.405,3.4375,924000
#2004-09-07#,3.44,3.44,3.35,3.3575,1193200
#2004-09-08#,3.3325,3.3325,3.2875,3.31,550000
#2004-09-09#,3.31,3.325,3.2425,3.2925,2529200
#2004-09-10#,3.2875,3.575,3.2875,3.5625,2795200
#2004-09-13#,3.6,3.875,3.6,3.8,4345200
#2004-09-14#,3.8,4.0225,3.75,3.9775,2052000
#2004-09-15#,3.98,4.285,3.925,4.085,4147200
#2004-09-16#,4.0875,4.1225,4.015,4.065,2518400
#2004-09-17#,4.05,4.0525,3.71,3.9175,4487600
#2004-09-20#,3.9375,4.025,3.9225,4.0025,597200
#2004-09-21#,4.0125,4.225,4.0125,4.09,2327200
#2004-09-22#,4.075,4.075,3.9525,4.0175,2076800
#2004-09-23#,4.0175,4.0175,3.9125,3.9275,1117600
#2004-09-24#,3.99,4.2125,3.95,4.01,2796000
#2004-09-27#,4,4.0175,3.8775,3.8975,1380000
#2004-09-28#,3.88,3.885,3.6925,3.75,1862800
#2004-09-29#,3.7625,3.9675,3.7625,3.9375,1700400
#2004-09-30#,3.9375,3.9775,3.905,3.9075,4521200
#2004-10-01#,3.9075,4.195,3.88,4.1625,2614800
#2004-10-04#,4.2875,4.46,4.14,4.2175,3153200
#2004-10-05#,4.22,4.28,4.15,4.225,1360800
#2004-10-06#,4.225,4.3125,4.1225,4.3125,1433600
#2004-10-07#,4.475,4.705,4.4025,4.625,5887200
#2004-10-08#,4.615,4.615,4.3675,4.405,2528800
#2004-10-11#,4.41,4.5875,4.4,4.545,1064800
#2004-10-12#,4.5,4.5975,4.4175,4.5975,897200
#2004-10-13#,4.65,4.8075,4.6025,4.625,1728000
#2004-10-14#,4.625,4.6875,4.4625,4.4975,1047200
#2004-10-15#,4.515,4.56,4.4,4.495,946800
#2004-10-18#,4.475,4.575,4.4125,4.5725,692800
#2004-10-19#,4.5875,4.61,4.53,4.5575,622400
#2004-10-20#,4.5325,4.565,4.475,4.5375,760800
#2004-10-21#,4.5425,4.67,4.51,4.6,722400
#2004-10-22#,4.625,4.645,4.3125,4.35,1141200
#2004-10-25#,4.3875,4.59,4.3875,4.5375,1056000
#2004-10-26#,4.525,4.6125,4.4475,4.6125,476800
#2004-10-27#,4.625,4.8975,4.5375,4.8175,1922800
#2004-10-28#,4.825,5.15,4.75,5.0375,2500800
#2004-10-29#,5.025,5.08,4.8525,5.08,1799600
#2004-11-01#,5.125,5.5,5.1,5.425,3213600
#2004-11-02#,5.625,5.625,5.4425,5.49,3029600
#2004-11-03#,5.5525,5.675,5.375,5.4175,1919200
#2004-11-04#,5.4,5.4325,5.125,5.145,1398400
#2004-11-05#,5.2075,5.34,5.1375,5.215,1574800
#2004-11-08#,5.215,5.215,5.065,5.1,1014400
#2004-11-09#,4.925,5.0125,4.7775,4.8825,1935600
#2004-11-10#,4.9125,4.9125,4.815,4.8825,779200
#2004-11-11#,4.8825,5.035,4.8625,5.005,1007200
#2004-11-12#,5.05,5.0625,4.875,5,556400
#2004-11-15#,5.02,5.2,5,5.2,2122000
#2004-11-16#,5.2,5.3,5.075,5.1475,2564000
#2004-11-17#,5.2,5.2375,5.0675,5.21,1593600
#2004-11-18#,4.75,4.75,4.3275,4.455,9432800
#2004-11-19#,4.55,4.6125,4.2625,4.4375,3152800
#2004-11-22#,4.4375,4.525,4.3725,4.405,872000
#2004-11-23#,4.405,4.505,4.3825,4.495,1104800
#2004-11-24#,4.5,4.56,4.45,4.5,907600
#2004-11-25#,4.5,4.56,4.45,4.5,907600
#2004-11-26#,4.475,4.475,4.3625,4.4325,514400
#2004-11-29#,4.435,4.4625,4.375,4.375,1548000
#2004-11-30#,4.3775,4.5175,4.335,4.365,2277600
#2004-12-01#,4.3675,4.4125,4.2025,4.235,2311200
#2004-12-02#,4.245,4.255,4.105,4.2475,2929200
#2004-12-03#,4.2325,4.2325,4.1175,4.1575,1045200
#2004-12-06#,4.2,4.2,4.095,4.1375,1245200
#2004-12-07#,4.135,4.14,3.965,4.0125,2875200
#2004-12-08#,4.0125,4.035,3.965,3.98,2116000
#2004-12-09#,3.975,4.1275,3.945,4.065,2348400
#2004-12-10#,4.04,4.12,3.977,3.98,1936400
#2004-12-13#,4.0175,4.075,3.965,4.025,1150400
#2004-12-14#,4.0125,4.1925,3.98,4.085,1650400
#2004-12-15#,4.1,4.115,4.0125,4.07,1510400
#2004-12-16#,4.07,4.125,4.0675,4.095,1602400
#2004-12-17#,4.0975,4.0975,3.9,4.025,2897200
#2004-12-20#,3.65,3.85,3.65,3.8,38832000
#2004-12-21#,3.8125,4.0475,3.8125,4.025,15005200
#2004-12-22#,3.9625,4.1125,3.9625,4.0625,6779200
#2004-12-23#,4.065,4.1875,4.065,4.1525,5615200
#2004-12-24#,4.065,4.1875,4.065,4.1525,5615200
#2004-12-27#,4.1875,4.35,4.1725,4.3425,6694400
#2004-12-28#,4.3575,4.4175,4.25,4.295,3358800
#2004-12-29#,4.25,4.3,4.205,4.2925,2126000
#2004-12-30#,4.2525,4.275,4.18,4.215,3416400
#2004-12-31#,4.1625,4.275,4.1625,4.235,1435600
