"Date","Open","High","Low","Close","Volume"
#2005-01-03#,104.9,105.25,104.34,104.95,4239100
#2005-01-04#,104.8,105.2,103.91,104.27,5154200
#2005-01-05#,103.75,104.98,103.58,103.8,3649300
#2005-01-06#,103.96,105.25,103.91,105.23,3590100
#2005-01-07#,105.23,105.46,104.4,104.78,3075000
#2005-01-10#,104.28,105.43,104.27,104.98,2689500
#2005-01-11#,104.05,104.68,103.4,104.17,3132700
#2005-01-12#,104.1,104.26,102.41,103.27,3975800
#2005-01-13#,102.8,103.96,102.78,102.94,3256300
#2005-01-14#,103.1,104.35,102.94,104.22,2794500
#2005-01-17#,103.1,104.35,102.94,104.22,2794500
#2005-01-18#,103.6,105.18,103.56,105,3224800
#2005-01-19#,104.33,104.72,103.81,104.06,3571600
#2005-01-20#,103.5,103.77,102.88,103.4,3252100
#2005-01-21#,103.2,104.54,102.79,103.33,4603500
#2005-01-24#,103.33,104.54,103.04,103.24,3895400
#2005-01-25#,104.1,104.7,102.61,102.86,3365000
#2005-01-26#,103.18,103.52,101.79,103.26,3809100
#2005-01-27#,103.37,104.34,103.01,104,3479100
#2005-01-28#,104.65,106.71,104,106.12,5854200
#2005-01-31#,107.38,107.97,107.15,107.85,3826500
#2005-02-01#,107.65,108.94,107.3,108.4,3391400
#2005-02-02#,108.15,108.97,107.99,108.59,2865400
#2005-02-03#,108.4,108.94,108.2,108.74,2933200
#2005-02-04#,108.74,110.33,108.71,110.02,3728100
#2005-02-07#,110.02,110.21,109.33,109.59,2709800
#2005-02-08#,109.97,111.93,109.91,111.55,4222400
#2005-02-09#,111.53,113.35,111.35,111.45,4589900
#2005-02-10#,111.8,112.98,111.75,112.77,3585900
#2005-02-11#,112.78,113.93,112.07,112.77,3942900
#2005-02-14#,112.78,113.38,111.69,111.97,2277700
#2005-02-15#,112.5,113.19,112.25,112.71,2459000
#2005-02-16#,112.35,112.62,111.61,112.27,2233900
#2005-02-17#,112.6,112.81,110.54,110.6,2349400
#2005-02-18#,110.65,110.8,108.6,109,3406000
#2005-02-21#,110.65,110.8,108.6,109,3406000
#2005-02-22#,108.05,109.26,107.52,107.86,2519800
#2005-02-23#,108.62,109.41,108.17,109.11,2764100
#2005-02-24#,108.65,109.21,108.13,108.5,1995900
#2005-02-25#,108.73,110.25,108.53,110.1,2262700
#2005-02-28#,110,110.11,108.35,108.8,2650000
#2005-03-01#,108.39,110.76,108.39,110.02,2552000
#2005-03-02#,109.25,111.32,109.22,109.73,2229100
#2005-03-03#,110.4,110.86,109,109.41,2064400
#2005-03-04#,110.2,112.83,110.03,111.53,3103600
#2005-03-07#,111.95,113.12,111.53,112.8,2544100
#2005-03-08#,112.8,113.17,112.1,112.63,2702600
#2005-03-09#,112.5,112.5,110.82,110.87,2726800
#2005-03-10#,111.45,112,110.82,111.33,2430800
#2005-03-11#,111.34,111.55,108.91,109.55,3006800
#2005-03-14#,109.81,110.75,109.06,110,2701400
#2005-03-15#,111.7,111.9,110.425,110.54,3087200
#2005-03-16#,110.54,110.58,108.6,109.97,3165100
#2005-03-17#,109.97,111.24,108.45,110.04,5551800
#2005-03-18#,109.7,110.7,109.56,109.98,7576500
#2005-03-21#,110.1,110.84,109.6,109.6,3944600
#2005-03-22#,109.75,110.99,107.67,107.99,5687500
#2005-03-23#,107.6,108.92,107.5,108.06,4451400
#2005-03-24#,108.78,109.5,108.37,108.4,2916800
#2005-03-25#,108.78,109.5,108.37,108.4,2916800
#2005-03-28#,108.95,109.99,108.55,109.68,2543200
#2005-03-29#,109.68,110.63,108.37,108.45,3836700
#2005-03-30#,108.19,109.9,108.19,109.8,4066900
#2005-03-31#,110,110.26,109.06,109.99,3790800
#2005-04-01#,110.74,111.06,108.31,109.3,5627900
#2005-04-04#,109.15,111.33,108.58,111,6166000
#2005-04-05#,110.95,111.9,110.45,110.59,4731000
#2005-04-06#,110.95,112.64,110.79,112.5,5279100
#2005-04-07#,112.5,113.93,112.2,113.53,4735900
#2005-04-08#,113.25,114.25,112.78,112.93,3801400
#2005-04-11#,113.45,113.81,111.923,112.09,3599100
#2005-04-12#,111.55,112.47,110.14,111.76,5932800
#2005-04-13#,111.77,112,109.73,110.01,4685100
#2005-04-14#,110.15,110.4,108.43,108.49,4350600
#2005-04-15#,108.35,109.07,106.49,106.49,5600700
#2005-04-18#,106.69,107.99,106.3,107.35,4059600
#2005-04-19#,107.5,107.92,106.66,106.69,4614400
#2005-04-20#,106.7,106.89,104.07,104.33,5484600
#2005-04-21#,105.55,106.92,103.45,105.11,7072100
#2005-04-22#,105,105.75,103.21,104.19,7265100
#2005-04-25#,104.55,106.41,104.55,105.74,3603600
#2005-04-26#,105.74,107.19,105.12,105.72,3704100
#2005-04-27#,105.65,108.16,105.21,107.76,3631200
#2005-04-28#,106.95,107.89,105.94,106.23,3574100
#2005-04-29#,107.13,107.28,104.5,106.79,4585900
#2005-05-02#,105.48,105.85,103,104.46,6286400
#2005-05-03#,103.55,104.9,103.05,104.37,5620500
#2005-05-04#,105.2,107.15,104.65,106.27,5205700
#2005-05-05#,106.8,107.29,104.56,105.3,4729200
#2005-05-06#,105.75,106.18,104.5,104.68,3818100
#2005-05-09#,104.48,105.54,104.22,105.5,3654700
#2005-05-10#,104.22,104.27,101.81,102.11,6377500
#2005-05-11#,102.55,104.04,101.97,103.75,5134200
#2005-05-12#,103.5,103.73,99.34,100.22,7465400
#2005-05-13#,100.2,100.2,96.42,97.82,9190800
#2005-05-16#,97.82,99.29,97.8,98.42,4918400
#2005-05-17#,97.5,98.62,97.25,98.35,5396100
#2005-05-18#,98.5,99.97,98.5,99.58,5248400
#2005-05-19#,99.23,100.5,99.23,100.12,3854500
#2005-05-20#,99.95,101.2,99.55,101.08,3495500
#2005-05-23#,101.65,101.65,100.3,100.69,3706200
#2005-05-24#,100.5,100.5,98.7,99.58,4118600
#2005-05-25#,99.7,99.7,97.23,97.25,6690600
#2005-05-26#,98.05,98.16,96.04,96.6,8014100
#2005-05-27#,96.95,96.97,95.16,95.5,6727100
#2005-05-30#,96.95,96.97,95.16,95.5,6727100
#2005-05-31#,94.99,97.57,94.75,97.5,7687800
#2005-06-01#,97.4,99.78,96.71,98.64,6561800
#2005-06-02#,98,98.48,97.23,97.67,3975900
#2005-06-03#,97.55,98.13,96.66,97.3,3319800
#2005-06-06#,96.75,98.78,96.43,98.42,3380000
#2005-06-07#,98.6,99.47,98.28,98.4,3734300
#2005-06-08#,99.1,99.23,98.35,98.35,3024700
#2005-06-09#,98.85,100.36,98.61,99.95,4091100
#2005-06-10#,100.13,100.13,98.68,99.05,1886100
#2005-06-13#,98.78,99.77,98.41,99.26,4434400
#2005-06-14#,99.65,100.17,98.248,98.3,4687900
#2005-06-15#,98.6,99.63,97.81,99.19,6118700
#2005-06-16#,98.7,103.3,98.7,102.65,10330000
#2005-06-17#,102.75,104.24,102.3,103.8,6170000
