"Date","Open","High","Low","Close","Volume"
#2005-01-03#,48.05,48.575,47.27,47.535,6294000
#2005-01-04#,48.025,48.15,46.665,47.01,7579400
#2005-01-05#,47.125,47.225,46.11,46.11,5933000
#2005-01-06#,46.2,47.28,46.11,46.79,6300400
#2005-01-07#,46.835,47.15,46.575,46.69,5815400
#2005-01-10#,46.75,46.85,46.195,46.26,4819400
#2005-01-11#,46.26,46.26,45.555,45.62,5896000
#2005-01-12#,46,46.25,45.37,46.185,8387600
#2005-01-13#,46.1,46.565,46.08,46.43,6702200
#2005-01-14#,46.745,47.015,46.495,46.845,3825000
#2005-01-17#,46.745,47.015,46.495,46.845,3825000
#2005-01-18#,46.655,46.75,45.95,46.265,4624600
#2005-01-19#,46.15,46.34,45.75,45.755,5838800
#2005-01-20#,45.755,45.78,44.96,45.04,5108600
#2005-01-21#,44.965,45.48,44.38,44.615,6873600
#2005-01-24#,44.775,44.865,44.06,44.06,5634200
#2005-01-25#,44.37,45.25,44.065,45.25,5999600
#2005-01-26#,45.25,45.82,44.95,45.56,6353600
#2005-01-27#,43.7,44.12,43.2,43.26,21820600
#2005-01-28#,43.5,44.06,43.425,43.73,8176600
#2005-01-31#,44,44.825,43.83,44.55,6675200
#2005-02-01#,44.8,45.27,44.575,45.06,4816400
#2005-02-02#,45.045,45.725,44.785,45.505,6762800
#2005-02-03#,45.26,46.015,45.135,45.9,5226800
#2005-02-04#,45.9,46.095,45.495,45.95,6606200
#2005-02-07#,45.95,46.095,45.62,45.68,3717400
#2005-02-08#,45.7,45.91,45.315,45.74,3357200
#2005-02-09#,45.74,45.995,45.25,45.32,3795800
#2005-02-10#,45.5,46.205,45.455,46.03,3192400
#2005-02-11#,46.15,46.58,45.65,46.39,4657200
#2005-02-14#,46.57,46.595,45.935,46.11,2403400
#2005-02-15#,46.01,46.29,45.49,45.75,6315800
#2005-02-16#,45.625,46.41,45.555,46.27,4561000
#2005-02-17#,46.27,46.52,45.85,45.91,3429400
#2005-02-18#,45.91,45.925,45.36,45.42,4446600
#2005-02-21#,45.91,45.925,45.36,45.42,4446600
#2005-02-22#,45.305,45.705,44.71,44.73,5110400
#2005-02-23#,44.955,45.385,44.825,45.23,3099800
#2005-02-24#,45.375,46.69,45.355,46.58,4545600
#2005-02-25#,46.54,47.645,46.375,47.41,6088600
#2005-02-28#,47.3,48.125,46.93,47.525,6592000
#2005-03-01#,47.485,48.8,47.22,48.685,9691800
#2005-03-02#,48.315,48.9,48.3108,48.585,6762000
#2005-03-03#,48.585,48.9268,48.085,48.87,5446400
#2005-03-04#,48.925,49.98,48.625,49.98,8097200
#2005-03-07#,49.95,49.95,49.275,49.45,4778200
#2005-03-08#,49.55,49.885,49.2,49.5,4963000
#2005-03-09#,49.25,49.305,48.375,48.405,5756400
#2005-03-10#,48.495,49.48,48.385,49.13,7010600
