"Date","Open","High","Low","Close","Volume"
#2001-01-01#,32,32.1875,31.25,31.625,675400
#2001-01-02#,31.875,32,30.0625,30.1875,1625000
#2001-01-03#,31.25,37.125,30.5,37.125,2762100
#2001-01-04#,32,33.125,29.875,30.6875,9027500
#2001-01-05#,30.75,30.9375,28.75,28.875,3835300
#2001-01-08#,29,29.4375,26.75,27.5,1951200
#2001-01-09#,27.25,29,27.25,29,2427100
#2001-01-10#,28.5,30.1875,27.9375,30,1452300
#2001-01-11#,30,31.5,29.8125,31.5,1701200
#2001-01-12#,31.5,32.4375,31.1875,32.0625,1881800
#2001-01-15#,31.5,32.4375,31.1875,32.0625,1881800
#2001-01-16#,32.0625,32.5,31.9375,32.25,1617400
#2001-01-17#,33.25,33.375,32.6875,32.6875,1211900
#2001-01-18#,32.5,32.8125,32.125,32.5,975200
#2001-01-19#,32.5625,32.5625,31.75,32.1875,1532900
#2001-01-22#,32.1875,34.875,32.1875,34.125,1830000
#2001-01-23#,36.25,36.3125,35.0625,35.375,2403200
#2001-01-24#,35,35.9375,34.75,34.9375,1387600
#2001-01-25#,34.125,36.0625,34.125,35.75,1424300
#2001-01-26#,35.25,35.75,34.5625,35,1272400
#2001-01-29#,34.65,36.24,34.65,35.75,861600
#2001-01-30#,35.99,36.55,35.37,35.77,711000
#2001-01-31#,36.32,37.8,36,37.48,1432400
#2001-02-01#,37,37.16,36,37.15,937100
#2001-02-02#,37.01,37.08,35.85,35.85,814000
#2001-02-05#,34.16,35.4,34.16,34.87,986100
#2001-02-06#,35.5,35.8,34.56,34.8,989200
#2001-02-07#,34.7,35.79,34.7,35.36,579300
#2001-02-08#,35.35,35.4,34.65,34.91,1270400
#2001-02-09#,34.91,35.18,33.28,33.42,734000
#2001-02-12#,33.67,34.64,32.63,34.45,1084800
#2001-02-13#,33.95,34.2,33,33.64,1180400
#2001-02-14#,34.14,34.22,33.25,33.62,591100
#2001-02-15#,34,34.2,33.06,33.98,1436000
#2001-02-16#,34.63,34.63,32.76,32.93,1091000
#2001-02-19#,34.63,34.63,32.76,32.93,1091000
#2001-02-20#,32.93,33.98,32.76,32.88,640800
#2001-02-21#,32.88,32.88,31.64,31.69,1340300
#2001-02-22#,31.62,31.8,31.02,31.04,885900
#2001-02-23#,30.6,31.5,29.45,31.29,1527600
#2001-02-26#,31.65,33,31.62,32.81,668700
#2001-02-27#,32.12,32.7,31.8,32.08,685500
#2001-02-28#,32.02,32.14,30.95,31.11,1568400
#2001-03-01#,31.8,32.28,30.74,31.25,1744500
#2001-03-02#,31.25,33.65,30.5,33.6,1398800
#2001-03-05#,33.35,33.4,32.59,32.59,744200
#2001-03-06#,33.3,33.85,33.28,33.8,520900
#2001-03-07#,33.85,34.76,33.6,34.5,459500
#2001-03-08#,34.45,34.45,33.6,33.97,624100
#2001-03-09#,34.1,34.1,32.67,33.06,847800
#2001-03-12#,33.05,33.05,31.21,31.22,980600
#2001-03-13#,31,31.1,30.55,30.88,907300
#2001-03-14#,29.25,29.99,29.02,29.56,1289100
#2001-03-15#,30,30.47,29.72,29.76,802100
#2001-03-16#,29.65,29.65,28.2,28.69,1398400
#2001-03-19#,28.5,28.69,28.2,28.5,1329800
#2001-03-20#,28.98,31.25,28.55,28.69,1425600
#2001-03-21#,28.7,28.84,27.36,27.38,1156600
#2001-03-22#,27.48,27.48,26,26.7,1407600
#2001-03-23#,27,27.8,27,27.64,1027000
#2001-03-26#,27.64,27.99,27.37,27.76,800500
#2001-03-27#,27.75,27.98,27.31,27.93,955600
#2001-03-28#,27.25,27.75,26.73,27.04,995600
#2001-03-29#,27.02,27.95,26.3,27.21,1049100
#2001-03-30#,27.2,27.6,27,27.25,979500
#2001-04-02#,27.25,27.28,26.52,26.63,888300
#2001-04-03#,26.63,26.63,25.12,25.26,824300
#2001-04-04#,25.95,26.14,25.41,25.71,897900
#2001-04-05#,25.99,27.45,25.95,27.02,962100
#2001-04-06#,26.25,26.44,25.15,25.69,707400
#2001-04-09#,26.1,26.72,25.7,26.09,640900
#2001-04-10#,26.34,28.18,26.3,28.15,932300
#2001-04-11#,28.15,29.1,26.38,27.19,679400
#2001-04-12#,27.19,27.19,25.94,27,913300
#2001-04-13#,27.19,27.19,25.94,27,913300
#2001-04-16#,27.15,27.35,26.25,26.3,554700
#2001-04-17#,26.25,27.06,25.95,26.89,611800
#2001-04-18#,28.25,29.81,28.01,29.65,1925600
#2001-04-19#,28.6,29.95,28.6,29.3,1259600
#2001-04-20#,29.5,30,29.23,29.5,1456300
#2001-04-23#,29.65,30.18,29.3,29.75,701200
#2001-04-24#,29.45,29.47,28,28.54,1238900
#2001-04-25#,28.75,29.1,28.7,29,741500
#2001-04-26#,29.25,29.45,29,29,1528400
#2001-04-27#,29.5,30.5,29.22,30.5,1647800
#2001-04-30#,31.1,32.73,30.93,32.42,1787000
#2001-05-01#,32.42,33.1,32.06,33.08,1151400
#2001-05-02#,33.08,34.05,33.04,33.97,1328900
#2001-05-03#,33.97,33.97,33.21,33.46,888900
#2001-05-04#,32.5,34,32.04,34,889200
#2001-05-07#,33.6,33.74,32.78,33.2,559300
#2001-05-08#,33.2,33.34,32.05,32.24,678700
#2001-05-09#,32.23,32.23,31.55,31.89,891000
#2001-05-10#,31.89,33.3,31.89,32.82,1153900
#2001-05-11#,32.82,32.82,32,32.3,824500
#2001-05-14#,33.8,34.2,33.26,34.15,1680500
#2001-05-15#,34.24,34.5,33.51,33.69,1006800
#2001-05-16#,33.7,34.38,32.91,34.08,1879400
#2001-05-17#,34.25,37.06,34.25,36.99,1656600
#2001-05-18#,36.77,36.77,35.33,35.67,1226200
#2001-05-21#,35.67,37.2,35.55,36.85,1040000
#2001-05-22#,37.2,37.4,36.7,37.25,580800
#2001-05-23#,37.05,37.05,35.51,36.17,1146800
#2001-05-24#,36.42,36.7,35.92,36.65,661000
#2001-05-25#,36.24,37,35.93,35.97,619600
#2001-05-28#,36.24,37,35.93,35.97,619600
#2001-05-29#,35.9,36,35.15,35.2,803700
#2001-05-30#,35.01,35.63,34,34.01,1205100
#2001-05-31#,34.25,35,34.25,34.58,1126200
#2001-06-01#,34.7,35.99,34.58,35.68,906800
#2001-06-04#,35.43,35.68,34.91,35.4,594200
#2001-06-05#,35.3,37.2,35.25,36.73,826600
#2001-06-06#,36.72,36.72,36.01,36.14,475500
#2001-06-07#,35.74,36.79,35.55,36.79,697800
#2001-06-08#,36.54,36.55,35.87,36.36,407200
#2001-06-11#,36.28,36.28,34.35,34.9,1402500
#2001-06-12#,34.4,35.5,33.62,35.31,1061700
#2001-06-13#,34.94,34.94,33.2,33.24,1197700
#2001-06-14#,33.23,33.28,32.6,32.97,917000
#2001-06-15#,32.8,32.8,32.3,32.44,805300
#2001-06-18#,32.4,33.93,32.32,33.53,868400
#2001-06-19#,33.85,33.98,33,33.01,790100
#2001-06-20#,32.59,34.4,32.59,34.3,1226200
#2001-06-21#,34.05,35.2,33.85,35.2,1381800
#2001-06-22#,35.2,35.24,34.74,35.24,1073100
#2001-06-25#,35.08,35.54,34.9,35.54,1116100
#2001-06-26#,35.5,35.51,34.73,35.34,637300
#2001-06-27#,35.37,35.98,34.9,35.18,841700
#2001-06-28#,35.43,36.9,35.43,36.5,956200
#2001-06-29#,36.5,36.79,35.87,36.22,931900
#2001-07-02#,36.55,37.35,36.07,37.1,1193500
#2001-07-03#,36.95,36.95,36.19,36.73,381400
#2001-07-04#,36.95,36.95,36.19,36.73,381400
#2001-07-05#,35.94,36.19,35.31,35.34,1341100
#2001-07-06#,35.34,35.4,34.8,34.84,1096000
#2001-07-09#,34.86,35.4,34.75,35.2,1139500
#2001-07-10#,35.2,35.28,34.69,34.73,1048100
#2001-07-11#,33.9,35.21,33.7,35.11,2764200
#2001-07-12#,35.81,36.7,35.45,36.53,853300
#2001-07-13#,35.94,36.9,35.75,36.85,719400
#2001-07-16#,36.6,38.25,36.6,37.59,1581800
#2001-07-17#,37.55,37.6,36.92,37,787300
#2001-07-18#,36.69,37.72,36.6,37.3,467200
#2001-07-19#,37.5,38.2,37.1,37.5,707100
#2001-07-20#,37.5,37.77,37.05,37.28,475400
#2001-07-23#,37.3,37.75,36.8,37.14,437800
#2001-07-24#,37.05,37.06,35.7,35.87,810400
#2001-07-25#,36.39,36.75,35.6,36.69,579600
#2001-07-26#,36.43,37.19,36.43,37.19,883600
#2001-07-27#,37.19,37.5,36.05,36.29,608400
