"Date","Open","High","Low","Close","Volume"
#2005-01-03#,44.68,44.9,44.16,44.36,1328000
#2005-01-04#,44.38,44.71,43.94,44.2,1263100
#2005-01-05#,44.2,44.94,44.2,44.47,1546800
#2005-01-06#,44.3,44.62,44.15,44.53,1039000
#2005-01-07#,44.75,44.77,44.14,44.21,993800
#2005-01-10#,44.07,44.19,44,44.12,1152400
#2005-01-11#,44.09,44.23,43.82,44.16,857500
#2005-01-12#,44.1,44.25,43.9,44.05,987800
#2005-01-13#,43.85,44.15,43.8,43.86,784100
#2005-01-14#,43.75,44.39,43.74,44.3,786700
#2005-01-17#,43.75,44.39,43.74,44.3,786700
#2005-01-18#,44.08,44.98,43.99,44.98,1027300
#2005-01-19#,44.98,44.99,44.52,44.65,764100
#2005-01-20#,44.65,44.71,44.12,44.32,1161500
#2005-01-21#,44.3,44.47,44.12,44.3,561700
#2005-01-24#,44.31,44.55,44.23,44.32,656900
#2005-01-25#,44.47,44.62,44.16,44.46,658500
#2005-01-26#,44.66,44.66,44.1,44.29,1455900
#2005-01-27#,44.39,44.97,44.25,44.95,985400
#2005-01-28#,44.77,45.29,44.77,45.29,1443400
#2005-01-31#,44.94,45.59,44.37,44.64,1931400
#2005-02-01#,44.3,44.95,44,44.95,1153100
#2005-02-02#,44.8,44.92,44.43,44.7,1431100
#2005-02-03#,44.5,44.65,44.04,44.28,1353400
#2005-02-04#,44.51,44.59,44.3,44.45,1900100
#2005-02-07#,44.34,44.83,44.34,44.63,982200
#2005-02-08#,44.35,44.45,44.11,44.3,1142300
#2005-02-09#,44.49,44.49,44.21,44.37,1114100
#2005-02-10#,44.37,44.61,44.21,44.59,1675400
#2005-02-11#,44.7,45.33,44.58,44.9,1928600
#2005-02-14#,45,45.15,44.81,44.95,995500
#2005-02-15#,44.8,45.13,44.75,44.95,889700
#2005-02-16#,44.9,44.91,44.46,44.84,982600
#2005-02-17#,44.7,44.83,44.12,44.29,1370000
#2005-02-18#,44.15,44.22,43.86,44.01,1096300
#2005-02-21#,44.15,44.22,43.86,44.01,1096300
#2005-02-22#,43.35,43.87,43.2,43.67,1222700
#2005-02-23#,43.3,44.02,43.16,43.84,1492500
#2005-02-24#,43.94,44.15,43.66,44,1095500
#2005-02-25#,43.75,44.38,43.59,44.3,1271800
#2005-02-28#,44.03,44.39,43.8,44,1356400
#2005-03-01#,43.79,44.5,43.76,44.39,1306700
#2005-03-02#,44.39,44.61,44.05,44.24,737100
#2005-03-03#,44.29,44.58,44.2,44.34,602200
#2005-03-04#,44.5,44.77,44.4,44.58,818500
#2005-03-07#,44.54,44.58,43.99,44.13,1085200
#2005-03-08#,44.04,44.08,43.87,43.87,1179400
#2005-03-09#,43.88,43.93,43.56,43.71,1273400
#2005-03-10#,43.92,44.18,43.73,43.73,808700
#2005-03-11#,43.8,43.9,43.22,43.35,989400
#2005-03-14#,43.35,43.56,43.04,43.51,2119800
#2005-03-15#,43.6,43.69,43.32,43.33,902000
#2005-03-16#,43.27,43.4,42.95,43.06,847100
#2005-03-17#,43.01,43.01,42.41,42.41,1891500
#2005-03-18#,42.61,43.61,42.6,42.81,6814600
#2005-03-21#,42.83,43.27,42.75,43.05,1770400
#2005-03-22#,42.8,43.5,42.73,42.76,1584700
#2005-03-23#,42.65,42.98,42.51,42.88,1798000
#2005-03-24#,43.1,43.15,42.59,42.82,1052800
#2005-03-25#,43.1,43.15,42.59,42.82,1052800
#2005-03-28#,43,43.4,42.81,42.83,1456400
#2005-03-29#,42.78,43.25,42.73,42.84,1067900
#2005-03-30#,43.09,43.34,43.01,43.2,1170400
#2005-03-31#,43.3,43.37,43.14,43.27,912300
#2005-04-01#,43.24,43.41,42.51,42.69,1127500
#2005-04-04#,42.75,43.25,42.4398,43.07,1204500
#2005-04-05#,43.19,43.62,43.19,43.44,1219300
#2005-04-06#,43.44,43.6,43.34,43.4,612500
#2005-04-07#,43.47,43.68,43.32,43.52,793900
#2005-04-08#,43.51,43.65,43.3,43.3,567900
#2005-04-11#,43.22,43.57,43.09,43.14,665300
#2005-04-12#,43.14,43.67,42.87,43.43,827100
#2005-04-13#,43.33,43.64,43.06,43.1,741800
#2005-04-14#,43.1,43.5,43.1,43.46,1112400
