"Date","Open","High","Low","Close","Volume"
#2010-03-01#,41.78,42.61,41.49,42.37,5729553
#2010-03-02#,42.93,43.29,42.5,42.91,5721310
#2010-03-03#,43.23,43.98,43.1305,43.16,4400793
#2010-03-04#,43.16,43.68,42.91,43.51,4517129
#2010-03-05#,44.06,44.72,43.95,44.56,4964082
#2010-03-08#,44.94,45.26,44.2857,44.84,5329141
#2010-03-09#,44.51,45.32,44.31,44.93,4952349
#2010-03-10#,44.99,45.49,44.552,45.03,4868762
#2010-03-11#,44.4,45.03,44.17,45.01,4524184
#2010-03-12#,45.22,45.46,44.76,45.28,6052328
#2010-03-15#,44.99,45.2,44.63,45.12,5031334
#2010-03-16#,45.79,46.2,45.05,46.07,6992436
#2010-03-17#,45.87,46.22,44.87,45.11,7721408
#2010-03-18#,45.14,45.49,44.32,44.74,4504091
#2010-03-19#,44.83,45.01,43.97,44.39,6494439
#2010-03-22#,43.74,44.71,43.54,44.66,3256969
#2010-03-23#,44.82,46.39,44.71,46.33,5863817
#2010-03-24#,46.05,46.11,45.63,45.82,4313606
#2010-03-25#,46.43,46.43,44.76,44.88,5180634
#2010-03-26#,45.21,46,45.09,45.67,4033972
#2010-03-29#,45.99,46.38,45.7,46.04,3411635
#2010-03-30#,46.46,46.46,45.19,45.56,2833358
#2010-03-31#,45.42,45.83,45.24,45.38,3034596
#2010-04-01#,45.98,46.22,45.572,45.95,2970927
#2010-04-02#,45.98,46.22,45.572,45.95,2970927
#2010-04-05#,46.44,47.85,46.08,47.53,5907463
#2010-04-06#,47.48,48.05,47.12,47.64,4088955
#2010-04-07#,47.44,48.06,47.24,47.61,6488668
#2010-04-08#,47.25,47.59,46.96,47.49,4715687
#2010-04-09#,47.71,47.81,46.96,47.4,4397683
#2010-04-12#,47.45,47.73,46.96,47.15,3262065
#2010-04-13#,47.15,47.44,46.4175,47,4527697
#2010-04-14#,47.6,47.77,47.17,47.67,5042264
#2010-04-15#,47.6,47.6,46.53,46.65,6027660
#2010-04-16#,46.31,46.61,45.15,45.64,6422700
#2010-04-19#,45.29,45.6,44.76,45.53,5727486
#2010-04-20#,45.97,46.25,44.73,45.26,6513842
#2010-04-21#,45.34,45.56,44.55,45.11,5333491
#2010-04-22#,44.89,45.44,43.67,45.27,6567310
#2010-04-23#,45.71,46.24,45.01,46.06,5577150
#2010-04-26#,46.4,46.8,45.7,45.76,4308241
#2010-04-27#,45.68,46.02,44.49,44.62,7393060
#2010-04-28#,45.13,45.13,44.3,45.01,4821187
#2010-04-29#,45.39,45.93,45.11,45.66,4460130
#2010-04-30#,45.86,46.17,45.28,45.32,6380634
#2010-05-03#,45.81,46.155,44.88,45.93,4699255
#2010-05-04#,45.25,45.6,44.664,45.16,5437529
#2010-05-05#,44.09,47.01,44.09,45.77,7855464
#2010-05-06#,45.39,46.69,42.64,44.7,7931293
#2010-05-07#,44.48,45.77,43.04,44.9,8373097
#2010-05-10#,46.58,46.77,45.9,46.57,5379525
#2010-05-11#,45.92,46.74,45.63,45.99,3924067
#2010-05-12#,46.35,46.87,45.95,46.77,3947835
#2010-05-13#,46.97,47.48,46.19,46.33,4871902
#2010-05-14#,45.84,46.08,44.98,45.89,5772097
#2010-05-17#,45.96,46.04,44.56,45.53,6164146
#2010-05-18#,46.04,46.45,44.37,44.51,6270626
#2010-05-19#,44.08,45.13,43.75,44.56,6451294
#2010-05-20#,43.32,43.9,42.27,42.71,7988969
#2010-05-21#,41.83,43.44,41.72,42.95,9555514
#2010-05-24#,42.75,43.47,42.25,42.25,4467386
#2010-05-25#,40.81,42.99,40.56,42.9,7796557
#2010-05-26#,43.22,44,42.32,42.45,6652439
#2010-05-27#,43.8,43.89,42.98,43.85,5412395
#2010-05-28#,43.56,43.72,42.62,43.05,3816200
#2010-05-31#,43.56,43.72,42.62,43.05,3816200
#2010-06-01#,42.56,42.99,41.43,41.43,4091489
#2010-06-02#,41.62,42.83,41.59,42.76,4452757
#2010-06-03#,43.11,43.2,41.82,42.54,3942015
#2010-06-04#,41.69,42.09,40.6709,40.93,5627846
#2010-06-07#,41.06,41.22,40.12,40.12,4535447
#2010-06-08#,40.17,41.05,39.83,40.95,6361867
#2010-06-09#,41.28,41.94,40.87,41.09,6434430
#2010-06-10#,41.9,42.49,41.69,42.43,4645445
#2010-06-11#,42,42.78,42,42.63,3535552
#2010-06-14#,43.04,43.28,42.34,42.43,3767542
#2010-06-15#,42.34,42.73,41.28,42.65,6498675
#2010-06-16#,42.17,42.37,41.91,42.17,4097455
#2010-06-17#,42.26,42.26,41.01,41.69,5274728
#2010-06-18#,41.76,41.98,41.23,41.49,5197108
#2010-06-21#,42.3,42.93,41.48,41.77,5656294
#2010-06-22#,41.75,42.06,40.99,41.08,4751245
#2010-06-23#,41.08,41.959,40.84,41.72,4594763
#2010-06-24#,41.34,41.58,40.46,40.54,4973547
#2010-06-25#,40.66,41.32,40.04,41.16,5737704
#2010-06-28#,41.02,41.02,40.1,40.14,4063466
#2010-06-29#,39.5,39.61,38.28,38.48,7586998
#2010-06-30#,38.43,39.22,38.18,38.28,4621627
#2010-07-01#,38.33,38.91,37.35,37.76,6919666
#2010-07-02#,38.01,38.07,37.31,37.32,3749061
#2010-07-05#,38.01,38.07,37.31,37.32,3749061
#2010-07-06#,37.9,38.32,36.95,37.37,4605956
#2010-07-07#,37.28,39.08,37.13,39.07,5376954
#2010-07-08#,39.44,39.45,38.42,39.11,4634831
#2010-07-09#,39.09,39.92,39.01,39.61,2693344
#2010-07-12#,39.55,39.55,38.41,38.67,3632977
#2010-07-13#,39.23,39.46,38.91,39.21,2781756
#2010-07-14#,39.42,39.64,38.63,39.4,3892435
#2010-07-15#,39.53,39.53,38.6,39.27,3305133
#2010-07-16#,38.97,38.97,38.01,38.09,3872066
#2010-07-19#,38.36,38.7,38.09,38.45,2578316
#2010-07-20#,38,39.91,37.96,39.82,4047581
#2010-07-21#,40.13,40.4,38.79,39.11,4570249
#2010-07-22#,39.99,40.66,39.3,39.67,4421291
#2010-07-23#,40,40,38.86,39.84,5862117
#2010-07-26#,39.77,40.18,39.51,40.11,3228062
#2010-07-27#,40.53,40.59,39.14,39.8,3945489
#2010-07-28#,39.53,40,39.39,39.55,2795009
#2010-07-29#,39.81,40.05,38.82,39.16,2861120
#2010-07-30#,38.72,39.29,38.63,39.14,2608521
#2010-08-02#,39.72,40.4,39.56,40.27,2314858
#2010-08-03#,40.15,40.49,39.65,39.86,3184285
#2010-08-04#,40.08,40.34,39.72,40.3,2313240
#2010-08-05#,40.09,40.11,39.56,39.98,2415719
#2010-08-06#,39.61,40.35,39.42,39.99,3078858
#2010-08-09#,40.07,40.15,39.68,40.02,1551255
#2010-08-10#,39.54,40,39,39.7,2791515
#2010-08-11#,39.06,39.2,38.35,38.36,3107330
#2010-08-12#,37.98,38.77,37.82,38.56,2866897
#2010-08-13#,38.31,38.45,38.01,38.09,1994968
#2010-08-16#,38.02,38.58,37.83,38.42,1881048
#2010-08-17#,38.67,39.6785,38.67,39.32,2843388
#2010-08-18#,39.27,39.64,38.95,39.34,2481774
#2010-08-19#,39.27,39.67,38.36,38.54,2837647
#2010-08-20#,38.29,38.43,38,38.37,2536310
#2010-08-23#,38.52,38.58,37.75,37.76,2848087
#2010-08-24#,37.37,37.46,36.6,36.68,4954753
#2010-08-25#,36.4,36.82,35.71,36.68,8354229
#2010-08-26#,36.97,37.14,36.33,36.38,2999922
#2010-08-27#,36.64,37.27,36.37,37.25,3039525
#2010-08-30#,36.99,37.49,36.66,36.66,2607195
#2010-08-31#,36.49,37.23,36.41,36.78,3036345
#2010-09-01#,37.32,38.06,37.2,37.96,3012821
#2010-09-02#,37.98,38.44,37.65,38.44,1935583
#2010-09-03#,38.9,38.9488,38.31,38.68,2968380
#2010-09-06#,38.9,38.9488,38.31,38.68,2968380
#2010-09-07#,38.51,39.73,38.41,39.38,4107151
#2010-09-08#,39.44,40.45,39.36,40.03,3571916
#2010-09-09#,40.9,40.9,39.62,39.83,3024204
#2010-09-10#,39.93,40.35,39.62,40.09,1732408
#2010-09-13#,40.46,40.89,40.46,40.66,2188057
#2010-09-14#,39.3,40.05,38.05,39.41,6729203
#2010-09-15#,39.14,39.41,39.02,39.27,3623625
#2010-09-16#,39.01,39.53,38.89,38.95,3474045
#2010-09-17#,39,39.1319,38.55,38.74,3207477
#2010-09-20#,38.36,38.82,38.09,38.76,3531114
#2010-09-21#,38.59,38.62,37.81,38.07,8793982
#2010-09-22#,38.03,38.69,37.72,37.84,4324033
#2010-09-23#,37.45,37.64,36.92,37,4822832
#2010-09-24#,37.49,37.78,37.225,37.64,3143347
#2010-09-27#,37.64,37.73,37.32,37.55,3056618
#2010-09-28#,37.4,38.08,36.97,38.02,4321694
#2010-09-29#,37.75,38.53,37.6505,38.39,3752216
#2010-09-30#,38.57,38.8,38.03,38.2,3418556
#2010-10-01#,38.61,38.87,38.31,38.87,3528674
#2010-10-04#,38.64,38.79,38.25,38.55,3765789
#2010-10-05#,38.95,39.59,38.78,39.53,3698904
#2010-10-06#,39.55,40.32,39.496,39.83,3887842
#2010-10-07#,40,40.01,38.64,38.99,3898599
#2010-10-08#,38.92,40.05,38.92,39.92,3571759
#2010-10-11#,40.03,40.43,39.83,40.08,2241169
#2010-10-12#,39.89,40.179,39.53,39.88,3224669
#2010-10-13#,40.37,40.37,39.87,40.15,3586837
#2010-10-14#,40.15,40.25,39.265,39.64,3790254
#2010-10-15#,39.89,40,38.87,39.25,8581324
#2010-10-18#,39.02,39.57,38.806,39.51,2319069
#2010-10-19#,38.8,39.5,38.35,38.52,3867320
#2010-10-20#,38.67,39.49,38.67,39.38,3214608
#2010-10-21#,39.19,39.3,37.36,37.89,8120062
#2010-10-22#,38.15,38.25,37.7,37.88,3428960
#2010-10-25#,38.25,38.5,37.89,38.26,3554294
#2010-10-26#,37.64,38.07,37.38,37.88,2870200
#2010-10-27#,37.5,37.68,37.02,37.57,3293768
#2010-10-28#,37.8,38.1,37.66,37.96,2816201
#2010-10-29#,37.93,38.36,37.7,38.22,2298901
#2010-11-01#,38.39,38.82,37.96,38.2,2945941
#2010-11-02#,38.5,39.18,38.5,38.74,2788145
#2010-11-03#,38.97,38.97,37.9,38.54,3553626
#2010-11-04#,39.12,39.47,38.9,39.4,5102793
#2010-11-05#,39.36,40.81,39.36,40.4,4967261
#2010-11-08#,40.19,40.35,39.98,40.28,2620628
#2010-11-09#,40.42,40.94,39.8,39.92,3813730
#2010-11-10#,39.96,40.56,39.615,40.5,2957657
#2010-11-11#,40.22,40.71,40.06,40.64,2262190
#2010-11-12#,40.17,40.74,39.85,40.06,3787541
#2010-11-15#,40.28,40.35,39.35,39.36,2968919
#2010-11-16#,39.05,39.09,37.89,37.97,6090409
#2010-11-17#,37.93,38.55,37.62,37.64,4950920
#2010-11-18#,38.14,38.47,37.705,37.82,4029712
#2010-11-19#,37.85,38.24,37.51,37.96,4084006
#2010-11-22#,37.81,38.32,37.6,38.26,3028700
#2010-11-23#,37.82,37.82,37.25,37.5,3066334
#2010-11-24#,37.64,38.02,37.45,37.96,3622612
#2010-11-25#,37.64,38.02,37.45,37.96,3622612
#2010-11-26#,37.65,37.68,37.38,37.54,1233111
#2010-11-29#,37.38,37.66,37,37.62,3311791
#2010-11-30#,37.22,38.39,37.2,37.74,4304020
#2010-12-01#,38.49,39.25,38.41,39.22,4124317
#2010-12-02#,39.18,40.32,39.18,40.26,4649893
#2010-12-03#,40.18,40.28,39.62,39.91,4228772
#2010-12-06#,39.89,39.99,39.53,39.74,7126160
#2010-12-07#,40.48,41.44,40.48,41.33,7839883
#2010-12-08#,41.46,41.98,40.815,41.2,5492191
#2010-12-09#,41.37,41.65,40.88,41.44,3797054
#2010-12-10#,41.48,41.93,41.07,41.88,3031282
#2010-12-13#,42.24,42.96,42.04,42.71,6527930
#2010-12-14#,42.73,43.28,42.65,43.19,7021265
#2010-12-15#,42.97,43.6,42.83,43.36,5173153
#2010-12-16#,42.61,44.47,42.4,44.35,10682741
#2010-12-17#,44.4,44.74,43.84,44.58,6991223
#2010-12-20#,44.71,44.8,44.16,44.29,4085334
#2010-12-21#,44.42,44.87,44,44.57,3882657
#2010-12-22#,44.6,44.69,44.24,44.5,3369621
#2010-12-23#,44.35,44.84,44.35,44.57,2436109
#2010-12-24#,44.35,44.84,44.35,44.57,2436109
#2010-12-27#,44.47,44.68,44.13,44.43,1731102
#2010-12-28#,44.5,44.73,44.36,44.56,2169667
#2010-12-29#,44.37,44.58,44.2,44.25,2316454
#2010-12-30#,44.18,44.7,44.18,44.46,1805276
#2010-12-31#,44.31,44.48,43.68,43.82,2436345
