"Date","Open","High","Low","Close","Volume"
#2017-06-14#,46.76,47.22,46.67,47.19,2708441
#2017-06-15#,47.05,47.48,46.43,47.32,3084948
#2017-06-16#,47.28,47.67,46.26,47.53,4911605
#2017-06-19#,47.56,47.92,47.48,47.86,2109475
#2017-06-20#,47.63,47.84,46.9,46.94,3049815
#2017-06-21#,47,47.08,46.57,46.77,2635847
#2017-06-22#,46.75,46.87,46.385,46.68,2281478
#2017-06-23#,46.69,46.735,46.2,46.55,23736352
#2017-06-26#,46.59,46.89,46.315,46.4,3712371
#2017-06-27#,46.68,46.755,45.28,45.37,4858429
#2017-06-28#,45.69,45.79,44.99,45.05,4646548
#2017-06-29#,45.03,45.07,44.15,44.19,2792710
#2017-06-30#,44.27,44.32,44.03,44.04,2459979
#2017-07-03#,44.21,44.61,44.06,44.17,2064755
#2017-07-04#,44.21,44.61,44.06,44.17,2064755
#2017-07-05#,44.2,44.58,44.02,44.34,1805603
#2017-07-06#,44.05,44.255,43.84,43.93,1896321
#2017-07-07#,44,44.35,43.985,44.27,1423987
#2017-07-10#,44.26,44.26,43.71,43.72,1525528
#2017-07-11#,43.66,43.93,43.34,43.79,1636929
#2017-07-12#,43.95,44.51,43.79,44.48,1765771
#2017-07-13#,44.4,44.7904,44.1396,44.5,1495033
#2017-07-14#,44.43,44.995,44.3536,44.76,1423382
#2017-07-17#,44.71,45.48,44.63,45.26,1826724
#2017-07-18#,45.19,45.47,44.87,45.39,1457822
#2017-07-19#,45.35,45.47,45.25,45.39,1353506
#2017-07-20#,45.37,45.56,45.23,45.29,1264369
#2017-07-21#,45.23,45.875,45.23,45.65,1822297
#2017-07-24#,45.67,45.85,45.47,45.7,2162781
#2017-07-25#,45.95,46,45.56,45.58,1571880
#2017-07-26#,45.64,46.075,45.56,45.93,1538627
#2017-07-27#,45.94,46.17,45.64,46.07,1281318
#2017-07-28#,46.03,46.57,45.7368,46.53,2198638
#2017-07-31#,46.52,46.74,46.14,46.65,1564399
#2017-08-01#,46.75,47.23,46.7,47.18,3440323
#2017-08-02#,47.02,47.11,46.77,46.99,1526989
#2017-08-03#,46.91,47.0499,46.49,46.66,1999617
#2017-08-04#,46.73,46.73,46.2,46.39,1382509
#2017-08-07#,46.32,46.47,45.905,45.98,2045453
#2017-08-08#,45.96,46.02,45.31,45.34,2110779
#2017-08-09#,45.25,45.37,44.98,45.36,2228232
#2017-08-10#,45.28,45.46,45.065,45.16,1259284
#2017-08-11#,45.31,45.83,45.1,45.65,1550442
#2017-08-14#,45.87,46.21,45.7796,45.98,1497847
#2017-08-15#,45.92,46.48,45.92,46.39,1456510
#2017-08-16#,46.51,47.06,46.32,46.99,1860900
#2017-08-17#,46.79,47.095,46.17,46.22,3012842
#2017-08-18#,46.15,46.2,45.61,45.75,5187763
#2017-08-21#,45.7,46.01,45.61,45.87,1617991
#2017-08-22#,46.01,46.74,45.89,46.4,1487969
#2017-08-23#,46.3,46.42,46.01,46.39,1390059
#2017-08-24#,46.41,46.76,46.29,46.56,1330281
#2017-08-25#,46.82,46.9,46.47,46.52,1360234
#2017-08-28#,46.56,46.685,46.345,46.62,1525770
#2017-08-29#,46.53,46.76,46.38,46.4,1293117
#2017-08-30#,46.52,46.62,46.34,46.52,1691997
#2017-08-31#,46.62,47.23,46.62,46.84,3253406
#2017-09-01#,47,47,46.39,46.77,2096631
#2017-09-04#,47,47,46.39,46.77,2096631
#2017-09-05#,46.56,47.42,46.55,47.25,4419249
#2017-09-06#,47.11,47.415,46.85,47.35,2013317
#2017-09-07#,47.43,47.62,47.15,47.24,2327604
#2017-09-08#,47.29,47.73,46.98,47.53,1692877
#2017-09-11#,47.71,48.15,47.64,47.95,3084996
#2017-09-12#,47.94,48.49,47.76,48.3,2266732
#2017-09-13#,48.18,48.33,47.28,47.34,2445128
#2017-09-14#,47.34,47.375,46.85,47.15,2783442
#2017-09-15#,47.15,47.54,46.97,47.4,8871107
#2017-09-18#,47.35,47.82,47.33,47.53,3113309
#2017-09-19#,47.78,47.81,47.41,47.45,1890291
#2017-09-20#,47.755,48,47.456,47.92,1799644
#2017-09-21#,47.85,48.24,47.78,48.17,1717234
#2017-09-22#,48,48.53,47.8197,48.43,1890618
#2017-09-25#,48.47,48.5,47.98,48.29,2327899
#2017-09-26#,46,46.6281,44.09,44.12,7780735
#2017-09-27#,44.03,44.73,43.85,43.96,6998939
#2017-09-28#,44.07,44.3,43.85,44.13,3163064
#2017-09-29#,44.16,44.38,43.96,44.08,3864672
#2017-10-02#,44.1,44.495,43.92,44.08,3749969
#2017-10-03#,44.05,44.145,43.7,44.01,3054864
#2017-10-04#,44.06,44.49,43.95,44.33,2319784
#2017-10-05#,44.36,44.78,44.08,44.09,1904712
#2017-10-06#,44.08,44.16,43.89,43.98,2454202
#2017-10-09#,43.92,44.31,43.76,44.2,2085555
#2017-10-10#,44.45,44.51,44.21,44.24,1008691
#2017-10-11#,44.12,44.26,43.68,43.97,2385228
#2017-10-12#,43.8,44.32,43.8,44,1526025
#2017-10-13#,44.15,44.24,43.85,43.9,990317
#2017-10-16#,43.98,44.05,43.79,43.81,1560218
#2017-10-17#,43.81,44.06,43.7,43.76,1591164
#2017-10-18#,43.58,43.79,43.5,43.63,1575952
#2017-10-19#,43.56,43.74,43.3325,43.52,1486038
#2017-10-20#,43.67,44.19,43.425,44.03,2629108
#2017-10-23#,44,44.19,43.8,43.96,1186754
#2017-10-24#,44.06,44.1,43.5,43.54,1142058
#2017-10-25#,43.53,43.55,42.93,42.95,1556096
#2017-10-26#,42.9,43.44,42.651,42.99,3132302
#2017-10-27#,42.89,43.38,42.8,43.32,4119165
#2017-10-30#,43.21,43.21,42.42,42.45,2246075
#2017-10-31#,42.59,42.79,42.4,42.61,2670873
#2017-11-01#,42.81,43.13,42.52,42.7,1966405
#2017-11-02#,42.63,43.09,42.57,42.93,1841551
#2017-11-03#,43,43.51,42.66,43.49,1720741
#2017-11-06#,43.38,43.875,43.3,43.61,1150540
#2017-11-07#,43.53,43.83,43.38,43.43,2128326
#2017-11-08#,43.7,44.44,43.345,43.93,2106676
#2017-11-09#,43.74,43.79,43.19,43.2,1258031
#2017-11-10#,43.14,43.16,42.79,42.93,1643192
#2017-11-13#,42.9,43.14,42.84,42.99,2300208
#2017-11-14#,43.03,44.23,43.03,43.89,4098990
#2017-11-15#,43.24,43.83,42.755,43.53,2253209
#2017-11-16#,43.23,43.9,43.23,43.46,1517876
#2017-11-17#,43.34,43.78,43.31,43.62,5397196
#2017-11-20#,43.59,43.97,42.55,43.85,1616239
#2017-11-21#,44,44,43.19,43.23,1653276
#2017-11-22#,43.21,43.85,43.18,43.43,1470878
#2017-11-23#,43.21,43.85,43.18,43.43,1470878
#2017-11-24#,43.46,43.8,43.34,43.77,590447
#2017-11-27#,43.67,43.92,43.33,43.87,2032589
#2017-11-28#,44.1,44.78,43.89,44.62,2414484
#2017-11-29#,44.65,44.82,44.15,44.16,1424932
#2017-11-30#,44.31,44.87,44.21,44.62,2137014
#2017-12-01#,44.81,45.34,44.45,44.71,2235543
#2017-12-04#,44.88,45.27,44.44,44.44,2206804
#2017-12-05#,44.63,44.96,44.39,44.67,1390145
#2017-12-06#,44.71,45.6,44.66,45.34,1637243
#2017-12-07#,45.32,45.71,45.26,45.56,1656477
#2017-12-08#,45.72,45.83,45.48,45.59,1385302
#2017-12-11#,45.47,45.63,45.09,45.13,1071228
#2017-12-12#,45.13,45.45,45.04,45.2,1313788
#2017-12-13#,45.34,45.53,44.93,44.99,1770713
#2017-12-14#,45.01,45.26,44.8,44.88,1512473
#2017-12-15#,45.05,45.62,44.53,45.53,2728545
#2017-12-18#,45.65,46.1,44.53,45.53,1752319
#2017-12-19#,45.47,45.47,44.89,45.07,1366507
#2017-12-20#,45.18,45.65,45.16,45.43,1277389
#2017-12-21#,45.63,45.63,45,45.04,1151278
#2017-12-22#,45.13,45.14,44.67,45.05,1754196
#2017-12-25#,45.13,45.14,44.67,45.05,1754196
#2017-12-26#,45.18,45.32,44.93,45,666559
#2017-12-27#,45,45.22,44.93,45.17,1367156
#2017-12-28#,45.17,45.31,44.9,45.29,876355
#2017-12-29#,45.36,45.5,45.11,45.15,1112237
#2018-01-01#,45.36,45.5,45.11,45.15,1112237
