"Date","Open","High","Low","Close","Volume"
#2010-01-01#,48,48.33,47.62,47.69,1578709
#2010-01-04#,48.03,48.03,47.45,47.5,7182734
#2010-01-05#,47.61,47.75,47.25,47.66,3221851
#2010-01-06#,47.78,48.435,47.62,48.11,3064954
#2010-01-07#,48.12,48.2,47.76,48.11,2638247
#2010-01-08#,48.12,48.92,47.88,48.92,3162180
#2010-01-11#,49.37,49.67,49,49.5,2844476
#2010-01-12#,49.38,49.38,48.44,48.68,3253592
#2010-01-13#,48.67,48.97,48.11,48.7,2890273
#2010-01-14#,48.78,48.89,48.27,48.42,1885792
#2010-01-15#,48.4,48.41,47.35,47.75,5187726
#2010-01-18#,48.4,48.41,47.35,47.75,5187726
#2010-01-19#,47.98,48.99,47.78,48.97,3991144
#2010-01-20#,48.91,49.35,48.2,48.77,3862785
#2010-01-21#,48.69,49.18,47.67,47.77,3014070
#2010-01-22#,47.7,47.94,47.03,47.04,3904250
#2010-01-25#,47.34,47.64,47.04,47.1,2463674
#2010-01-26#,46.91,46.91,46.23,46.49,3662591
#2010-01-27#,46.31,46.58,46.02,46.46,2210892
#2010-01-28#,46.7,47.13,46.22,46.3,2608185
#2010-01-29#,46.67,46.9,46.14,46.15,3009286
#2010-02-01#,46.11,46.96,46,46.92,4065841
#2010-02-02#,46.95,47.7,46.73,47.6,3995168
#2010-02-03#,49.5,49.69,48.16,48.41,6484551
#2010-02-04#,48.17,48.18,47.22,47.26,4231515
#2010-02-05#,47.15,47.27,46.03,47,3827027
#2010-02-08#,46.95,47.32,46.61,46.79,2665542
#2010-02-09#,47.08,47.95,47.03,47.68,3085694
#2010-02-10#,47.52,47.78,46.94,47.13,2423421
#2010-02-11#,46.96,47.48,46.71,47.31,2252159
#2010-02-12#,47.02,47.3,46.55,47.26,2118380
#2010-02-15#,47.02,47.3,46.55,47.26,2118380
#2010-02-16#,47.51,48.21,47.32,48.21,1675328
#2010-02-17#,48.21,48.86,48.17,48.71,2264923
#2010-02-18#,48.8,49.52,48.55,49.32,2822136
#2010-02-19#,49.13,49.49,48.91,49.22,2012099
#2010-02-22#,49.4,49.57,45.37,48.1,19133960
#2010-02-23#,47.78,49.94,47.76,49.67,14686005
#2010-02-24#,49.45,49.58,48.04,48.39,6836115
#2010-02-25#,48,49.33,47.56,49.28,9253474
#2010-02-26#,49.07,49.193,48.24,48.77,3933203
#2010-03-01#,48.85,49.25,48.27,48.65,6794409
#2010-03-02#,48.84,49.61,48.74,49.42,2516255
#2010-03-03#,49.42,49.47,48.89,49.14,2729051
#2010-03-04#,49.25,49.5,48.51,48.62,2122975
#2010-03-05#,48.71,49.72,48.63,49.49,2717769
#2010-03-08#,49.33,50.19,49.17,49.93,3576565
#2010-03-09#,49.84,50.68,49.67,50.23,4539847
#2010-03-10#,50.14,50.55,49.94,50.41,2009011
#2010-03-11#,50.4,50.85,50.14,50.84,2943402
#2010-03-12#,50.85,50.85,49.94,50.16,2942273
#2010-03-15#,50.11,50.25,49.48,49.94,3073773
#2010-03-16#,50.05,50.05,49.37,49.51,3209232
#2010-03-17#,49.46,50.13,49.46,49.97,3603999
#2010-03-18#,49.99,50.25,49.64,49.86,2150626
#2010-03-19#,50.14,50.19,49.56,49.88,3047896
#2010-03-22#,49.85,50.88,49.56,50.8,2178862
#2010-03-23#,50.82,50.97,50.15,50.85,3673932
#2010-03-24#,50.85,50.85,50.38,50.73,2422730
#2010-03-25#,50.94,51.33,50.35,50.4,3069689
#2010-03-26#,50.565,50.565,49.71,50.01,3334103
#2010-03-29#,50.18,50.51,49.91,50.51,2747913
#2010-03-30#,50.54,52.39,50.4,51.66,5520575
#2010-03-31#,51.44,51.58,51.19,51.44,3290548
#2010-04-01#,51.58,52.935,51.35,51.77,2263214
#2010-04-02#,51.58,52.935,51.35,51.77,2263214
#2010-04-05#,51.81,52.16,51.63,51.87,1344363
#2010-04-06#,51.61,51.85,51.43,51.7,1609260
#2010-04-07#,51.85,51.85,51.3,51.58,3202259
#2010-04-08#,51.42,51.46,50.87,51.43,2374884
#2010-04-09#,51.4,52.28,51.24,52.28,1707616
#2010-04-12#,52.38,52.4,51.87,52.14,1781823
#2010-04-13#,51.93,52.41,51.51,52.31,2304251
#2010-04-14#,52.18,53.7,51.66,53.68,4623955
#2010-04-15#,53.5,54.15,53.135,54.13,3538162
#2010-04-16#,53.98,53.98,52.66,53.26,4421924
#2010-04-19#,53.25,53.55,52.81,53.41,2104079
#2010-04-20#,53.82,54.94,53.81,54.2,6347045
#2010-04-21#,54.14,54.55,53.14,53.56,5319524
#2010-04-22#,53.47,53.48,52.56,53.42,3612023
#2010-04-23#,53.41,53.74,53.155,53.7,2878207
#2010-04-26#,54.87,55,53.83,54.01,3729004
#2010-04-27#,53.61,55,53.59,53.68,6172318
#2010-04-28#,57.03,57.4,54.82,55.93,8831659
#2010-04-29#,56.11,56.78,55.39,55.94,5349327
#2010-04-30#,56.06,56.502,55.23,55.28,2814978
#2010-05-03#,55.5,55.52,54.69,55.48,3013203
#2010-05-04#,55.01,55.01,53.7,54.49,5289428
#2010-05-05#,54.08,54.89,53.93,54.83,4516357
#2010-05-06#,54.74,54.85,49.04,53.33,4577698
#2010-05-07#,52.95,53.2,51.01,51.41,5718188
#2010-05-10#,52.4,54.34,52.4,54.2,4748717
#2010-05-11#,53.73,54.19,53.24,53.75,4347977
#2010-05-12#,53.757,55.06,53.61,54.85,3486652
#2010-05-13#,54.59,54.87,53.61,53.76,2670487
#2010-05-14#,53.75,54.14,52,52.51,4452426
#2010-05-17#,52.7,53.15,51.99,52.81,3636788
#2010-05-18#,53.29,53.62,52.12,52.39,2650247
#2010-05-19#,52,52.68,51.38,51.81,2730479
#2010-05-20#,51.15,51.24,49.82,49.83,4383520
#2010-05-21#,49.27,51.11,49.14,50.86,5260137
#2010-05-24#,50.73,51.67,50.18,50.97,3740331
#2010-05-25#,49.93,50.72,49.66,50.67,5706698
#2010-05-26#,50.78,51.63,50.68,50.92,3559062
#2010-05-27#,51.82,52.73,51.71,52.73,3932523
#2010-05-28#,52.61,52.71,51.54,52.06,3082953
#2010-05-31#,52.61,52.71,51.54,52.06,3082953
#2010-06-01#,51.57,51.93,50.93,50.94,2709513
#2010-06-02#,51.02,51.92,50.16,51.92,3801264
#2010-06-03#,52.15,52.45,51.79,52.12,1899921
#2010-06-04#,51.21,51.32,49.37,49.53,4664232
#2010-06-07#,49.83,50.44,49.5,49.72,3837390
#2010-06-08#,49.49,50.29,48.97,49.59,3953940
#2010-06-09#,49.9,50.6,49.57,49.72,5821452
#2010-06-10#,50.56,51.79,50.31,51.72,3304150
#2010-06-11#,51.2,51.98,51,51.95,2156246
#2010-06-14#,52.17,52.76,52.14,52.16,2106713
#2010-06-15#,52.59,53.48,52.55,53.48,3759152
#2010-06-16#,53.03,53.68,52.68,53.43,2230792
#2010-06-17#,53.33,53.56,52.65,53.44,2090485
#2010-06-18#,53.48,53.86,53.33,53.66,2485338
#2010-06-21#,54.1,54.87,53.37,53.63,2496776
#2010-06-22#,53.8,53.89,52.33,52.41,2271759
#2010-06-23#,52.38,52.69,51.818,52.35,2085267
#2010-06-24#,52.1,52.26,50.76,50.97,4061430
#2010-06-25#,51.07,51.44,50.73,50.9,4181676
#2010-06-28#,51.15,51.375,50.441,51.05,2795199
#2010-06-29#,50.3,50.62,49.08,49.75,4913637
#2010-06-30#,49.58,50.11,48.97,49.05,6938109
#2010-07-01#,49.05,49.05,47.25,48.16,5789271
#2010-07-02#,48.23,48.35,47.21,47.58,3506822
#2010-07-05#,48.23,48.35,47.21,47.58,3506822
#2010-07-06#,48.17,49.44,48.07,48.97,4473172
#2010-07-07#,48.94,48.94,47.4,48.64,6164695
#2010-07-08#,48.87,49.25,48.57,48.88,4846342
#2010-07-09#,49.01,49.45,48.83,49.28,3241845
#2010-07-12#,49.05,49.14,48.01,48.22,5552705
#2010-07-13#,48.52,49.78,48.27,49.54,4657887
#2010-07-14#,49.435,50.14,49.055,49.74,3788706
#2010-07-15#,49.68,50.28,49.28,50.16,3486344
#2010-07-16#,49.67,50.04,48.95,49.06,3323695
