"Date","Open","High","Low","Close","Volume"
#2009-01-01#,22.7,23.45,22.48,23.15,2417998
#2009-01-02#,23.26,23.41,22,22.21,1762861
#2009-01-05#,22.14,22.38,21.31,21.45,2160489
#2009-01-06#,21.48,22.82,21.07,22.62,2821858
#2009-01-07#,21.98,22.46,21.41,21.66,2032589
#2009-01-08#,21.59,21.79,20.96,21.34,2099264
#2009-01-09#,21.45,21.7599,20.23,20.29,2265251
#2009-01-12#,20.19,20.48,19.23,19.51,2511138
#2009-01-13#,19.62,20.45,19.2,20.13,1948898
#2009-01-14#,19.74,20.13,19,19.15,3240941
#2009-01-15#,19.31,20.63,18.35,20.08,2644926
#2009-01-16#,20.29,20.66,19.25,20.63,2382880
#2009-01-19#,20.29,20.66,19.25,20.63,2382880
#2009-01-20#,20.2,20.2,18.4,18.49,3304883
#2009-01-21#,19.16,20.37,18.08,20.17,2892394
#2009-01-22#,19.87,19.87,18.7084,19.04,3647325
#2009-01-23#,18.74,19.52,18.44,19.52,2191209
#2009-01-26#,19.57,20.16,18.83,19.3,1507303
#2009-01-27#,19.37,19.99,19.18,19.89,1323302
#2009-01-28#,20.2,21.54,20.11,21.49,2140260
#2009-01-29#,21.15,21.15,19.4,19.52,2406032
#2009-01-30#,19.67,20.1,19.04,19.27,2880395
#2009-02-02#,19.15,19.97,18.9,19.8,2016373
#2009-02-03#,19.89,20,19.25,19.36,1422779
#2009-02-04#,19.47,19.85,19.1,19.13,1929310
#2009-02-05#,18.99,19.48,18.76,18.85,2439238
#2009-02-06#,18.95,20.21,18.9,20.03,2290024
#2009-02-09#,20,20.32,19.29,20.19,2200904
#2009-02-10#,19.92,20.18,18.59,18.66,3013102
#2009-02-11#,18.95,19.06,18.2,18.87,2550569
#2009-02-12#,18.8,19.5,18.2,19.36,2952443
#2009-02-13#,19.32,19.5,18.6,18.66,2839230
#2009-02-16#,19.32,19.5,18.6,18.66,2839230
#2009-02-17#,18.2,18.65,17.93,18.1,3086091
#2009-02-18#,18.3,18.55,17.8,18.33,2280754
#2009-02-19#,18.43,18.5,17.23,17.39,2783851
#2009-02-20#,17,18.58,16.7,18.46,4436009
#2009-02-23#,18.61,18.74,17.41,17.55,3694526
#2009-02-24#,17.69,18.74,17.38,18.65,3923985
#2009-02-25#,18.43,19.12,17.81,18.31,3392763
#2009-02-26#,18.38,18.68,17.57,17.7,3244823
#2009-02-27#,17.49,18.1,17.29,17.53,3391952
#2009-03-02#,17,17.59,16.7,16.87,3864155
#2009-03-03#,17.19,17.5,16.19,16.82,3723252
#2009-03-04#,17.03,17.19,16.42,16.89,2997697
#2009-03-05#,16.42,16.7,15.41,15.63,4262372
#2009-03-06#,15.79,15.97,14.25,15.03,6186770
#2009-03-09#,14.75,15.3,14.6,15.26,2879640
#2009-03-10#,15.7,16.86,15.38,16.86,4581689
#2009-03-11#,16.95,16.95,16.11,16.38,3246693
#2009-03-12#,16.33,17.25,16.05,17.15,3883637
#2009-03-13#,16.87,17.09,16.3,16.79,2126897
#2009-03-16#,17.05,17.18,15.62,15.69,3263459
#2009-03-17#,15.65,16.82,15.52,16.78,3681994
#2009-03-18#,16.64,17.8,16.11,17.7,3898835
#2009-03-19#,17.8,17.95,16.93,16.98,4040099
#2009-03-20#,17.07,17.24,16.03,16.06,2668197
#2009-03-23#,16.64,18.6,16.57,18.56,4384995
#2009-03-24#,18.24,18.7,17.16,17.32,3337691
#2009-03-25#,17.5,18.09,16.5,17.52,3013920
#2009-03-26#,17.67,18.62,17.14,18.61,3191508
#2009-03-27#,18.32,18.69,17.96,18.04,2304853
#2009-03-30#,17.84,17.84,17.17,17.22,2318369
#2009-03-31#,17.52,18.84,17.5,18.82,4272282
#2009-04-01#,18.35,19.09,17.86,18.88,3114393
#2009-04-02#,19.25,20.12,18.89,19.98,4071915
#2009-04-03#,19.91,21.39,19.58,21.33,3379555
#2009-04-06#,20.99,21.08,20.31,20.86,2836824
#2009-04-07#,20.35,20.5,19.17,19.25,2911229
#2009-04-08#,19.48,19.79,19.02,19.58,2468240
#2009-04-09#,20.45,22.06,20.3,22.02,3677766
#2009-04-10#,20.45,22.06,20.3,22.02,3677766
#2009-04-13#,21.89,21.98,20.85,21.69,3335547
#2009-04-14#,21.39,21.5,20.13,20.28,2854822
#2009-04-15#,19.98,21.5,19.5,21.35,3636026
#2009-04-16#,21.31,22.7,20.63,21.93,3804681
#2009-04-17#,21.99,22.49,21.42,22,3383305
#2009-04-20#,21.55,21.75,19.9,20.03,3741631
#2009-04-21#,19.82,22.18,19.51,21.96,4422410
#2009-04-22#,21.61,22.38,20.97,21.32,4482597
#2009-04-23#,21.41,21.95,20.91,21.86,2552007
#2009-04-24#,21.85,22.83,21.57,22.4,3895080
#2009-04-27#,22.12,22.32,21.15,21.58,2858794
#2009-04-28#,21.34,22.15,21.13,21.85,2448200
#2009-04-29#,22.19,22.73,21.81,22.44,3542618
#2009-04-30#,22.61,23.24,22.14,22.33,3839595
#2009-05-01#,22.21,22.21,20.85,21.1,2218156
#2009-05-04#,21.5,22.52,21.31,22.43,3161034
#2009-05-05#,22.24,22.46,21.35,21.5,2215911
#2009-05-06#,21.77,22.7,21.44,22.52,3279392
#2009-05-07#,22.88,22.89,21.08,21.41,3278444
#2009-05-08#,21.5,22.25,21.45,22.18,3014911
#2009-05-11#,21.72,22,21.25,21.31,2255819
#2009-05-12#,21.46,21.99,20.86,21.46,1871854
#2009-05-13#,21.22,21.28,20.38,20.51,2514242
#2009-05-14#,20.43,21.28,20.12,20.94,2598499
#2009-05-15#,20.87,20.96,19.83,20.11,2678881
#2009-05-18#,20.28,21.55,20.23,21.43,2830728
#2009-05-19#,21.15,21.6,20.96,20.98,2074045
#2009-05-20#,21.06,21.6,20.89,20.94,2047023
#2009-05-21#,20.78,21.76,20.66,21.66,1779835
#2009-05-22#,21.24,21.81,20.9,20.92,1238351
#2009-05-25#,21.24,21.81,20.9,20.92,1238351
#2009-05-26#,20.87,22.18,20.75,22,2345308
#2009-05-27#,21.98,22.11,21.07,21.24,1810441
#2009-05-28#,21.61,21.65,20.89,21.54,1410381
#2009-05-29#,21.89,21.89,21.05,21.47,2151061
#2009-06-01#,21.84,22.65,21.54,22.11,2427328
#2009-06-02#,22.22,22.45,21.94,22.18,1379815
#2009-06-03#,22,22.52,21.86,22.48,1008913
#2009-06-04#,22.36,23,22.15,22.97,1544798
#2009-06-05#,22.93,23,22.5,22.73,1613076
#2009-06-08#,22.78,23,22.44,22.73,941424
#2009-06-09#,22.69,22.86,22.5,22.61,674828
#2009-06-10#,22.58,22.84,21.73,22.19,1845134
#2009-06-11#,21.9,22.36,21.79,21.86,1155907
#2009-06-12#,21.78,22.48,21.75,22.48,1219861
#2009-06-15#,21.86,22.3,21.55,21.75,2046608
#2009-06-16#,22.03,22.14,21.4,21.74,1074285
#2009-06-17#,21.74,22.29,21.63,21.87,1443285
#2009-06-18#,21.95,22.39,21.77,22.23,904336
#2009-06-19#,22.4,22.54,22.06,22.52,1783979
#2009-06-22#,22.41,22.47,21.92,21.97,1799940
#2009-06-23#,22.39,22.6,21.99,22.24,1669865
#2009-06-24#,22.36,22.69,22.32,22.49,1426302
#2009-06-25#,22.4,23.07,22.2,23.07,2063357
#2009-06-26#,23,23.1982,21.59,21.79,12662624
#2009-06-29#,22.15,22.15,21.35,21.63,2242833
#2009-06-30#,21.77,21.92,21.53,21.92,1269862
#2009-07-01#,21.78,22.36,21.78,22.24,1196565
#2009-07-02#,21.96,22.19,21.26,21.26,2071498
#2009-07-03#,21.96,22.19,21.26,21.26,2071498
#2009-07-06#,21.29,21.96,21.12,21.96,2092746
#2009-07-07#,21.9,22.06,21.08,21.25,1833865
#2009-07-08#,21.43,21.43,20.6,20.91,2193948
#2009-07-09#,21.24,21.25,20.3,20.43,1802825
#2009-07-10#,20.32,20.52,19.83,20.32,1702830
#2009-07-13#,20.4,21.22,20.25,21.18,2317726
#2009-07-14#,21.13,21.25,20.7,21.19,1185886
#2009-07-15#,21.42,22.1,21.27,21.94,2070253
#2009-07-16#,21.71,22.28,21.58,22.15,1252016
#2009-07-17#,22.09,22.27,21.74,21.99,1561221
#2009-07-20#,22.11,22.43,22.05,22.43,1409996
#2009-07-21#,22.69,22.69,22.18,22.56,1311334
#2009-07-22#,22.45,22.84,22.26,22.53,1216916
#2009-07-23#,22.49,23.04,22.49,22.91,1866276
#2009-07-24#,22.63,22.91,22.51,22.79,838521
#2009-07-27#,22.74,23.43,22.71,23.41,1205762
#2009-07-28#,23.26,23.56,23.16,23.47,1125441
#2009-07-29#,23.35,23.5,23.16,23.32,807008
#2009-07-30#,23.46,23.8,23.33,23.63,1670342
#2009-07-31#,23.26,23.88,23.26,23.58,1262918
#2009-08-03#,23.84,23.95,23.54,23.91,1649027
#2009-08-04#,23.66,25.52,23.66,25.27,2785055
#2009-08-05#,25.09,25.72,24.98,25.55,2247528
#2009-08-06#,25.56,26.17,25.3,25.36,1585963
#2009-08-07#,25.6,26.56,25.46,26.21,1959045
#2009-08-10#,26.17,26.2,25.12,25.27,1244015
#2009-08-11#,25.19,25.41,24.59,24.62,1287748
#2009-08-12#,24.7,25.3,24.61,24.7,1101668
#2009-08-13#,24.8,25.06,24.555,24.78,771677
#2009-08-14#,24.79,24.88,24.13,24.54,783910
#2009-08-17#,23.92,24.16,23.34,23.59,1927002
#2009-08-18#,24.13,24.38,23.6,23.71,998547
#2009-08-19#,23.44,23.82,23.2,23.8,1042739
#2009-08-20#,23.68,24.79,23.6001,24.79,1256320
#2009-08-21#,24.94,25.45,24.76,25.14,1278886
#2009-08-24#,25.4,25.69,25.12,25.2,1155037
#2009-08-25#,25.45,25.6,25.16,25.34,1100155
#2009-08-26#,25.34,25.57,25.12,25.57,916447
#2009-08-27#,25.5,26.65,25.45,26.63,2663158
#2009-08-28#,26,26.35,25.62,25.93,1465099
#2009-08-31#,25.66,25.89,25.44,25.55,1069597
#2009-09-01#,25.3,25.68,24.71,24.76,1876504
#2009-09-02#,24.74,24.8,23.88,23.92,1456496
#2009-09-03#,24.03,24.61,23.85,24.61,981070
#2009-09-04#,24.6,24.75,24.26,24.73,554176
#2009-09-07#,24.6,24.75,24.26,24.73,554176
#2009-09-08#,24.87,25.38,24.78,25.32,1039568
#2009-09-09#,25.24,25.87,25.02,25.86,973509
#2009-09-10#,25.66,25.93,25.5,25.87,934685
#2009-09-11#,25.85,26,25.5653,25.85,1007443
#2009-09-14#,25.24,25.66,24.5,25.63,2269895
#2009-09-15#,25.63,26.55,25.56,26.48,2408029
#2009-09-16#,26.48,27.79,26.48,27.49,3158828
#2009-09-17#,27.25,28.23,26.58,26.99,1901587
#2009-09-18#,27.13,27.27,26.59,26.93,1219393
#2009-09-21#,26.63,27.17,26.4,26.92,1192476
#2009-09-22#,27.05,27.66,27.05,27.54,1152475
#2009-09-23#,27.71,27.72,26.34,26.37,1494999
#2009-09-24#,26.51,26.73,25.47,25.49,2261977
#2009-09-25#,25.62,26.01,25.3,25.74,1051411
#2009-09-28#,25.97,26.5,25.79,26.5,1186607
#2009-09-29#,26.45,26.5,25.89,25.93,1085110
#2009-09-30#,26.09,26.19,25.51,25.65,1223354
#2009-10-01#,25.57,25.73,24.48,24.55,2218472
#2009-10-02#,24.26,25.07,24.05,24.09,2214550
#2009-10-05#,24.29,24.86,24.19,24.8,1139364
#2009-10-06#,24.86,25.14,24.45,24.71,929226
#2009-10-07#,23.84,24,22.85,23.58,4672248
#2009-10-08#,23.78,24.04,23.35,23.88,2634865
#2009-10-09#,23.88,24.02,23.58,23.91,1505950
#2009-10-12#,23.98,24.01,23.7,23.9,1043622
#2009-10-13#,23.89,23.99,23.6,23.66,1285848
#2009-10-14#,23.93,24.06,23.72,24.02,1552396
#2009-10-15#,23.98,24.09,23.55,23.69,1623548
#2009-10-16#,23.78,23.85,23.35,23.39,1567623
#2009-10-19#,23.5,23.55,22.96,23.47,1558035
#2009-10-20#,23.56,23.56,23.105,23.2,1430728
#2009-10-21#,23.24,23.67,23.01,23.08,1805818
#2009-10-22#,23.06,23.69,23.02,23.67,1351714
#2009-10-23#,23.74,23.76,23.2775,23.52,1260287
#2009-10-26#,23.62,23.94,23.59,23.8,1841015
#2009-10-27#,23.89,23.975,23.06,23.13,2125512
#2009-10-28#,23.01,23.28,22.17,22.24,2686288
#2009-10-29#,22.65,23.31,22.65,23.31,1976131
#2009-10-30#,23.22,23.37,22.58,23.18,2537818
#2009-11-02#,23.08,23.34,22.55,23.1,1484170
#2009-11-03#,22.9,23.2,22.77,23.2,1360869
#2009-11-04#,23.35,23.54,22.83,22.94,1235456
