"Date","Open","High","Low","Close","Volume"
#2015-01-01#,207.99,208.19,205.39,205.54,130333829
#2015-01-02#,206.38,206.88,204.18,205.43,121465865
#2015-01-05#,204.17,204.37,201.35,201.72,169632646
#2015-01-06#,202.09,202.72,198.855,199.82,209151408
#2015-01-07#,201.42,202.72,200.88,202.31,125346709
#2015-01-08#,204.01,206.16,203.99,205.9,147217784
#2015-01-09#,206.4,206.42,203.51,204.25,158567288
#2015-01-12#,204.41,204.6,201.92,202.65,144396067
#2015-01-13#,204.12,205.48,200.51,202.08,214553306
#2015-01-14#,199.65,201.1,198.57,200.86,192991092
#2015-01-15#,201.63,202.01,198.88,199.0199,176613906
#2015-01-16#,198.77,201.82,198.55,201.63,211879605
#2015-01-19#,198.77,201.82,198.55,201.63,211879605
#2015-01-20#,202.4,202.72,200.17,202.055,130991069
#2015-01-21#,201.5,203.66,200.94,203.08,122942707
#2015-01-22#,203.99,206.26,202.33,206.1,174356029
#2015-01-23#,205.79,206.1,204.81,204.97,117516753
#2015-01-26#,204.71,205.56,203.85,205.45,92009711
#2015-01-27#,202.97,204.12,201.74,202.74,134044598
#2015-01-28#,204.17,204.29,199.91,200.14,168514312
#2015-01-29#,200.38,202.3,198.68,201.9902,173585424
#2015-01-30#,200.57,202.17,199.13,199.45,197729724
#2015-02-02#,200.05,202.03,197.86,201.92,163106969
#2015-02-03#,203,204.85,202.55,204.84,124212881
#2015-02-04#,203.92,205.38,203.51,204.06,134306728
#2015-02-05#,204.86,206.3,204.77,206.12,97953181
#2015-02-06#,206.56,207.24,204.92,205.55,125672026
#2015-02-09#,204.77,205.64,204.135,204.63,87219016
#2015-02-10#,205.88,207.12,204.6801,206.81,96164183
#2015-02-11#,206.61,207.45,205.83,206.93,91087785
#2015-02-12#,207.89,208.99,206.9727,208.92,97545949
#2015-02-13#,209.07,209.84,208.76,209.78,93670430
#2015-02-16#,209.07,209.84,208.76,209.78,93670430
#2015-02-17#,209.4,210.32,209.1,210.11,76968199
#2015-02-18#,209.66,210.22,209.3401,210.13,80652941
#2015-02-19#,209.41,210.42,209.24,209.98,91462491
#2015-02-20#,209.48,211.33,208.73,211.239,140896392
#2015-02-23#,210.94,211.21,210.48,211.209,74411054
#2015-02-24#,211.12,212.05,210.76,211.81,72472263
#2015-02-25#,211.66,212.24,211.22,211.63,73061687
#2015-02-26#,211.52,211.71,210.65,211.38,72697868
#2015-02-27#,211.26,211.58,210.6,210.66,108075972
#2015-03-02#,210.78,212.06,210.72,211.99,87491428
#2015-03-03#,211.47,212.054,210.08,211.12,110325809
#2015-03-04#,210.4,210.49,209.06,210.2301,114497192
#2015-03-05#,210.62,210.8,209.85,210.46,76872957
#2015-03-06#,209.42,209.94,207.1,207.5,188127982
#2015-03-09#,207.74,208.79,207.5459,208.36,89818893
#2015-03-10#,206.71,206.81,204.93,204.98,157121263
#2015-03-11#,205.29,205.5,204.4,204.5,110145718
#2015-03-12#,205.26,207.175,205.2,207.1,93993523
#2015-03-13#,206.77,207.9338,204.58,205.8272,162410893
#2015-03-16#,206.71,208.69,205.8641,208.58,136099192
#2015-03-17#,207.69,208.42,206.98,207.96,94510422
#2015-03-18#,207.39,211.27,206.62,210.46,228808524
#2015-03-19#,209.96,210.4697,209.03,209.5,117917302
#2015-03-20#,209.71,211.02,209.4903,210.41,177715081
#2015-03-23#,210.42,211.11,210,210,71784536
#2015-03-24#,209.85,210.4,208.74,208.82,77805321
#2015-03-25#,209.07,209.35,205.71,205.76,159521708
#2015-03-26#,204.96,206.37,204.12,205.27,153067241
#2015-03-27#,205.13,205.95,204.9,205.74,118938966
#2015-03-30#,206.98,208.61,206.96,208.25,96180365
#2015-03-31#,207.26,208.1,206.36,206.43,126768703
#2015-04-01#,206.39,206.42,204.51,205.7,137303584
#2015-04-02#,205.62,206.98,205.4,206.435,86900906
#2015-04-03#,205.62,206.98,205.4,206.435,86900906
#2015-04-06#,205.37,208.45,205.21,207.83,114368155
#2015-04-07#,207.855,208.76,207.24,207.28,81236337
#2015-04-08#,207.55,208.51,207.08,207.975,89351939
#2015-04-09#,207.78,209.18,207.19,208.9,85548854
#2015-04-10#,209.2,210.09,208.96,210.04,72722915
#2015-04-13#,209.87,210.63,209.03,209.09,74436594
#2015-04-14#,208.85,209.71,208.1,209.49,75099866
#2015-04-15#,210.05,211.04,209.95,210.43,99529320
#2015-04-16#,210.03,210.98,209.7928,210.37,68934864
#2015-04-17#,208.94,209.23,207.01,207.95,191113230
#2015-04-20#,209.06,210.25,208.96,209.85,92189481
#2015-04-21#,210.67,210.86,209.24,209.6,72559831
#2015-04-22#,210.01,210.85,208.9,210.63,78264616
#2015-04-23#,210.15,211.94,210.01,211.16,102585942
#2015-04-24#,211.66,211.97,211.11,211.6499,61327387
#2015-04-27#,212.33,212.48,210.54,210.77,79358126
#2015-04-28#,210.74,211.5,209.3301,211.44,86863531
#2015-04-29#,210.37,211.29,209.6,210.57,125684903
#2015-04-30#,209.88,210.35,207.62,208.46,161304890
#2015-05-01#,209.4,210.77,209.28,210.72,103399711
#2015-05-04#,211.23,212.02,211.1,211.32,70927235
#2015-05-05#,211.03,211.46,208.73,208.9,113326156
#2015-05-06#,209.56,209.93,206.76,208.04,135060151
#2015-05-07#,207.92,209.38,207.52,208.87,88244940
#2015-05-08#,210.88,211.86,210.78,211.62,155877260
#2015-05-11#,211.57,211.89,210.52,210.605,75708065
#2015-05-12#,209.61,210.63,208.62,209.98,119727592
#2015-05-13#,210.47,211.22,209.74,210.02,94667943
#2015-05-14#,211.24,212.32,210.91,212.21,95934006
#2015-05-15#,212.44,212.61,211.86,212.44,76510099
#2015-05-18#,212.24,213.4,212.16,213.1,74549685
#2015-05-19#,213.24,213.57,212.69,213.03,72114610
