"Date","Open","High","Low","Close","Volume"
#2001-01-01#,25.125,25.65,25.125,25.295,766600
#2001-01-02#,24.75,25.105,24.3,24.3,1034000
#2001-01-03#,24.45,24.885,24.45,24.625,2685800
#2001-01-04#,24.625,24.72,22.9,23.2,2278000
#2001-01-05#,23.2,23.2,22.625,22.845,1591800
#2001-01-08#,22.45,23.05,22.45,22.62,1529200
#2001-01-09#,22.925,23.565,22.8,22.965,1002600
#2001-01-10#,23.15,24,22.905,23.525,737600
#2001-01-11#,23.4,24.4,23.35,23.665,1120800
#2001-01-12#,23.665,23.74,22.88,22.885,972400
#2001-01-15#,23.665,23.74,22.88,22.885,972400
#2001-01-16#,22.885,23.25,22.2,22.805,1059800
#2001-01-17#,22.925,23.11,22.905,23.03,811800
#2001-01-18#,23.2,23.205,22.1,22.1,1368600
#2001-01-19#,22.1,22.195,21.875,22.055,1098000
#2001-01-22#,22,23.015,21.65,22.905,1157000
#2001-01-23#,23,23.045,22.535,22.955,718800
#2001-01-24#,22.55,23.755,22.5,23.545,1383200
#2001-01-25#,23.545,24.025,23.375,23.98,646400
#2001-01-26#,23.75,24.165,23.375,24.14,952800
#2001-01-29#,24.375,24.42,23.46,23.475,662200
#2001-01-30#,22.875,23.6,22.875,23.25,2901200
#2001-01-31#,23.25,23.315,22.45,22.6,1231400
#2001-02-01#,22.75,22.75,22.495,22.5,1234800
#2001-02-02#,22.5,22.75,22.475,22.615,2739000
#2001-02-05#,22.55,23.25,22.505,23.19,1012600
#2001-02-06#,23,23.36,22.955,23.075,1248400
#2001-02-07#,23.025,23.895,23.025,23.75,1694200
#2001-02-08#,23.75,23.85,23.455,23.805,978800
#2001-02-09#,23.75,24,23.6,23.85,933000
#2001-02-12#,24.05,25.015,24.04,24.985,1219800
#2001-02-13#,24.9,24.975,24.275,24.85,1043200
#2001-02-14#,24.925,24.95,24.66,24.875,978400
#2001-02-15#,25,25.05,24.6,24.85,957800
#2001-02-16#,24.75,25,24.625,25,722200
#2001-02-19#,24.75,25,24.625,25,722200
#2001-02-20#,24.875,25.14,24.5725,25.115,459600
#2001-02-21#,25.075,26.15,25.075,25.91,1427600
#2001-02-22#,25.91,26.965,25.91,26.775,2703000
#2001-02-23#,26.575,27,26.55,26.97,2158000
#2001-02-26#,26.97,27.9,26.97,27.625,1950200
#2001-02-27#,27.625,28.425,27.35,27.595,2498800
#2001-02-28#,27.75,28.075,27.615,28.075,1045800
#2001-03-01#,28.075,28.5,27.675,28.5,1633400
#2001-03-02#,28.5,28.5,27.685,27.955,2010200
#2001-03-05#,27.85,28.5,27.85,28,1528000
#2001-03-06#,27.875,28.1,27.255,27.475,1164200
#2001-03-07#,27.25,27.415,26.625,26.945,861800
#2001-03-08#,26.995,28.06,26.975,27.81,1004200
#2001-03-09#,27.69,27.86,27.225,27.82,414400
#2001-03-12#,27.45,27.45,26.385,26.4,1108600
#2001-03-13#,26.4,26.7,25.85,26.39,1747600
#2001-03-14#,26.2,26.275,25.675,26.13,1197600
#2001-03-15#,26.18,26.525,25.89,26.5,911400
#2001-03-16#,26.125,26.75,26.125,26.385,1985800
#2001-03-19#,26.385,26.525,25.625,26.185,1153800
#2001-03-20#,26.6,26.6,25.74,25.85,793400
#2001-03-21#,25.55,25.995,25.375,25.7,759200
#2001-03-22#,25.325,25.325,23.5,24,2105400
#2001-03-23#,24.005,24.85,23.89,24.85,1550800
#2001-03-26#,24.85,26.005,24.65,25.985,1286200
#2001-03-27#,25.985,27.05,25.845,26.5,1777200
#2001-03-28#,24.75,26.12,24.65,25.97,1759600
#2001-03-29#,25.975,27.3,25.725,26.1,1286200
#2001-03-30#,26.2,26.45,25.5,26.125,1072800
#2001-04-02#,26.4,26.575,25.55,25.605,1012000
#2001-04-03#,25.55,25.7,24.775,24.905,1292600
#2001-04-04#,24.955,25.35,24.52,25.07,1272800
#2001-04-05#,25.1,25.925,25.1,25.825,1320800
#2001-04-06#,25.7,25.9,25.36,25.715,1117600
#2001-04-09#,25.775,26.5,25.75,26.195,1114600
#2001-04-10#,26.75,26.85,25.7,26.075,1534200
#2001-04-11#,25.95,25.95,25.135,25.225,1205800
#2001-04-12#,25.22,26.1,25.22,26,925400
#2001-04-13#,25.22,26.1,25.22,26,925400
#2001-04-16#,26.375,26.675,25.75,26.015,656800
#2001-04-17#,25.65,26.935,25.65,26.9,1279800
#2001-04-18#,27.75,28,27.3,27.525,2001400
#2001-04-19#,28.05,28.7,27.845,28.425,2288800
#2001-04-20#,28.43,28.43,27.875,28.295,1029800
#2001-04-23#,27.95,28.39,27.7,27.83,1586000
#2001-04-24#,27.95,28.65,27.9,28.47,1913600
#2001-04-25#,28.8,29.245,28.775,29.125,1717400
#2001-04-26#,29.12,29.475,28.995,29.115,1739200
#2001-04-27#,29.4,29.615,29.045,29.575,1555800
#2001-04-30#,29.7,29.975,29.2,29.645,2060600
#2001-05-01#,29.64,29.645,28.95,29.22,1557400
#2001-05-02#,29.22,29.415,28.965,29.35,1628000
#2001-05-03#,29.35,29.35,28.825,29,1828200
#2001-05-04#,28.15,28.97,28.15,28.925,1075200
#2001-05-07#,28.8,29,28.5,28.845,999400
#2001-05-08#,28.75,28.995,28.355,28.835,579000
#2001-05-09#,28.45,28.95,28.2,28.455,675600
#2001-05-10#,28.65,28.65,27.855,28.16,803200
#2001-05-11#,28.15,28.295,27.75,28.085,1091400
#2001-05-14#,28,28.08,27.95,28.005,645800
#2001-05-15#,28.05,28.6,28.005,28.475,1643400
#2001-05-16#,28.425,29.075,28.35,28.92,1544800
#2001-05-17#,29,29.4,28.905,29.34,849800
#2001-05-18#,29.7,29.7,28.85,29.01,1210200
