"Date","Open","High","Low","Close","Volume"
#2010-01-01#,65.22,65.585,63.58,64.29,428186
#2010-01-04#,64.69,65.35,62.92,63.55,467054
#2010-01-05#,63.5,63.77,62.35,62.88,526931
#2010-01-06#,62.99,63.38,62.14,62.55,566624
#2010-01-07#,62.55,63.49,62.1,63.13,850871
#2010-01-08#,63.06,63.53,62.68,62.92,665177
#2010-01-11#,63.64,63.92,62.7,63.25,443041
#2010-01-12#,62.7,63.58,62.6,63.34,1281864
#2010-01-13#,63.7,64.19,63.2,63.51,827472
#2010-01-14#,63.47,63.71,62.805,63.49,438359
#2010-01-15#,63.3,64.17,62.71,62.71,692862
#2010-01-18#,63.3,64.17,62.71,62.71,692862
#2010-01-19#,62.88,63.79,62.65,63.45,1163127
#2010-01-20#,64.07,64.4,63.03,63.99,961044
#2010-01-21#,64.12,64.14,61.96,62.3,867887
#2010-01-22#,62.3,63.02,61.05,61.88,975023
#2010-01-25#,62.57,62.57,61.32,62.05,681258
#2010-01-26#,61.43,61.5,60.58,60.86,671861
#2010-01-27#,60.74,61.15,59.45,60.87,418753
#2010-01-28#,60.99,60.99,59.68,60.26,344308
#2010-01-29#,60.36,60.94,59.31,59.73,613640
#2010-02-01#,60.18,61.01,59.89,60.72,423272
#2010-02-02#,60.72,61.5897,60.12,61.5,467183
#2010-02-03#,61,61.54,60.35,61.36,576783
#2010-02-04#,60.77,60.95,58.64,58.67,595481
#2010-02-05#,58.67,59.63,57.545,59.28,381047
#2010-02-08#,59.51,59.51,57.34,57.37,346336
#2010-02-09#,58.3,58.3,56.5,57.25,604528
#2010-02-10#,57.15,57.74,56.1201,57.34,425195
#2010-02-11#,57.04,57.39,55.54,56.89,579626
#2010-02-12#,56.13,58.46,56.13,58.38,518295
#2010-02-15#,56.13,58.46,56.13,58.38,518295
#2010-02-16#,59.19,61.4,59.14,61.2,551010
#2010-02-17#,61.27,61.67,60.58,61.07,277164
#2010-02-18#,60.82,62,60.81,61.69,496551
#2010-02-19#,61.47,62.03,61.26,61.59,326683
#2010-02-22#,62.02,62.18,61.31,61.35,402532
#2010-02-23#,61.21,62.17,61.09,61.76,799274
#2010-02-24#,61.68,62.04,61.36,61.68,554260
#2010-02-25#,60.93,62.13,60.4875,62,528328
#2010-02-26#,62.04,62.58,61.38,61.62,606700
#2010-03-01#,61.9,62.16,61.55,61.9,299779
#2010-03-02#,62.36,62.49,61.69,62.4,571082
#2010-03-03#,62.39,62.95,61.72,62.43,581519
#2010-03-04#,62.46,63.07,61.95,62.19,530915
#2010-03-05#,62.57,63.6,62.25,63.28,581902
#2010-03-08#,63.25,64.67,63.03,64.47,259548
#2010-03-09#,64.04,65.885,63.82,64.62,358489
#2010-03-10#,64.46,65,64.05,64.82,321134
#2010-03-11#,64.33,65.3,64.24,64.9,361003
#2010-03-12#,65.09,65.44,64.54,65.01,233244
#2010-03-15#,65.03,65.53,64.14,65.26,420984
#2010-03-16#,65.3,67,65.08,66.92,550606
#2010-03-17#,66.93,67.62,66.69,67.34,325193
#2010-03-18#,67.34,68.26,67.27,67.45,397309
#2010-03-19#,67.49,67.58,66.51,66.59,280157
#2010-03-22#,66.03,67.79,65.7205,67.5,226886
#2010-03-23#,67.11,67.14,65.83,66.99,468479
#2010-03-24#,66.63,67.94,66.46,67.4,705886
#2010-03-25#,67.82,69.03,67.69,67.87,364334
#2010-03-26#,67.8,68.68,67.48,68.23,445181
#2010-03-29#,68.56,68.81,67.91,68.6,222314
#2010-03-30#,68.28,68.51,67.79,68.17,416351
#2010-03-31#,67.99,68.42,67.31,67.6,549443
#2010-04-01#,67.92,68.41,67.55,68.03,641527
#2010-04-02#,67.92,68.41,67.55,68.03,641527
#2010-04-05#,68.25,69.93,67.96,69.77,320414
#2010-04-06#,69.57,71.9299,69.08,71.84,1089763
#2010-04-07#,71.84,72.41,70.58,71.02,481098
#2010-04-08#,70.82,71.5999,70.55,71.2,306261
#2010-04-09#,71.25,72.66,71.2,72.56,410168
#2010-04-12#,72.57,72.69,71.13,71.5,298848
#2010-04-13#,71.53,73.31,71.39,72.76,277901
#2010-04-14#,73.13,73.42,71.425,71.85,495085
#2010-04-15#,71.76,72.27,70.08,70.24,588439
#2010-04-16#,70.03,70.71,68.79,69.4,451803
#2010-04-19#,68.9,70.4,68.44,69.53,269418
#2010-04-20#,70,70.62,68.99,70.59,258712
#2010-04-21#,70.45,71.15,69.56,70.55,605783
#2010-04-22#,69.95,71.1696,69.87,70.96,422583
#2010-04-23#,71.17,74.31,70.68,74.19,558464
#2010-04-26#,74.25,75.18,73.81,74.6,389188
#2010-04-27#,74.21,74.62,71.92,72.16,437460
#2010-04-28#,72.62,73.16,71.66,72.02,341126
#2010-04-29#,72.61,74.25,72.19,73.91,739213
#2010-04-30#,74.04,74.32,70.75,70.81,548602
#2010-05-03#,71.08,73.22,71.06,73.02,935966
#2010-05-04#,72.12,72.8599,70.49,71.03,913684
#2010-05-05#,70.27,71.79,69.2,70.17,411762
#2010-05-06#,69.74,69.98,62.35,66.97,834241
#2010-05-07#,66.88,68.27,64.2,65.01,967460
#2010-05-10#,68.57,69.77,67.45,69.76,705245
#2010-05-11#,69,70.6436,68.175,69.94,478038
#2010-05-12#,70.41,71.47,69.97,70.97,686820
#2010-05-13#,70.82,71.2,69.58,69.81,472623
#2010-05-14#,69.07,69.78,65.88,66.97,1490101
#2010-05-17#,67.27,68.37,65.43,66.88,1682173
#2010-05-18#,67.77,68.1599,64.93,65.25,504158
#2010-05-19#,64.94,66.17,62.84,65.11,633410
#2010-05-20#,63.42,64.2,62,62.03,701159
#2010-05-21#,61.6,64.25,60.4801,63.6,720777
#2010-05-24#,63.15,64.74,62.94,63.21,462720
#2010-05-25#,61.33,63.29,60.69,63.14,389632
#2010-05-26#,63.74,64.98,62.62,62.92,386800
#2010-05-27#,64.51,66.69,63.84,66.6,345080
#2010-05-28#,66.25,67.01,65.45,65.58,383694
#2010-05-31#,66.25,67.01,65.45,65.58,383694
#2010-06-01#,65.05,66.14,64.1,64.25,323155
#2010-06-02#,64.48,65.88,63.14,65.82,485019
#2010-06-03#,65.67,66.24,64.96,65.74,322605
#2010-06-04#,64.29,65.08,62.15,62.36,495111
#2010-06-07#,62.77,64.29,62.24,62.55,442191
#2010-06-08#,62.76,65.39,61.47,65.2,800883
#2010-06-09#,65.66,67.42,65.27,65.86,531790
#2010-06-10#,67.25,69.95,66.64,69.48,554654
#2010-06-11#,69.07,71.67,68.68,71.16,490935
#2010-06-14#,72.25,73.36,71.11,71.91,839859
#2010-06-15#,72.68,73.19,71.73,72.8,808001
#2010-06-16#,72.56,73,71.46,72.23,751320
#2010-06-17#,72.53,73.77,72.04,73.39,568355
#2010-06-18#,73.94,74.03,72.98,73.18,623495
#2010-06-21#,74,74.42,71.6,71.87,663606
#2010-06-22#,71.84,72.74,68.59,68.89,862865
#2010-06-23#,68.82,70.35,68,69.28,495054
#2010-06-24#,68.62,69.07,67.42,67.9,639148
#2010-06-25#,68.27,69.5,68,68.49,810142
#2010-06-28#,68.63,68.72,67.51,67.63,288928
#2010-06-29#,66.16,66.66,63.32,63.78,572124
#2010-06-30#,63.82,64.68,63.07,63.37,975313
#2010-07-01#,63.45,64.06,61.63,63.41,635073
#2010-07-02#,63.84,64.2,61.511,61.75,595043
#2010-07-05#,63.84,64.2,61.511,61.75,595043
#2010-07-06#,62.92,64.07,60.11,60.83,575325
#2010-07-07#,60.89,64.73,60.88,64.69,744759
#2010-07-08#,65.63,66.16,64.02,65,429466
#2010-07-09#,65,65.97,64.61,65.21,328412
#2010-07-12#,64.8,65.55,64.19,65.06,184456
#2010-07-13#,65.93,67.5,65.57,67.23,376540
#2010-07-14#,66.51,67.6,66,66.87,224093
#2010-07-15#,67.02,67.02,65.15,66.34,191270
#2010-07-16#,65.81,66,63.93,64.36,569463
#2010-07-19#,64.65,65.61,63.74,65.35,285799
#2010-07-20#,64.3,68.03,63.95,67.9,391638
#2010-07-21#,68.3,68.55,65.84,66.23,357293
#2010-07-22#,67.42,70.05,66.87,69.73,439466
#2010-07-23#,69.43,71.04,68.28,70.91,393411
#2010-07-26#,71.1,72.71,70.61,72.59,424335
#2010-07-27#,73.18,73.75,71.41,72.09,648742
#2010-07-28#,71.8,72.92,71.05,71.43,616640
#2010-07-29#,72.05,72.24,69.57,69.93,339598
#2010-07-30#,69.22,70.78,69.18,70.55,330846
#2010-08-02#,71.93,72.96,70.6,72.83,835052
#2010-08-03#,72.22,72.51,71.58,72,371554
#2010-08-04#,72.11,72.6,71.5,72.18,239310
#2010-08-05#,71.96,72.75,71.19,71.64,334920
#2010-08-06#,70.66,72.49,70.66,72.34,323423
#2010-08-09#,72.04,73.4292,72.04,73.25,297782
#2010-08-10#,72.2,72.29,70.46,71.18,445690
#2010-08-11#,69.68,70.56,68.36,69.57,1471312
#2010-08-12#,68.6,69.26,67.88,68.25,511577
#2010-08-13#,67.98,68.65,67.17,67.35,344638
#2010-08-16#,66.9,68.25,66.69,67.47,313035
#2010-08-17#,68.32,69.88,67.47,69.2,489706
#2010-08-18#,69.2,71.02,68.64,70.35,601467
#2010-08-19#,69.97,70.26,68.29,68.57,477374
#2010-08-20#,68.12,68.41,66.68,67.86,397598
#2010-08-23#,68.33,68.84,67.69,67.75,326245
#2010-08-24#,66.67,68.36,66.62,67.87,494375
#2010-08-25#,67.34,69.5,67.34,69.26,411451
#2010-08-26#,69.74,69.91,68.64,68.96,347226
#2010-08-27#,69.6,70.41,67.88,70.05,535705
#2010-08-30#,69.64,71.35,69.47,69.56,530544
#2010-08-31#,69.23,70.07,68.72,69.37,737582
#2010-09-01#,70.71,70.93,69.29,69.81,1069558
#2010-09-02#,70.22,71.11,69.51,70.7,587428
#2010-09-03#,71.78,72.19,70.97,71.86,430551
#2010-09-06#,71.78,72.19,70.97,71.86,430551
#2010-09-07#,71.44,71.81,70.87,70.9,403115
#2010-09-08#,71.15,71.95,70.99,71.27,234807
#2010-09-09#,72.14,72.38,69.873,70.31,279377
#2010-09-10#,70.35,70.81,70.02,70.35,396974
#2010-09-13#,71.11,71.9,70.55,71.75,442287
#2010-09-14#,71.57,72.4,71.34,71.9,329529
#2010-09-15#,71.58,72.57,71.32,72.06,477510
#2010-09-16#,71.81,72.4,71.58,71.73,158345
#2010-09-17#,72.21,72.21,71.5,72.17,396888
#2010-09-20#,72.68,73.64,72.24,73.36,544645
#2010-09-21#,73.34,73.89,72.6,72.91,247133
#2010-09-22#,70.1,70.53,69.69,70.5,4548205
#2010-09-23#,69.6,70.26,68.19,68.55,764147
#2010-09-24#,69.51,70.15,69.2175,70.01,645342
#2010-09-27#,69.96,70.255,68.9,69.69,446301
#2010-09-28#,69.7,70.25,68.71,70.16,458234
#2010-09-29#,69.71,69.8,69.05,69.62,528622
#2010-09-30#,69.95,71,69.26,70,968584
#2010-10-01#,70.69,71.07,69.63,71.05,506723
#2010-10-04#,70.95,71.49,70.26,71.44,628547
#2010-10-05#,71.96,72.44,70.7,72.35,1050117
#2010-10-06#,72.35,72.49,70.82,71.19,301880
#2010-10-07#,71.62,71.93,70.02,70.59,562356
#2010-10-08#,70.76,71.21,70.44,71.1,252843
#2010-10-11#,71.1,71.8,70.855,71.58,285169
#2010-10-12#,71.48,71.53,70.65,71.29,399168
#2010-10-13#,71.75,73.33,71.31,72.68,425149
#2010-10-14#,72.52,73.52,72.32,73.43,486764
#2010-10-15#,74,74.2,72.92,73.26,247312
#2010-10-18#,73.31,75.16,73.31,75.07,695128
#2010-10-19#,74.33,75.3,73.44,73.73,491270
#2010-10-20#,74.1,75.16,74.01,74.71,491761
#2010-10-21#,75.04,75.7,73.65,74.73,338555
