"Date","Open","High","Low","Close","Volume"
#2007-03-07#,52.43,53.06,52.3,52.58,483500
#2007-03-08#,52.9,53.67,52.53,53.11,359900
#2007-03-09#,53.39,53.5,52.72,53.01,348500
#2007-03-12#,53.04,53.3,52.57,53.05,616200
#2007-03-13#,52.84,53.02,51.92,52.04,246100
#2007-03-14#,52.05,52.3,51.23,52.12,296100
#2007-03-15#,51.98,52.85,51.51,52.81,345300
#2007-03-16#,52.82,52.96,51.7,51.95,468500
#2007-03-19#,52.25,53,52.25,52.87,227000
#2007-03-20#,52.7,53.1,52.5,53.02,415800
#2007-03-21#,53,53.32,52.5,53.21,655600
#2007-03-22#,51.68,54.57,51.68,54.57,900900
#2007-03-23#,54.5,54.93,54.29,54.69,454000
#2007-03-26#,54.3,54.78,53.54,54,384000
#2007-03-27#,53.75,54.16,53.4,53.86,348900
#2007-03-28#,53.79,55.11,53.79,54.41,686100
#2007-03-29#,54.8,55.12,54.13,54.65,554400
#2007-03-30#,54.65,55.25,54.29,54.88,591600
#2007-04-02#,54.9,55.19,53.6,53.88,637400
#2007-04-03#,54.09,54.58,53.5,54.55,598500
#2007-04-04#,54.7,55.17,54.3,55.1,409600
#2007-04-05#,54.97,55.76,54.97,55.36,418700
#2007-04-06#,54.97,55.76,54.97,55.36,418700
#2007-04-09#,55.32,55.87,54.96,55.75,399000
#2007-04-10#,55.7,56.01,55.43,55.77,381100
#2007-04-11#,55.79,56.0458,55.09,55.56,270700
#2007-04-12#,55.35,55.43,54.83,55.28,232100
#2007-04-13#,55.42,55.42,54.64,55.27,355700
#2007-04-16#,55.45,56.16,55.44,55.96,182400
#2007-04-17#,56.05,56.17,55.47,56.01,265300
#2007-04-18#,56.01,56.19,55.15,55.68,342500
#2007-04-19#,55.16,56.23,54.95,55.79,289200
#2007-04-20#,56.21,56.8,56.12,56.77,403900
#2007-04-23#,56.77,56.81,56.3145,56.76,330500
#2007-04-24#,56.87,57.05,56.25,56.65,425900
#2007-04-25#,56.96,57.3,56.14,57.13,523900
#2007-04-26#,57.13,57.42,56.62,57.13,475745
#2007-04-27#,58.01,58.1,56.98,57.63,1147375
#2007-04-30#,57.78,58,55.89,56.06,816100
#2007-05-01#,56.33,56.92,55.8,56.3,403400
#2007-05-02#,56.22,56.6,55.6,56.46,606900
#2007-05-03#,56.67,57.09,56.42,56.74,326200
#2007-05-04#,56.85,57.04,56.2935,56.73,255000
#2007-05-07#,56.92,57.31,56.67,57.28,440500
#2007-05-08#,56.9,57.03,56.13,56.62,204100
#2007-05-09#,55,57.43,54.99,57.29,331500
#2007-05-10#,57.28,57.29,56.14,56.31,1145800
#2007-05-11#,56.31,56.76,56.01,56.49,380900
#2007-05-14#,56.59,56.59,55.49,55.99,338000
#2007-05-15#,56.04,56.51,55.46,55.58,366900
#2007-05-16#,55.8,55.93,54.92,55.77,312400
#2007-05-17#,55.5,55.53,54.87,55.07,355300
#2007-05-18#,55.29,56.19,54.88,55.74,310000
#2007-05-21#,55.62,56.43,55.1,56.29,283400
#2007-05-22#,56.43,56.6,55.95,56.21,834100
#2007-05-23#,56.24,56.58,55.81,55.94,400900
#2007-05-24#,56,56.53,55.17,55.4,596400
#2007-05-25#,55.41,57.19,55.41,57.1,652000
#2007-05-28#,55.41,57.19,55.41,57.1,652000
#2007-05-29#,57.35,57.92,56.8,57.67,446300
#2007-05-30#,57.49,57.86,57,57.86,323300
#2007-05-31#,57.93,58.51,57.88,58.36,455000
#2007-06-01#,58.66,58.79,57.79,58.06,468600
#2007-06-04#,57.81,58.37,57.54,58.19,324900
#2007-06-05#,58,58.13,57.46,57.69,268300
#2007-06-06#,57.69,57.69,56.5,56.62,355600
#2007-06-07#,56.33,56.53,54.91,55.18,634700
#2007-06-08#,55.22,55.46,54.82,55.34,347500
#2007-06-11#,55.1,56.05,54.55,56,519300
#2007-06-12#,55.67,56.24,55.44,55.65,379200
#2007-06-13#,55.72,56.16,55.52,56.16,356000
#2007-06-14#,56.33,57.11,56.14,56.49,655100
#2007-06-15#,56.5,56.71,56.09,56.3,443900
#2007-06-18#,56.31,56.66,55.92,56.31,250600
#2007-06-19#,56.06,56.51,55.72,56.26,430400
#2007-06-20#,56.26,56.69,55.79,55.96,588900
#2007-06-21#,55.96,56.15,55.22,56.06,319500
#2007-06-22#,56.03,56.03,54.88,55.2,516700
#2007-06-25#,55.37,55.59,54.75,54.95,496000
#2007-06-26#,55.37,55.87,54.9,55.15,503800
#2007-06-27#,55,55.81,54.95,55.78,422000
#2007-06-28#,55.78,56.53,55.5,56.29,508500
#2007-06-29#,56.72,57.37,56.54,57.1,648900
#2007-07-02#,59,59.21,58.25,59.05,558400
#2007-07-03#,59.32,59.9,59.11,59.81,353500
#2007-07-04#,59.32,59.9,59.11,59.81,353500
#2007-07-05#,59.8,59.81,59.07,59.59,457799
#2007-07-06#,59.67,60.07,59.29,60.06,355700
#2007-07-09#,60.5,61.28,60.26,61.17,457500
#2007-07-10#,60.7,61.15,60,60.18,319100
#2007-07-11#,60.1,60.92,59.79,60.27,687900
#2007-07-12#,60.69,61.95,60.69,61.64,341400
#2007-07-13#,61.78,62.1,61.46,62,276700
#2007-07-16#,61.73,62.48,61.38,61.67,252200
#2007-07-17#,61.65,62.5,61.07,61.74,421700
#2007-07-18#,61.71,62.31,61.29,61.83,470900
#2007-07-19#,62.39,62.74,62.04,62.61,210100
#2007-07-20#,62.51,62.55,61.95,62.18,292200
#2007-07-23#,62.16,62.39,61.43,62.1,267500
#2007-07-24#,61.43,61.97,60.51,60.8,310000
#2007-07-25#,61.36,62.32,60.16,61.02,433500
#2007-07-26#,60.85,60.85,52.3,59.21,703100
#2007-07-27#,59.45,59.47,57.4,58.36,873400
#2007-07-30#,58.57,61.92,58.57,61.58,966900
#2007-07-31#,62.3,62.52,59.43,59.98,808600
#2007-08-01#,59.91,61.5795,59.38,60.2,573900
#2007-08-02#,60.6,61.62,60.08,61.35,450400
#2007-08-03#,61.54,61.92,60.22,60.25,586700
#2007-08-06#,60.8,62.72,60.5,61.3,1014800
#2007-08-07#,60.85,61.96,60.19,61.03,698700
#2007-08-08#,61.61,64.54,61.61,64.53,1117000
#2007-08-09#,62.6,65.36,62.59,64.48,1284100
#2007-08-10#,64.04,64.36,62.39,62.75,1373900
#2007-08-13#,63.58,65.08,62.56,63.25,713900
#2007-08-14#,63.06,63.3,61.74,61.81,929600
#2007-08-15#,61.98,62.22,60.71,61.15,1054400
#2007-08-16#,60.73,61.77,59.43,60.41,1582000
#2007-08-17#,62.52,62.52,60.45,60.82,1050000
#2007-08-20#,60.85,61.9,60.62,61.46,618500
#2007-08-21#,61.63,61.63,60.25,60.51,867200
#2007-08-22#,60.89,62.41,60.89,61.82,469800
#2007-08-23#,62.1,62.28,60.58,60.74,400800
#2007-08-24#,60.44,61.46,60.31,61.31,334800
#2007-08-27#,61.1,61.54,60.65,61.03,476300
#2007-08-28#,60.2,61,59.9201,60.52,1095800
#2007-08-29#,61.14,62.54,60.91,62.22,787600
#2007-08-30#,61.95,64.47,61.78,62.65,1117800
#2007-08-31#,63.5,63.75,62.38,63.29,735600
#2007-09-03#,63.5,63.75,62.38,63.29,735600
#2007-09-04#,63.35,64.53,63.35,64,546900
#2007-09-05#,63.69,64.22,62.77,63.25,343800
#2007-09-06#,63.62,64.14,62.67,63.91,284400
#2007-09-07#,62.74,63.73,62.2,62.43,558900
#2007-09-10#,62.83,63.22,62.12,62.67,415300
#2007-09-11#,63.07,63.63,62.5,63.32,241300
#2007-09-12#,63.39,64.21,62.96,63.69,340600
#2007-09-13#,63.7,64.15,63.05,63.73,431900
#2007-09-14#,62.05,63.17,61.34,62.33,917100
#2007-09-17#,62.03,62.81,61.66,61.88,526100
#2007-09-18#,62.42,63.83,61.88,63.75,697300
#2007-09-19#,62.99,64.03,62.16,63.43,756100
#2007-09-20#,63.11,64,62.68,62.81,645600
#2007-09-21#,63.36,63.49,62.9,63.36,890600
#2007-09-24#,63.77,63.77,62.78,63.43,402900
#2007-09-25#,63.22,64.67,63,64.46,577100
#2007-09-26#,64.86,65.792,64.63,65.32,854600
#2007-09-27#,65.55,66.08,64.85,64.97,808700
#2007-09-28#,65.1,65.99,64.888,65.5,324100
#2007-10-01#,65.69,65.97,65.03,65.63,405900
#2007-10-02#,65.63,66.22,65.2,65.33,269400
#2007-10-03#,65.09,65.38,64.65,65.25,398500
#2007-10-04#,65.36,65.4,64.64,64.96,261600
#2007-10-05#,65.28,66.64,65.28,66.64,598700
#2007-10-08#,66.6,66.81,66.26,66.57,274700
#2007-10-09#,66.52,66.6,65.78,66.3,446800
#2007-10-10#,65.94,66.72,65.15,66.58,433800
#2007-10-11#,66.77,67,65.62,66.19,401000
#2007-10-12#,66.38,67,65.87,66.88,304300
#2007-10-15#,66.93,66.97,65.94,66.89,406400
#2007-10-16#,66.65,67.19,66.65,66.76,569600
#2007-10-17#,67.58,67.7,66.68,67.68,576300
#2007-10-18#,67.18,68.45,67.12,68.01,450500
#2007-10-19#,67.7,68.26,65.78,65.82,504100
#2007-10-22#,65.43,66.81,65.43,66.65,612800
#2007-10-23#,66.79,67.8,66.22,67.5,467900
#2007-10-24#,67.22,67.95,66.07,67.05,815200
#2007-10-25#,67.37,68.31,66.59,68.3,901700
#2007-10-26#,68.54,68.54,65,66.8,1498600
#2007-10-29#,67.3,68.42,66.92,68.41,664200
#2007-10-30#,68.35,69.49,67.98,68.43,627000
#2007-10-31#,68.6,71.01,68.17,70.81,817000
#2007-11-01#,70.06,70.58,68.8801,69.48,898925
#2007-11-02#,69.47,69.7,68.48,69.44,509700
#2007-11-05#,69.29,69.3,68.15,68.94,686275
#2007-11-06#,68.98,69.83,68.35,69.67,481800
#2007-11-07#,68.32,69.43,67.69,67.91,502501
#2007-11-08#,68.23,68.47,66.04,67.38,802049
#2007-11-09#,66.58,67.26,65.73,65.98,436900
#2007-11-12#,65.8,66.3,64.13,64.22,431726
#2007-11-13#,64.41,65.38,63.27,65.07,620600
#2007-11-14#,65.19,65.33,64.19,64.19,568700
#2007-11-15#,64.19,64.45,63.05,63.66,587300
#2007-11-16#,63.9,63.9,62.04,62.35,835300
#2007-11-19#,62.02,62.02,60.17,60.43,879500
#2007-11-20#,60.54,61.61,60.1,61.35,749820
#2007-11-21#,61.01,62.11,60.28,61.15,809600
#2007-11-22#,61.01,62.11,60.28,61.15,809600
#2007-11-23#,61.49,61.58,60.4101,61.03,155000
#2007-11-26#,60.83,62.34,60.74,60.85,351300
#2007-11-27#,61.27,62.41,60.85,62.38,713500
#2007-11-28#,63.19,64.05,62.32,62.53,1014780
#2007-11-29#,62.14,63.33,62.02,63,371430
#2007-11-30#,63.77,64,62.84,63.45,413270
#2007-12-03#,63.3,63.74,62.95,62.97,417242
#2007-12-04#,62.54,62.92,61.99,62.39,442800
#2007-12-05#,63.05,64.33,62.5,64.33,415415
#2007-12-06#,64.1,65.29,63.83,65.12,359600
#2007-12-07#,65.14,65.83,64.77,65.17,740360
#2007-12-10#,65.22,66.34,65,66.2,326800
#2007-12-11#,66.12,66.76,63.84,63.84,562200
#2007-12-12#,65.17,65.77,63.75,64.4,367568
#2007-12-13#,63.92,64.33,63.1,63.82,516741
#2007-12-14#,63.7,65.48,63.59,64.25,524351
#2007-12-17#,63.82,63.9725,61.1,61.12,565840
#2007-12-18#,61.8,62.15,61.11,61.99,510300
#2007-12-19#,61.98,62.23,60.37,60.51,736506
#2007-12-20#,60.72,61.22,60.19,60.85,468200
#2007-12-21#,61.48,62.25,60.98,62.01,677561
#2007-12-24#,62.5,63.05,62.28,62.94,134900
#2007-12-25#,62.5,63.05,62.28,62.94,134900
#2007-12-26#,62.34,63.13,62.17,62.81,275900
#2007-12-27#,62.84,63.06,61.98,62.19,359350
#2007-12-28#,62.43,62.8,61.79,62.65,370980
#2007-12-31#,62.52,62.82,62.14,62.54,356400
#2008-01-01#,62.52,62.82,62.14,62.54,356400
