"Date","Open","High","Low","Close","Volume"
#2009-01-01#,20.85,21.6,20.85,21.29,4066956
#2009-01-02#,21.1109,23.1,21.07,23.02,6673430
#2009-01-05#,22.52,23.31,22.5,23.13,7385533
#2009-01-06#,23.07,24.45,23.07,24.22,7032433
#2009-01-07#,23.57,24.8098,23.51,24.23,12785603
#2009-01-08#,24.01,24.38,23.63,24.29,6207342
#2009-01-09#,23.99,24.5,23.42,24.01,6928274
#2009-01-12#,24.07,24.35,23.6,23.76,7057256
#2009-01-13#,22.97,23.22,21.75,22.1,14001299
#2009-01-14#,22.09,22.16,20.95,21.11,8298015
#2009-01-15#,21.04,21.3,20.45,20.83,10008521
#2009-01-16#,21.11,21.53,20.47,21.06,8056222
#2009-01-19#,21.11,21.53,20.47,21.06,8056222
#2009-01-20#,21.1,21.1,19.34,19.39,8847055
#2009-01-21#,19.88,20.97,19.74,20.96,9536907
#2009-01-22#,19.84,20.25,19.06,19.32,13904203
#2009-01-23#,19,20.1,18.7,19.7,10483759
#2009-01-26#,19.95,20.44,19.67,19.93,6139541
#2009-01-27#,19.74,20.38,19.53,20.11,6385451
#2009-01-28#,20.71,21.2,20.3398,20.89,7158689
#2009-01-29#,20.6,20.9061,19.61,20.05,7695034
#2009-01-30#,20.26,20.33,19.21,19.31,8970665
#2009-02-02#,19.41,19.7,18.96,19.58,8305434
#2009-02-03#,19.69,19.76,19.13,19.7,7938627
#2009-02-04#,19.625,20.35,19.53,19.88,9636926
#2009-02-05#,19.64,21.04,19.44,20.91,11326822
#2009-02-06#,20.93,21.8,20.81,21.7,9851821
#2009-02-09#,22,22.01,21.1,21.42,7246414
#2009-02-10#,21.32,21.42,20.28,20.48,10924426
#2009-02-11#,20.43,20.8599,19.9,20.31,7637811
#2009-02-12#,19.95,21.26,19.78,21.22,12830934
#2009-02-13#,20.96,21.37,20.85,21.1,8147376
#2009-02-16#,20.96,21.37,20.85,21.1,8147376
#2009-02-17#,20.08,20.69,19.8,20.4,9782624
#2009-02-18#,20.33,20.69,20.07,20.39,7409892
#2009-02-19#,20.46,20.5,19.48,19.54,10428823
#2009-02-20#,18.98,19.15,17.7,18.04,21630169
#2009-02-23#,18.09,18.09,16.9,17.09,14266179
#2009-02-24#,17.31,18.33,17.22,18.17,12866486
#2009-02-25#,17.54,17.92,17.15,17.64,12999901
#2009-02-26#,17.47,17.67,16.65,16.7,15043984
#2009-02-27#,15.71,17.18,15.7,16.7,15832323
#2009-03-02#,16.49,16.66,15.97,16.04,13129775
#2009-03-03#,16.15,16.48,15.87,15.98,12539454
#2009-03-04#,16.16,16.61,15.9,16.32,8999029
#2009-03-05#,18.16,18.19,16.31,16.92,26498216
#2009-03-06#,17.16,17.43,16.75,17.16,10509587
#2009-03-09#,17.03,17.59,16.72,16.78,9298775
#2009-03-10#,17.19,18.54,17.11,18.52,11747955
#2009-03-11#,18.18,18.85,18.03,18.63,8678113
#2009-03-12#,18.47,19.51,18.28,19.43,9734815
#2009-03-13#,19.24,19.31,18.33,18.68,11490907
#2009-03-16#,18.69,19,18.34,18.45,11900546
#2009-03-17#,18.62,19.15,18.16,19.13,9286049
#2009-03-18#,19.41,22.09,19.34,21.35,20855090
#2009-03-19#,21.84,22.58,20.89,21.24,13667075
#2009-03-20#,21.01,21.79,20.39,20.46,10267231
#2009-03-23#,21.2,22.69,21.01,22.69,13186715
#2009-03-24#,22.59,22.59,21.72,21.86,9501767
#2009-03-25#,22,22.44,21.5,22.1,10773904
#2009-03-26#,22.18,23,22.18,22.94,9777725
#2009-03-27#,22.56,22.7,21.81,21.84,6427559
#2009-03-30#,21.33,21.48,20.39,20.82,9617480
#2009-03-31#,20.93,21.87,20.83,21.39,8531166
#2009-04-01#,20.93,22.18,20.79,21.96,7286913
#2009-04-02#,22.79,23.84,22.61,23.28,11062079
#2009-04-03#,23.25,24.26,23.25,24.16,8229222
#2009-04-06#,23.85,24,22.78,23.19,8072352
#2009-04-07#,23.61,23.66,22.76,22.96,9809887
#2009-04-08#,23.81,24.17,23.47,23.92,5991300
#2009-04-09#,24.48,24.97,24.28,24.87,8501755
#2009-04-10#,24.48,24.97,24.28,24.87,8501755
#2009-04-13#,24.6,24.89,24.2175,24.72,5581745
#2009-04-14#,24.38,24.49,23.84,24.01,6544931
#2009-04-15#,23.77,23.92,23.1199,23.64,6980438
#2009-04-16#,24.14,24.59,23.44,24.38,9290956
#2009-04-17#,24.6,24.87,24.05,24.7,7899470
#2009-04-20#,24.43,24.43,23.33,23.46,6963546
#2009-04-21#,23.35,24.13,23.25,23.75,7442989
#2009-04-22#,23.21,24.74,23.21,24.16,7045117
#2009-04-23#,23.855,24.49,23.54,24.48,8006472
#2009-04-24#,24.51,26.49,24.45,26.42,13798582
#2009-04-27#,25.92,26.65,25.7,26.14,9240325
#2009-04-28#,25.7,25.95,25.25,25.7,8099823
#2009-04-29#,25.99,26.84,25.59,26.75,9035926
#2009-04-30#,27.1,27.71,26.73,27.35,9143922
#2009-05-01#,27.08,28,27.02,27.46,9135190
#2009-05-04#,26.59,26.75,25.88,26.69,14574268
#2009-05-05#,26.74,26.91,26.2,26.89,8157398
#2009-05-06#,26.89,27.04,25.66,26.35,9995779
#2009-05-07#,26.58,26.64,25.38,25.63,7950045
#2009-05-08#,26.06,26.53,25.21,25.42,7673969
#2009-05-11#,24.85,26.36,24.78,26.15,7683746
#2009-05-12#,26.32,26.34,25.67,25.99,5077853
#2009-05-13#,25.99,26.03,25.12,25.17,7918476
#2009-05-14#,25.2,26.149,25.2,25.93,6720989
#2009-05-15#,25.97,26.35,25.52,25.92,4806492
#2009-05-18#,25.94,26.52,25.7,26.48,4461668
