"Date","Open","High","Low","Close","Volume"
#2010-01-01#,97.87,98.63,96.78,96.83,526813
#2010-01-04#,97.24,97.97,96.2,97.24,535196
#2010-01-05#,96.96,97.49,96.135,97.28,594434
#2010-01-06#,97.27,98.25,97.27,97.65,486737
#2010-01-07#,97.27,98.7,96.71,98.57,650038
#2010-01-08#,98,99.85,97.77,99.73,705602
#2010-01-11#,99.46,100.38,99.22,100.15,560952
#2010-01-12#,99.46,100.22,99.25,100.11,559868
#2010-01-13#,100.16,100.6,99.6,100.55,329978
#2010-01-14#,100.57,100.68,99.75,100.39,413727
#2010-01-15#,100.02,100.47,99.13,100.04,771466
#2010-01-18#,100.02,100.47,99.13,100.04,771466
#2010-01-19#,100.08,102,99.57,101.34,767921
#2010-01-20#,101.03,101.09,99.78,100.87,618514
#2010-01-21#,101,101.24,99.04,99.57,827437
#2010-01-22#,98.95,99.615,98.63,98.89,1060238
#2010-01-25#,99.45,101.38,99.12,100.94,1901538
#2010-01-26#,100.16,101.49,98.15,99.42,2164151
#2010-01-27#,99.55,100.34,99,100.12,1209588
#2010-01-28#,100.24,101.31,99.24,100.76,1004012
#2010-01-29#,100.86,102.13,99.28,99.28,892223
#2010-02-01#,99.67,100.36,98.26,99.94,795035
#2010-02-02#,100.4,102.45,99.94,102.39,895076
#2010-02-03#,102.02,103,101.97,102.26,696692
#2010-02-04#,101.5,101.5,99.12,99.18,931120
#2010-02-05#,98.9,100.11,97.88,99.33,729655
#2010-02-08#,98.98,100,97.99,98.57,681169
#2010-02-09#,99.36,101.08,98.73,100.26,780091
#2010-02-10#,100.26,100.92,99.09,99.65,484557
#2010-02-11#,99.81,100.87,98.73,100.81,949493
#2010-02-12#,99.9,101.11,99.34,100.85,662293
#2010-02-15#,99.9,101.11,99.34,100.85,662293
#2010-02-16#,101,102.04,100.7,102.04,540151
#2010-02-17#,102.17,102.86,101.61,102.64,640251
#2010-02-18#,102.69,104.32,102.32,104.27,613610
#2010-02-19#,103.9,104.91,103.55,104.14,816877
#2010-02-22#,104.68,104.81,103.52,103.64,392769
#2010-02-23#,103.32,104.43,102.75,102.84,685553
#2010-02-24#,103.4,104,102.91,103.51,544302
#2010-02-25#,102.21,102.76,100.98,102.49,1059296
#2010-02-26#,102.43,102.92,101.1,101.65,1140801
#2010-03-01#,101.8,104.4,101.8,104.21,835638
#2010-03-02#,104.38,104.84,103.32,103.58,612014
#2010-03-03#,103.94,104.77,103.75,104.54,726628
#2010-03-04#,104.54,105.17,103.86,104.7,494939
#2010-03-05#,104.9,106.97,104.79,106.89,621969
#2010-03-08#,107,107.61,106.54,106.65,563621
#2010-03-09#,106.28,107.726,106.28,107.56,449874
#2010-03-10#,107.37,108.33,107.09,108.08,610896
#2010-03-11#,107.55,108.81,107.14,108.67,561457
#2010-03-12#,108.48,108.67,106.53,107.83,896608
#2010-03-15#,107.52,107.99,106.412,107.13,590874
#2010-03-16#,107.65,107.89,107.06,107.75,437332
#2010-03-17#,108.26,108.86,107.97,108.35,448197
#2010-03-18#,108.05,109.1,107.96,108.37,490859
#2010-03-19#,108.59,109.07,106.94,107.56,778031
#2010-03-22#,107.1,108.671,107.1,108.4,466451
#2010-03-23#,108.37,109.42,107.978,109.34,420662
#2010-03-24#,109.19,109.19,108.28,108.88,537962
#2010-03-25#,109.37,109.98,108.69,108.75,513075
#2010-03-26#,108.98,109.76,108.67,109.05,303704
#2010-03-29#,109.17,109.73,109.09,109.47,229264
#2010-03-30#,109.62,109.96,108.93,109.26,583738
#2010-03-31#,108.97,109.345,107.96,108.12,582282
#2010-04-01#,108.79,109.88,108.75,109.53,413121
#2010-04-02#,108.79,109.88,108.75,109.53,413121
#2010-04-05#,109.97,112.87,109.615,112.19,599747
#2010-04-06#,111.81,112.97,111.51,112.7,348652
#2010-04-07#,112.86,115.56,112.1,113.92,908935
#2010-04-08#,113.46,114.67,113.02,114.17,689640
#2010-04-09#,114.64,114.91,113.42,114.77,610515
#2010-04-12#,114.55,115.37,113.96,114.23,440779
#2010-04-13#,115.14,116.07,114.08,115.64,1009349
#2010-04-14#,110.94,113.59,110.35,111.15,2882854
#2010-04-15#,109.5,109.5,106.91,107.78,2309249
#2010-04-16#,107.84,107.96,104.15,104.93,1514208
#2010-04-19#,104.8,106.51,104.37,105.75,1121736
#2010-04-20#,106.83,107.66,106.2,107.51,1047702
