"Date","Open","High","Low","Close","Volume"
#2019-02-13#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-02-14#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-02-15#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-02-18#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-02-19#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-02-20#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-02-21#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-02-22#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-02-25#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-02-26#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-02-27#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-02-28#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-03-01#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-03-04#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-03-05#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-03-06#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-03-07#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-03-08#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-03-11#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-03-12#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2019-03-13#,38.6,39.3,38,39.2,305985
#2019-03-14#,39.5,40.65,39.32,39.96,279685
#2019-03-15#,40.55,41.05,40.5,41.02,164177
#2019-03-18#,41.73,41.73,40.47,40.86,581717
#2019-03-19#,41.4,41.4,39.05,39.55,2540234
#2019-03-20#,39.85,39.8514,37.46,37.6,5147908
#2019-03-21#,38,38.91,37.84,38.88,8865546
#2019-03-22#,38.76,38.84,36.55,37.46,4902540
#2019-03-25#,37.57,37.81,36.35,36.45,4035118
#2019-03-26#,36.46,37.35,36.46,36.71,3350854
#2019-03-27#,36.75,37.17,36.06,36.2,2871305
#2019-03-28#,36.14,36.47,35.55,35.67,2220583
#2019-03-29#,35.88,36.17,35.39,35.88,2679171
#2019-04-01#,36.17,36.34,35.94,36.15,4338366
#2019-04-02#,36.21,36.46,35.21,35.7,1491180
#2019-04-03#,35.78,35.89,35.3,35.5,2831551
#2019-04-04#,35.56,36.07,35.39,36.03,2223200
#2019-04-05#,35.99,37.09,35.94,36.98,2116209
#2019-04-08#,36.94,36.94,36.65,36.85,1928972
#2019-04-09#,36.81,37.07,36.59,36.89,1793850
#2019-04-10#,36.91,37.05,35.86,35.93,843636
#2019-04-11#,35.98,36.5,35.53,36.41,978211
#2019-04-12#,36.47,37.08,35.92,36.95,3175196
#2019-04-15#,36.91,36.99,36.47,36.98,891220
#2019-04-16#,37.11,37.28,36.93,37.21,1869325
#2019-04-17#,37.18,38.25,37.18,38.21,2122111
#2019-04-18#,38.34,38.37,37.92,37.92,2315174
#2019-04-19#,38.34,38.37,37.92,37.92,2315174
#2019-04-22#,37.84,37.88,37.11,37.24,1665002
#2019-04-23#,37.22,37.82,37.07,37.6,5455096
#2019-04-24#,37.51,37.76,37.33,37.45,1230821
#2019-04-25#,37.48,37.68,37.04,37.64,1422924
#2019-04-26#,37.8,37.94,37.4,37.91,2505690
#2019-04-29#,37.74,38.91,37.69,38.73,1716829
#2019-04-30#,38.59,38.78,37.89,38.5,1809965
#2019-05-01#,38.66,38.8,38.09,38.74,1474972
#2019-05-02#,38.75,38.8,36.5,36.84,2627742
#2019-05-03#,36.86,37.26,36.64,37.02,1229683
#2019-05-06#,36.72,37.4,36.47,37.31,1534153
#2019-05-07#,36.97,37.22,36.575,36.7,1412324
#2019-05-08#,36.56,37.08,36.27,36.82,2108681
#2019-05-09#,38.08,38.63,36.95,37.97,3458170
#2019-05-10#,37.9,38.25,36.98,38.05,1633502
#2019-05-13#,37.48,38.15,37.22,37.5,1598369
#2019-05-14#,37.54,38.025,37.405,37.48,1663135
#2019-05-15#,37.24,37.48,37.13,37.23,873872
#2019-05-16#,37.28,37.6,36.28,36.32,2679971
#2019-05-17#,36.08,37.07,36.08,36.83,1084397
#2019-05-20#,36.54,37.14,36.54,36.68,996354
#2019-05-21#,36.82,37.525,36.64,37.18,1272400
#2019-05-22#,37.1,37.29,36.62,36.67,830229
#2019-05-23#,36.39,36.63,36.18,36.51,1860127
#2019-05-24#,36.51,36.76,36.4,36.45,828141
#2019-05-27#,36.51,36.76,36.4,36.45,828141
#2019-05-28#,36.59,36.95,36.11,36.16,2384643
#2019-05-29#,36,36.16,35.28,35.3,1437579
#2019-05-30#,35.36,35.695,34.69,34.81,1079668
#2019-05-31#,34.55,34.81,34.25,34.71,1736450
#2019-06-03#,34.61,34.81,33.32,33.78,2219530
#2019-06-04#,34.03,34.81,33.75,34.09,2276227
#2019-06-05#,34.24,34.57,33.9,34.02,1346948
#2019-06-06#,34.01,34.23,33.6,33.74,1209050
#2019-06-07#,33.84,34.05,33.66,33.68,925130
#2019-06-10#,33.86,34.0377,33.56,33.74,1142811
#2019-06-11#,33.77,34.04,33.65,33.83,1201832
#2019-06-12#,33.81,34.735,33.8,34.7,2240306
#2019-06-13#,34.96,35.12,34.6,34.94,1315426
#2019-06-14#,34.99,35.16,34.56,34.96,2414743
#2019-06-17#,35.18,35.965,35.04,35.8,2287969
#2019-06-18#,36.09,36.72,35.71,35.83,2680862
#2019-06-19#,35.88,36.08,35.35,35.74,2011514
#2019-06-20#,36.15,36.15,35.31,35.35,1879719
#2019-06-21#,35.36,37,35.04,35.88,4338334
#2019-06-24#,35.72,35.79,35.39,35.54,1621068
#2019-06-25#,35.45,35.52,34.9,35.19,1853675
#2019-06-26#,35.46,35.89,35.16,35.31,2271879
#2019-06-27#,35.36,36.12,35.06,35.75,2880867
#2019-06-28#,35.89,36.64,35.67,36.53,4921105
#2019-07-01#,36.82,36.87,35.715,35.96,2691314
#2019-07-02#,35.96,36.57,35.96,36.53,1431153
#2019-07-03#,36.7,36.77,36.31,36.35,918880
#2019-07-04#,36.7,36.77,36.31,36.35,918880
#2019-07-05#,36.28,36.77,36.07,36.56,1190558
#2019-07-08#,36.36,36.935,36.05,36.13,910742
#2019-07-09#,35.98,36.29,35.79,36.01,1661275
#2019-07-10#,36.11,36.41,36.03,36.14,1177618
#2019-07-11#,36.13,36.37,35.85,36.31,1206502
#2019-07-12#,36.32,37.01,36.32,36.96,1582893
#2019-07-15#,37.12,37.21,36.61,37.04,1344926
#2019-07-16#,37.08,37.11,36.61,36.69,1613120
#2019-07-17#,36.62,36.72,36.0934,36.17,1892152
#2019-07-18#,36.1,36.76,36,36.61,3015699
#2019-07-19#,36.71,36.76,36.2,36.45,1934281
#2019-07-22#,36.47,36.64,36.28,36.32,1557766
#2019-07-23#,36.35,36.75,35.99,36.51,2003214
#2019-07-24#,36.46,37.08,36.44,36.89,1233524
#2019-07-25#,36.91,37.54,36.9,37.43,1411803
#2019-07-26#,37.37,38.03,37.33,37.49,915589
