"Date","Open","High","Low","Close","Volume"
#2010-01-01#,82.66,82.66,80.98,80.98,371262
#2010-01-04#,81.84,81.9,80.18,81.56,899631
#2010-01-05#,81.37,84.99,80.83,84.76,2044813
#2010-01-06#,84.74,85.23,83.78,84.12,872931
#2010-01-07#,84.15,86.49,84.12,85.74,1106840
#2010-01-08#,85.3,86.49,84.717,86.37,1202066
#2010-01-11#,86.48,86.97,84.99,85.56,1094510
#2010-01-12#,84.98,85.66,83.2,83.82,867087
#2010-01-13#,84.25,85.97,83.76,85.7,827150
#2010-01-14#,85.16,85.64,84.66,85.11,496859
#2010-01-15#,84.51,85.53,82.88,83.83,977488
#2010-01-18#,84.51,85.53,82.88,83.83,977488
#2010-01-19#,83.9,84.94,83.8225,84.77,596002
#2010-01-20#,84.12,86.51,83.76,86.4,1947921
#2010-01-21#,86.24,86.95,84.1,84.48,1307101
#2010-01-22#,84.6,84.99,81.88,82.04,1015437
#2010-01-25#,82.78,83.42,82.02,82.77,819488
#2010-01-26#,82.47,83.61,82.05,82.57,666661
#2010-01-27#,82.41,83.3,81.76,83.01,575191
#2010-01-28#,83.21,83.51,81.74,81.92,874404
#2010-01-29#,82.12,84.38,81.73,82,1681824
#2010-02-01#,82.8,83.6699,82.63,83.14,792799
#2010-02-02#,83.51,86.28,83.03,85.67,1426575
#2010-02-03#,79.45,81.21,76.9,78.51,7881612
#2010-02-04#,77.65,78.51,76.88,77.14,2692371
#2010-02-05#,77.38,77.57,75.06,76.65,3109373
#2010-02-08#,76.5,78.97,76.1406,77.63,1848458
#2010-02-09#,78.29,79.44,78.13,78.59,1514237
#2010-02-10#,78.59,79.4,77.64,77.99,1133233
#2010-02-11#,77.79,79.34,77.77,79.03,1194006
#2010-02-12#,78.05,78.78,77.75,78.69,908371
#2010-02-15#,78.05,78.78,77.75,78.69,908371
#2010-02-16#,79.03,79.77,78,79.72,1097362
#2010-02-17#,79.74,80.72,79.74,80.3,885673
#2010-02-18#,79.76,80.66,79.56,80.57,562499
#2010-02-19#,80.48,81.18,80,80.6,1146909
#2010-02-22#,80.75,81.7,80.28,81.31,1112554
#2010-02-23#,80.96,81.31,79.89,80.28,1174903
#2010-02-24#,80.55,80.67,79.8701,80.15,1887346
#2010-02-25#,79.58,79.89,78.73,79.64,1833769
