"Date","Open","High","Low","Close","Volume"
#2006-01-02#,47.47,47.47,46.75,46.8,10437700
#2006-01-03#,46.36,46.66,45.57,46.23,23413900
#2006-01-04#,46.24,46.5,46.1,46.32,14090700
#2006-01-05#,46,46.4,45.29,45.69,20759200
#2006-01-06#,45.69,45.88,45.1,45.88,21135000
#2006-01-09#,45.89,46.15,45.56,45.71,14890700
#2006-01-10#,45.5,46.03,45.46,45.86,13422500
#2006-01-11#,46.06,46.6,45.76,46.57,14179400
#2006-01-12#,46.25,46.39,45.67,45.74,11425700
#2006-01-13#,45.68,45.89,45.31,45.4,10260500
#2006-01-16#,45.68,45.89,45.31,45.4,10260500
#2006-01-17#,45.4,45.42,44.7,44.95,17118300
#2006-01-18#,44.65,45.39,44.61,45.18,13191600
#2006-01-19#,45.18,45.89,45.06,45.8,18141900
#2006-01-20#,45.64,45.7,44.81,45,19354800
#2006-01-23#,45,45.47,44.54,45.25,15824700
#2006-01-24#,45.55,45.91,45.5,45.72,18189800
#2006-01-25#,45.7,46.17,45.66,45.97,18986800
#2006-01-26#,46.21,46.51,45.83,46.32,16798600
#2006-01-27#,45.99,46.52,44.96,45.84,13386000
#2006-01-30#,46.4,46.95,46.21,46.41,15269600
#2006-01-31#,46.44,46.53,46.03,46.11,12926900
#2006-02-01#,46.05,46.38,45.57,46.14,15189400
#2006-02-02#,46.118,46.4772,45.47,46.28,18513100
#2006-02-03#,45.99,46.21,45.44,45.49,11329700
#2006-02-06#,45.44,45.51,45.05,45.08,12185300
#2006-02-07#,45,45.47,44.68,44.74,16191300
#2006-02-08#,44.78,45.51,44.52,45.4,12347600
#2006-02-09#,45.48,45.97,45.3315,45.7,13131800
#2006-02-10#,45.6,45.95,45.31,45.75,8037800
#2006-02-13#,45.47,45.82,45.47,45.51,7161400
#2006-02-14#,45.42,46.6401,45.28,46.45,14872500
#2006-02-15#,46.29,46.93,45.891,46.89,11835300
#2006-02-16#,46.85,47.02,46.35,46.63,9074400
#2006-02-17#,46.63,46.63,45.8,46.1,15355200
#2006-02-20#,46.63,46.63,45.8,46.1,15355200
#2006-02-21#,45.71,46.46,45.47,45.74,15376000
#2006-02-22#,45.93,45.99,45.44,45.48,9911800
#2006-02-23#,45.5,45.95,45.34,45.7,14826400
#2006-02-24#,45.7,45.75,45.26,45.45,9652200
#2006-02-27#,45.55,45.88,45.55,45.76,9051700
#2006-02-28#,45.57,45.81,45.22,45.36,12302300
#2006-03-01#,45.36,45.51,45.03,45.15,12046100
#2006-03-02#,45.15,45.48,44.93,45.06,12518600
#2006-03-03#,44.87,45.5,44.86,45.33,9508600
#2006-03-06#,45.33,45.54,44.97,45.12,9749500
#2006-03-07#,45.19,45.36,45.05,45.27,11246500
#2006-03-08#,45.2,45.63,45.16,45.27,14478100
#2006-03-09#,45.249,45.39,45.11,45.24,7233700
#2006-03-10#,45.44,45.48,45.21,45.33,9322100
#2006-03-13#,45.35,45.46,45.22,45.27,8838700
#2006-03-14#,45.292,45.58,45.16,45.54,13740500
#2006-03-15#,45.5,45.57,45.22,45.32,13992300
#2006-03-16#,45.56,46.44,45.42,46.36,18556100
#2006-03-17#,46.6,46.79,46.29,46.69,12439100
#2006-03-20#,47.03,48.0686,46.99,47.76,19702100
#2006-03-21#,47.76,48.45,47.72,48.11,13890400
#2006-03-22#,47.91,48.22,47.74,48.1,9027400
#2006-03-23#,48.19,48.87,48.05,48.54,14733200
#2006-03-24#,48.7,48.72,48.02,48.19,9733500
#2006-03-27#,48.19,48.3,47.9,47.95,8663800
#2006-03-28#,47.95,48.32,47.66,47.75,10044300
#2006-03-29#,47.8,48.18,47.5,48.05,8681900
#2006-03-30#,48.05,48.18,47.31,47.66,9793600
#2006-03-31#,47.94,47.94,47.2,47.24,10092000
#2006-04-03#,47.27,47.31,46.53,46.77,14109000
#2006-04-04#,46.69,46.77,46.35,46.5,8716100
#2006-04-05#,46.58,46.97,46.5,46.87,7763700
#2006-04-06#,46.88,47.09,46.35,46.56,8763900
#2006-04-07#,46.5,46.77,45.81,46.02,12458500
#2006-04-10#,45.98,46,45.51,45.7,9585100
#2006-04-11#,45.6,45.76,45.27,45.5,9653700
#2006-04-12#,45.78,45.96,45.6501,45.9,9285300
#2006-04-13#,45.96,46.01,45.62,45.77,7199000
#2006-04-14#,45.96,46.01,45.62,45.77,7199000
#2006-04-17#,45.8,46.28,45.63,45.82,9225100
#2006-04-18#,46.14,46.52,46.07,46.4,10545900
#2006-04-19#,46.32,46.7,46.25,46.47,10743300
#2006-04-20#,46.37,46.71,46.26,46.4,9125500
#2006-04-21#,46.6,46.6,45.68,45.82,10118100
#2006-04-24#,45.62,45.74,45.4,45.54,12143600
#2006-04-25#,45.66,45.93,45.5,45.63,9205900
#2006-04-26#,45.75,46.03,45.67,45.98,10583100
#2006-04-27#,45.78,46.08,45.62,45.64,12791700
#2006-04-28#,45.58,45.67,44.99,45.03,15376900
#2006-05-01#,45.92,46.58,45.54,45.93,18547300
#2006-05-02#,46.12,46.26,45.9,46.16,9598300
#2006-05-03#,46.32,46.84,46.29,46.69,11794600
#2006-05-04#,46.92,46.98,46.12,46.4,10585300
#2006-05-05#,46.6,47.34,46.52,47.25,9080900
#2006-05-08#,47.25,47.9,47.1,47.57,9878300
#2006-05-09#,47.69,48.17,47.58,47.87,14506900
#2006-05-10#,47.71,48.09,47.5801,47.78,9449800
#2006-05-11#,47.9,47.9,47.03,47.25,11204500
#2006-05-12#,47.26,47.45,46.53,46.54,11409700
#2006-05-15#,46.25,47.56,46.08,47.43,17054400
#2006-05-16#,47.87,48.31,47.69,48.07,17686300
#2006-05-17#,47.65,47.68,46.83,46.84,15514900
#2006-05-18#,47.02,47.39,46.65,47.22,10941200
#2006-05-19#,47.45,47.48,46.89,47.32,13027900
#2006-05-22#,47.29,47.77,47.1,47.35,9915300
#2006-05-23#,47.6,47.99,47.5,47.52,11022600
#2006-05-24#,47.53,48.14,47.37,48.03,16235700
#2006-05-25#,48.82,49.83,48.65,49.45,25807000
#2006-05-26#,49.6,50,49.45,49.65,17474400
#2006-05-29#,49.6,50,49.45,49.65,17474400
#2006-05-30#,48.62,48.71,48.23,48.3,19274100
#2006-05-31#,48.48,48.7199,48.1,48.45,12049600
#2006-06-01#,48.25,48.57,47.92,48.39,13468300
#2006-06-02#,48.17,48.35,47.32,47.83,13777200
#2006-06-05#,47.77,48.04,47.1,47.19,12446300
#2006-06-06#,47.34,47.49,46.55,47.03,16464300
#2006-06-07#,47.07,47.73,46.92,47.04,9688200
#2006-06-08#,47.09,47.54,46.84,47.3,16265500
#2006-06-09#,47.15,47.49,47,47.13,7469900
#2006-06-12#,47.1,47.42,46.92,46.99,7468900
#2006-06-13#,47.09,47.93,47.03,47.53,14181500
#2006-06-14#,47.56,47.9,47.37,47.71,10429800
#2006-06-15#,47.74,48.75,47.31,48.66,15733400
#2006-06-16#,48.56,49.16,48.2,48.31,16742300
#2006-06-19#,48.45,48.9,48.0001,48.27,11618700
#2006-06-20#,48.25,48.59,48.21,48.43,8701000
#2006-06-21#,48.3,49,48.3,48.9,12334300
#2006-06-22#,48.71,49.19,48.268,48.48,8466500
#2006-06-23#,48.35,48.63,47.76,47.94,8247000
#2006-06-26#,48.09,48.2,47.8,48.07,6776400
#2006-06-27#,47.95,48.27,47.57,47.63,8423100
#2006-06-28#,47.65,47.93,47.36,47.92,7287900
#2006-06-29#,48.11,48.72,47.91,48.71,10967400
#2006-06-30#,48.7,48.85,48.16,48.17,11126700
#2006-07-03#,47.75,48.05,47.1,47.57,9097300
#2006-07-04#,47.75,48.05,47.1,47.57,9097300
#2006-07-05#,47.21,47.34,46.76,47.02,11523700
#2006-07-06#,46.83,47.14,46.51,46.72,10174000
#2006-07-07#,46.48,46.63,45.88,46,10526400
#2006-07-10#,46.25,46.73,46.05,46.18,7308800
#2006-07-11#,46,46.2101,45.41,46.13,13206100
#2006-07-12#,46.21,46.25,45.11,45.15,13258500
#2006-07-13#,44.55,44.62,43.71,44.16,26307100
#2006-07-14#,43.93,44.03,42.81,43.05,20072300
#2006-07-17#,43.23,43.93,42.72,43.02,17697300
#2006-07-18#,42.76,43.23,42.31,43.17,20375600
#2006-07-19#,43.28,44.33,43.23,44.2,17886000
#2006-07-20#,44.35,44.61,44.15,44.29,10256600
#2006-07-21#,44.51,44.51,43.56,43.72,12978700
#2006-07-24#,44.03,44.89,44.03,44.43,11650300
#2006-07-25#,44.21,44.8,43.94,44.67,10678900
#2006-07-26#,44.45,44.47,43.63,43.67,12347700
#2006-07-27#,43.97,44,43.47,43.53,8706800
#2006-07-28#,43.77,44.54,43.77,44.46,12360300
#2006-07-31#,45.02,45.12,44.33,44.5,13481700
#2006-08-01#,44.35,44.38,43.79,44.09,9645100
#2006-08-02#,44.3,44.43,44,44.37,7990700
#2006-08-03#,44.27,45.13,44.17,44.73,11035800
#2006-08-04#,45.15,45.45,44.65,44.87,9733000
#2006-08-07#,44.6,45.05,44.5,44.82,7341500
#2006-08-08#,44.82,44.99,44.37,44.46,7690500
#2006-08-09#,44.78,44.88,43.86,43.9,10279700
#2006-08-10#,43.9,44.94,43.75,44.89,12140900
#2006-08-11#,44.9,44.94,44.3,44.69,8244500
#2006-08-14#,44.84,45.43,44.73,45.1,10971000
#2006-08-15#,44.78,44.89,44.05,44.55,18589800
#2006-08-16#,44.55,44.68,44.05,44.43,16454100
#2006-08-17#,44.5,45,44.33,44.63,12368200
#2006-08-18#,44.72,44.74,44.3,44.49,9083600
#2006-08-21#,44.3,44.38,44.02,44.09,9482300
#2006-08-22#,44.2,44.37,43.98,44.07,8267400
#2006-08-23#,44.1,44.15,43.48,43.76,10584100
#2006-08-24#,43.94,43.96,43.66,43.7,7480100
#2006-08-25#,43.6,44.06,43.52,43.88,7720700
#2006-08-28#,44.2,44.65,44.16,44.43,11202300
#2006-08-29#,44.65,44.65,44.06,44.49,9858600
#2006-08-30#,44.63,44.94,44.2,44.62,12154600
