"Date","Open","High","Low","Close","Volume"
#2005-01-03#,99.12,99.3,97.37,97.4,1481400
#2005-01-04#,97.4,97.67,95.5,95.66,2527200
#2005-01-05#,95.92,96.23,95.16,95.54,2336900
#2005-01-06#,95.54,95.98,95,95.19,2044700
#2005-01-07#,96.3,97.49,94.66,94.91,3214500
#2005-01-10#,94.91,95.83,94.91,95.59,2154200
#2005-01-11#,95.2,95.82,95.18,95.41,2265100
#2005-01-12#,94.13,95.3,93.5,94.47,4186800
#2005-01-13#,94.78,95.34,93.55,93.76,3112400
#2005-01-14#,93.95,94.22,93,93.32,2170300
#2005-01-17#,93.95,94.22,93,93.32,2170300
#2005-01-18#,93.32,94.89,93.1,93.85,1951000
#2005-01-19#,94.03,94.7,93.08,93.25,2215100
#2005-01-20#,93.15,93.63,91.35,91.57,2697300
#2005-01-21#,91.38,92.03,89.75,90.34,3142200
#2005-01-24#,91.6,93.09,91.228,92.44,2918900
#2005-01-25#,93.25,94.9,92.55,94.51,2827200
#2005-01-26#,94.9,95.09,93.78,94.45,2130700
#2005-01-27#,94.62,95,93.34,94.17,1941600
#2005-01-28#,94.18,94.52,93.29,94.43,1437600
#2005-01-31#,94.96,95.9,94.6,95.65,1848300
#2005-02-01#,96,96,95.38,95.72,1205800
#2005-02-02#,95.5,95.92,95.1,95.41,1583400
#2005-02-03#,95.42,95.42,94.09,94.43,1990200
#2005-02-04#,94.8,96.36,94.54,96.36,3505300
#2005-02-07#,96.19,96.59,95.81,96.1,1366700
#2005-02-08#,96.1,96.85,95.1,96.79,2639600
#2005-02-09#,96.48,97.4,96.31,96.67,1977400
#2005-02-10#,96.87,97.2,96.15,96.47,1210700
#2005-02-11#,96.73,98.57,96.58,98.01,1401900
#2005-02-14#,97.75,97.76,95.89,96.31,2379000
#2005-02-15#,96.78,97.2,95.98,97.18,1332000
#2005-02-16#,97.09,98.61,96.82,98.35,1364700
#2005-02-17#,98.15,98.41,96.97,97.75,1023200
#2005-02-18#,97.8,98.19,96.84,97.35,1017800
#2005-02-21#,97.8,98.19,96.84,97.35,1017800
#2005-02-22#,97.04,97.34,95.53,95.64,1202400
#2005-02-23#,95.64,97.08,95.64,96.64,1109400
#2005-02-24#,96.61,97.84,95.9,97.72,954100
#2005-02-25#,97.69,98.64,97.44,98.44,1226000
#2005-02-28#,98.26,98.91,97.22,97.78,1505600
#2005-03-01#,97.84,98.31,97.63,98.1,1134000
#2005-03-02#,97.5,97.85,96.76,97.16,1177800
#2005-03-03#,97.3,98.03,96.74,97.93,1347500
#2005-03-04#,98.16,99.99,98.14,99.6,1266300
#2005-03-07#,99.67,101.87,99.337,101.55,1784500
#2005-03-08#,101,101.54,100.51,100.73,980700
#2005-03-09#,100.25,100.4,99.54,99.57,996600
#2005-03-10#,99.4,99.69,98.5,99.12,1261200
#2005-03-11#,99.12,100.19,98.84,99.73,1013600
#2005-03-14#,100.42,100.9,99.49,100.58,1693900
#2005-03-15#,100.75,101.18,98.62,98.63,1899900
#2005-03-16#,98.71,99.1,96.36,96.93,2331500
#2005-03-17#,95.8,98.38,95.02,96.84,2803700
#2005-03-18#,96.93,97.18,95.22,96.13,3365900
#2005-03-21#,95.5,96,93.97,94.82,1920800
#2005-03-22#,94.94,96.49,94.65,94.65,1526300
#2005-03-23#,93.7,94.25,92.75,93.87,1522400
#2005-03-24#,94.24,94.83,93.85,93.89,1079800
#2005-03-25#,94.24,94.83,93.85,93.89,1079800
#2005-03-28#,94.01,95.08,94.01,94.6,1055900
#2005-03-29#,94.1,94.46,92.89,93.21,1757500
#2005-03-30#,93.5,95.18,93.5,95,1105600
#2005-03-31#,94.82,95.15,93.56,93.95,1356800
#2005-04-01#,94.07,94.97,92.02,92.35,2500500
#2005-04-04#,92.35,93.2,91.51,92.88,1372500
#2005-04-05#,92.87,93.56,92.54,92.89,802500
#2005-04-06#,92.9,94.04,92.63,93.11,898400
